scenario,row_id,question,expected_source,expected_answer,predicted_top1_source,top1_source_match,expected_source_in_top5,best_rerank_score,expected_source_best_score,candidate_count,elapsed_seconds,error
KB1,11,Sữa non là gì và có lợi ích như thế nào?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Sữa non là sữa tiết ra trong vài ngày đầu sau sinh, có nhiều chất dinh
dưỡng và giúp bảo vệ trẻ không bị bệnh tật.",sức khỏe - không ai hoàn hảo.pdf,1,1,6.196208953857422,6.196208953857422,25,5.973199100000102,
KB1,12,Việc cho con bú ngay trong vòng một giờ đầu sau sinh có lợi gì cho người mẹ?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Giúp mẹ con gắn bó tình cảm, động tác mút vú làm cho sữa mẹ về nhanh hơn, tử cung co hồi tốt và giảm nguy cơ chảy máu cho bà mẹ.",tài liệu khóa học nuôi con bằng sữa mẹ.pdf,0,0,7.5763654708862305,,25,3.8317895000000135,
KB1,13,Những trường hợp nào bà mẹ không nên cho con bú mà phải dùng sữa thay thế?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Bà mẹ có bệnh phải dùng thuốc như ung thư, thuốc về thần kinh, bẹ mẹ có bệnh: suy tim, lao phổi, nhiễm trùng hoặc áp xe vú, bà mẹ bị nghiễm HIV hay xét nghiệm đang nghi ngờ HIV, trẻ có dị tật ở miệng mà không thể bú được.",tài liệu khóa học nuôi con bằng sữa mẹ.pdf,0,0,6.300148010253906,,25,3.557485899999847,
KB1,14,Tư thế bú đúng là như thế nào?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Mẹ nằm hoặc ngồi ở tư thế thoải mái, có thể dùng gối hay chăn gấp kê dưới đầu bé nếu bà mẹ nằm hoặc để dưới cánh tay nếu bà mẹ ngồi. Mặt trẻ hướng vào vú mẹ, mũi trẻ đối diện với núm vú, măt mẹ nhìn vào bé. Toàn thân trẻ sát vào người mẹ, đầu-thân-mông trẻ trên đường thẳng.",qa_me_bim_sau_sinh_100.xlsx,0,0,4.654751777648926,0.3568021059036255,25,8.947165900000073,
KB1,15,Dấu hiệu nào cho thấy trẻ bú tốt?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Miệng trẻ mở rộng ngậm sâu vào quầng thâm vú mẹ, môi dưới trẻ trễ xuống và thấy lưỡi của trẻ giữa bầu vú và môi dưới, trẻ bú dài hơi và sâu. Cằm của trẻ chuyển động theo mỗi lần mút, người mẹ không thấy đau ở đầu vú.",tài liệu khóa học nuôi con bằng sữa mẹ.pdf,0,0,4.8310770988464355,0.41536960005760193,25,8.855946399999993,
KB1,16,Sữa mẹ vắt ra có thể bảo quản ở nhiệt độ thường trong bao lâu?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Chỉ nên để sữa lâu nhất khoảng 3 giờ sau khi vắt.,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,0,1,7.648722171783447,6.954634189605713,25,8.59368019999988,
KB1,17,Tại sao bà mẹ cho con bú không nên kiêng ăn uống và cần nghỉ ngơi?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Được ăn uống đầy đủ, nghỉ ngơi hợp lý giúp bà mẹ có sức khoẻ tốt và có
đủ sữa để nuôi con.",1445371_improving-the-quality-and-care-of-....pdf,0,1,6.516704559326172,5.4062910079956055,25,8.353844099999833,
KB1,18,Mẹ sau sinh cần bổ sung Vitamin A với liều lượng bao nhiêu?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Sau khi sinh bà mẹ cần uống 1 liều vitamin A 200.000 đơn vị để cung cấp
đủ vitamin A trong sữa mẹ cho trẻ.",qa_me_bim_sau_sinh_100.xlsx,0,0,5.899409770965576,3.086989402770996,25,4.711492000000135,
KB1,19,Khi nào thì trẻ bắt đầu bước vào giai đoạn ăn bổ sung (ăn dặm)?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,Khi trẻ tròn 6 tháng tuổi (180 ngày).,sức khỏe - không ai hoàn hảo.pdf,1,1,6.129046440124512,6.129046440124512,25,3.782763500000101,
KB1,20,Nguyên tắc cho trẻ ăn dặm về độ đặc và số lượng là gì?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Cho trẻ ăn từ loãng đến đặc, từ ít đến nhiều.",hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,1,1,5.23322868347168,5.23322868347168,24,9.477676299999985,
KB1,21,Trẻ từ 7-12 tháng tuổi cần ăn bao nhiêu bữa bột một ngày?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Cho trẻ ăn 3 bữa bột một ngày kèm sữa mẹ. Ngoài ra cho trẻ uống thêm nước ép trái cây, bánh mềm.",số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,0,1,5.8357648849487305,5.333234786987305,25,9.549076900000045,
KB1,22,Bốn nhóm thực phẩm cần có trong bữa ăn của trẻ là gì?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Cho trẻ ăn đủ bốn nhóm thực phẩm: tinh bột, đạm, mỡ hay dầu thực vật
và các loại rau quả.",sức khỏe - không ai hoàn hảo.pdf,0,1,5.947607517242432,5.742287635803223,25,11.044066799999882,
KB1,23,Trẻ từ 12-24 tháng tuổi cần ăn bao nhiêu bữa một ngày?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Trẻ từ 12 -24 tháng: Cho trẻ ăn 5 bữa một ngày (3 bữa cháo chính và 2
bữa phụ hoa quả, sữa hoặc bánh).",số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,1,1,7.065168857574463,7.065168857574463,25,9.392695399999866,
KB1,24,Lợi ích của việc tiêm chủng vắc xin đầy đủ cho trẻ?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Giúp phòng ngừa các bệnh nguy hiểm như Lao, Bạch hầu, Ho gà, Uốn ván, Bại liệt, viêm gan B, viêm não Nhật Bản,…",sức khỏe - không ai hoàn hảo.pdf,1,1,6.00863790512085,6.00863790512085,25,6.205636900000172,
KB1,25,"Khi trẻ bị tiêu chảy tại nhà, mẹ cần cho trẻ uống nước gì?",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Cho trẻ bú nhiều hơn và lâu hơn. Cho trẻ uống Ô-rê-zôn, nước cháo, nước cơm hoặc nước ép quả tươi.",sức khỏe - không ai hoàn hảo.pdf,0,0,6.8841047286987305,,25,3.855562799999916,
