row_index,sample_id,topic,question,reference_answer,prediction,gold_context_rank,gold_context_hit5,retrieved_context_hashes,generation_context_hashes,context_estimated_tokens,prompt_tokens,completion_tokens,latency_s,status,error
16,drug_3528,drug,Atarax tương tác với thuốc nào?,"Atarax tương tác với các thuốc như epinephrin, barbiturat, thuốc an thần khác, droperidol, pramlintid, thuốc gây tê mê, rượu, các chất ức chế acetylcholinesterase, chất giảm đau và các thuốc opiat.",Atarax không được dùng chung với epinephrin (adrenalin).,1,True,c0f2cefa8fba9d5a0776|acad03ce28e3865d0ba9|fbf27bd3f373cdf01fca|efafa5a7ed234ce203db|cac13f0555bf60267778,c0f2cefa8fba9d5a0776|acad03ce28e3865d0ba9|fbf27bd3f373cdf01fca|efafa5a7ed234ce203db|cac13f0555bf60267778,952,803,18,0.4239188000028662,OK,
17,drug_8923,drug,Những điều kiện nào cần thiết để bảo quản thuốc Comozol tốt nhất?,"Bạn cần tránh ánh sáng, bảo quản nơi khô mát và giữ thuốc ở nhiệt độ dưới 30°C để bảo quản thuốc Comozol tốt nhất.","Để bảo quản thuốc Comozol tốt nhất, cần lưu ý các điều kiện sau: - Bảo quản thuốc ở nơi khô ráo, thoáng mát. - Tránh tiếp xúc trực tiếp với ánh sáng hoặc để thuốc ở những nơi ẩm ướt. - Nhiệt độ bảo quản tốt nhất là dưới 30 °C. Tuy nhiên, chưa có thông tin cụ thể về thuốc Comozol trong ngữ cảnh được cung cấp.",,False,caa29448e8f0504a4c68|89b3bb3989387ba29122|0de503f6ff1f8cb64ae7|1371ea2c7f622e5cad5f|4bc0819ba0dab0363407,caa29448e8f0504a4c68|89b3bb3989387ba29122|0de503f6ff1f8cb64ae7|1371ea2c7f622e5cad5f|4bc0819ba0dab0363407,991,834,92,0.5357707000002847,OK,
18,drug_2359,drug,Phải làm gì khi xuất hiện triệu chứng bất thường khi sử dụng thuốc Amitriptylin?,Cần gọi ngay cho bác sĩ để được xử trí và hỗ trợ kịp thời.,Hãy gọi ngay cho bác sĩ nếu xuất hiện bất kỳ triệu chứng nào bất thường khi sử dụng thuốc Amitriptylin.,1,True,ac69b622243c95396440|b42c4a91f93ad99c2c5d|4d8d806a2c2ba51e87c7|1c7cdcf893af4c756c92|267f4d2b28a28f2e0812,ac69b622243c95396440|b42c4a91f93ad99c2c5d|4d8d806a2c2ba51e87c7|1c7cdcf893af4c756c92|267f4d2b28a28f2e0812,1265,968,27,2.699187300000631,OK,
19,drug_9179,drug,"Nên lưu ý gì khi sử dụng thuốc Coversyl Plus với những người bị suy gan, suy thận?","Thận trọng dùng thuốc Coversyl Plus ở người suy gan, suy thận.","Khi sử dụng thuốc Coversyl Plus với những người bị suy gan, suy thận, cần lưu ý điều chỉnh liều và thận trọng khi sử dụng.",4,True,fee7dbcf06c34b6a7d33|993a2bb2b53823043c35|4af75fc228f59e59b63f|290e59e27020d9c81171|583bffbcd3ac2ca4476b,fee7dbcf06c34b6a7d33|993a2bb2b53823043c35|4af75fc228f59e59b63f|290e59e27020d9c81171|583bffbcd3ac2ca4476b,1246,998,33,2.8028666999998677,OK,
20,drug_3124,drug,Thuốc Argide được sử dụng trong những trường hợp nào khác?,Thuốc Argide hỗ trợ điều trị các chứng rối loạn khó tiêu và hỗ trợ các bệnh lý về gan.,"Tôi xin lỗi, nhưng tôi không tìm thấy thông tin về thuốc Argide trong ngữ cảnh cung cấp. Nếu bạn có thêm thông tin hoặc ngữ cảnh về thuốc Argide, tôi sẽ cố gắng giúp bạn.",,False,08e8ad984906ec9ce46a|6f54299cabe55e10b6a6|c6c7a39baec014bed420|f11e7555417a1d148fb8|855c66eb618e7ea7c3f0,08e8ad984906ec9ce46a|6f54299cabe55e10b6a6|c6c7a39baec014bed420|f11e7555417a1d148fb8|855c66eb618e7ea7c3f0,847,690,43,1.3469402000009723,OK,
21,drug_9616,drug,Thuốc Depakin (valproic acid) có thể gây ra tác dụng phụ gì ở người cao tuổi?,Thuốc Depakin (valproic acid) có thể gây ra tác dụng phụ buồn ngủ ở người cao tuổi.,"Chưa đủ thông tin. Trong NGỮ CẢNH, chỉ có tài liệu id=""4"" đề cập đến Depakin (valproic acid) và những thận trọng khi dùng thuốc, nhưng không đề cập đến tác dụng phụ cụ thể ở người cao tuổi.",4,True,e04941d63f16fe810141|d2065f4fd6001ae15093|0f5fe59c49ef436f2ec4|a7d55b113f5d5369d3c0|b645d7011eeb24a30be7,e04941d63f16fe810141|d2065f4fd6001ae15093|0f5fe59c49ef436f2ec4|a7d55b113f5d5369d3c0|b645d7011eeb24a30be7,1573,1196,57,0.5347905999988143,OK,
22,drug_764,drug,Virus nào có độ nhạy mạnh nhất với Acyclovir Stada 200 mg?,"Acyclovir Stada 200 mg có tác dụng mạnh nhất trên virus Herpes simplex type 1, kém hơn ở virus Herpes simplex 2 và virus Varicella zoster.",Virus Herpes simplex type 1 có độ nhạy mạnh nhất với Acyclovir Stada 200 mg.,1,True,9dd5d493cb8fe86c0e0d|4eb51f084e60acfb269f|05e01c19f7b64cddc683|2d731edfebece30c8c15|90f6a6b028440dee5d85,9dd5d493cb8fe86c0e0d|4eb51f084e60acfb269f|05e01c19f7b64cddc683|2d731edfebece30c8c15|90f6a6b028440dee5d85,1332,1032,26,0.42418980000002193,OK,
23,drug_9473,drug,"Trước khi sử dụng thuốc Dalacin T, bệnh nhân cần làm gì?",Tham khảo ý kiến ​​bác sĩ hoặc chuyên gia y tế để đảm bảo liều dùng phù hợp.,Chưa đủ thông tin. Trong NGỮ CẢNH không có thông tin về thuốc Dalacin T.,,False,9425221387ccafc5e84a|8cd757650540202b560f|61011ff205768f49b73b|6fae63f32f0fc9713346|c2e7b8044248b6aaaccc,9425221387ccafc5e84a|8cd757650540202b560f|61011ff205768f49b73b|6fae63f32f0fc9713346|c2e7b8044248b6aaaccc,1201,923,24,0.46062610000080895,OK,
24,drug_6755,drug,Trong một chai Calcigenol có chứa lượng Vitamin D2 là bao nhiêu?,Trong một chai Calcigenol có chứa 72000UI Vitamin D2.,72000UI.,1,True,9ca517ec4a4b20e5c087|5fd1ab049bb93d544a29|fecceb6e291514fe506b|b8275dbb15b573293a6d|85dc4ceac2a3346c96b0,9ca517ec4a4b20e5c087|5fd1ab049bb93d544a29|fecceb6e291514fe506b|b8275dbb15b573293a6d|85dc4ceac2a3346c96b0,954,827,5,0.44296870000107447,OK,
25,drug_8842,drug,Tôi có nên rửa tay trước khi sử dụng thuốc Combigan không?,"Có, bạn cần rửa sạch tay trước khi sử dụng thuốc Combigan để tránh nhiễm trùng mắt.","Có, bạn nên rửa sạch tay trước khi dùng thuốc Combigan.",1,True,910bd2ea65b7da97ca61|a07074063d848e038a30|8f25bb9bfd451984a07a|b3875a6397c1933e3f73|44b4ac98c1a9295953b0,910bd2ea65b7da97ca61|a07074063d848e038a30|8f25bb9bfd451984a07a|b3875a6397c1933e3f73|44b4ac98c1a9295953b0,1716,1302,15,0.48275139999896055,OK,
26,drug_2769,drug,An Cung Ngưu Hoàng Hoàn có thể dùng cho các trường hợp đột quỵ hay tai biến mạch máu não nào không?,"Không thể dùng cho tất cả các trường hợp đột quỵ hay tai biến mạch máu não, việc dùng thuốc cần được chỉ định và theo dõi của chuyên gia y tế.","Chưa đủ thông tin. Theo thông tin trong NGỮ CẢNH, thuốc An Cung Ngưu Hoàng Hoàn không phải là thần dược chữa được mọi trường hợp đột quỵ nên không thể dùng cho tất cả các trường hợp đột quỵ hay tai biến mạch máu não. Việc dùng thuốc cần được chỉ định và theo dõi của chuyên gia y tế.",1,True,31c3cde39532d48265b5|d0a87564f55d5e4712bc|5ae8d2210897116285dd|8ccf2e4b8650e521daa9|9af53de377fa46036e36,31c3cde39532d48265b5|d0a87564f55d5e4712bc|5ae8d2210897116285dd|8ccf2e4b8650e521daa9|9af53de377fa46036e36,2070,1499,78,0.5863404000010632,OK,
27,drug_4260,drug,Người bệnh có thể dùng thuốc Avelox không nếu đang gặp vấn đề với tim?,"Không, nếu bệnh nhân đã từng được chẩn đoán rối loạn nhịp tim, suy tim hoặc nhịp tim chậm thì không được sử dụng thuốc này.",Chưa đủ thông tin. Trong NGỮ CẢNH không có thông tin về thuốc Avelox hoặc tác dụng phụ của nó đối với tim.,,False,2852bd0bbcbc3bba54a3|2a0a6d808d2de95d90be|9a642d72c4b2b2b4ee8c|ebb4a1ca95c4e083ca1f|bfe2dbad38aeb1aba01a,2852bd0bbcbc3bba54a3|2a0a6d808d2de95d90be|9a642d72c4b2b2b4ee8c|ebb4a1ca95c4e083ca1f|bfe2dbad38aeb1aba01a,2090,1517,33,2.9408145000015793,OK,
28,drug_4390,drug,Những đối tượng nào không được sử dụng thuốc trị viêm da axit salicylic có nồng độ trên 10%?,Nồng độ trên 10% của thuốc trị viêm da axit salicylic không được sử dụng cho đối tượng bệnh nhân bị bẹnh tiểu đường hoặc suy tuần hoàn.,Chưa đủ thông tin. Thuốc trị viêm da axit salicylic không được đề cập trong NGỮ CẢNH.,,False,2e665a87c0ddde37f4c2|8a0a492e43f29d806c6e|e4f54c86cdc4d7bf95b0|337f488868a044fb633d|4af75fc228f59e59b63f,2e665a87c0ddde37f4c2|8a0a492e43f29d806c6e|e4f54c86cdc4d7bf95b0|337f488868a044fb633d|4af75fc228f59e59b63f,753,954,31,0.5707230000007257,OK,
29,drug_1764,drug,Thuốc Alphalysosine được sử dụng để điều trị các trường hợp nào?,Thuốc Alphalysosine được sử dụng để điều trị các trường hợp viêm nhiễm sau phẫu thuật hay sau chấn thương.,Thuốc Alphalysosine được sử dụng để điều trị các trường hợp viêm nhiễm sau phẫu thuật hay sau chấn thương.,1,True,2447fc42ab51be6d1a24|08e8ad984906ec9ce46a|9cd3c5b680dcb92ffd1d|2908a2a7302553870f09|d57cd038c7d76950dbe1,2447fc42ab51be6d1a24|08e8ad984906ec9ce46a|9cd3c5b680dcb92ffd1d|2908a2a7302553870f09|d57cd038c7d76950dbe1,1241,963,30,0.4892364000006637,OK,
30,drug_2608,drug,Amoxycilin Vidipha được chỉ định dùng khi nào?,"Thuốc Amoxycilin Vidipha được sử dụng khi bị nhiễm trùng đường hô hấp trên, dưới do liên cầu khuẩn, phế cầu khuẩn...","Theo thông tin trong NGỮ CẢNH, Amoxycilin Vidipha được sử dụng trong các trường hợp sau: 1. Nhiễm khuẩn đường hô hấp trên. 2. Nhiễm khuẩn đường hô hấp dưới do liên cầu khuẩn, phế cầu khuẩn, tụ cẩu khuẩn không tiết penicilinase và H. influenzae. 3. Nhiễm khuẩn đường tiết niệu không có biến chứng. 4. Bệnh lậu. 5. Nhiễm khuẩn đường mật. 6. Nhiễm khuẩn da và cơ do các liên cầu khuẩn, tụ cầu khuẩn, E. Coli nhạy cảm với Amoxicillin.",4,True,98e9c122d5c001beef97|d064f133b6259706e78c|461987c0074a637587e6|a7730236c16528937cf1|617c66853b64e438667f,98e9c122d5c001beef97|d064f133b6259706e78c|461987c0074a637587e6|a7730236c16528937cf1|617c66853b64e438667f,1058,870,144,2.9070773999992525,OK,
31,drug_7075,drug,Vì sao nên thận trọng khi dùng thuốc Carbocistein chung với các thuốc kháng kết tập tiểu cầu?,"Carbocistein làm tăng hấp thu các thuốc kháng kết tập tiểu cầu vào máu. Do vậy, bạn có nguy cơ dễ bị chảy máu hơn nếu dùng chung Carbocistein với các thuốc kháng kết tập tiểu cầu.","Theo như thông tin trong NGỮ CẢNH, nên thận trọng khi dùng thuốc Carbocistein chung với các thuốc kháng kết tập tiểu cầu như clopidogrel, ticagrelor,... vì điều này có thể làm tăng nguy cơ chảy máu đường tiêu hóa và loét dạ dày.",1,True,a1cfb82039b895035b7d|acad03ce28e3865d0ba9|6567d54cd37873d0d157|e76c280fae57cdbd6086|402951022f3437455843,a1cfb82039b895035b7d|acad03ce28e3865d0ba9|6567d54cd37873d0d157|e76c280fae57cdbd6086|402951022f3437455843,1042,876,64,0.5232911999992211,OK,
32,drug_1240,drug,Trong thành phần của thuốc Agiosmin 500mg có thành phần nào làm giảm sinh khả dụng của fexofenadin?,Hesperidin là thành phần trong thuốc Agiosmin 500mg làm giảm sinh khả dụng của fexofenadin.,Hesperidin.,1,True,b247059f7cf1a75ef4a9|e2462268c572961de8da|22ebf9d06b336efc3f4a|c3fe73a29ad4c092de09|127b18639e08dbda0546,b247059f7cf1a75ef4a9|e2462268c572961de8da|22ebf9d06b336efc3f4a|c3fe73a29ad4c092de09|127b18639e08dbda0546,691,647,6,0.4389296999979706,OK,
33,drug_1560,drug,Khi nào nên dùng thuốc nhuận trường hoặc thuốc xổ trong trường hợp quá liều Algelstad?,Thuốc nhuận trường hoặc thuốc xổ được sử dụng trong các trường hợp khẩn cấp khi quá liều Algelstad.,"Chưa đủ thông tin. Để trả lời câu hỏi này, cần biết thêm thông tin về Algelstad và các triệu chứng quá liều.",1,True,08e8ad984906ec9ce46a|44b4ac98c1a9295953b0|81a48a84f8a50bee28e7|edb189ae28e2491dc438|f11e7555417a1d148fb8,08e8ad984906ec9ce46a|44b4ac98c1a9295953b0|81a48a84f8a50bee28e7|edb189ae28e2491dc438|f11e7555417a1d148fb8,826,716,32,0.5750795999992988,OK,
34,drug_1252,drug,Theo hướng dẫn bảo quản của Agiosmin 500mg thì thuốc nên được bảo quản ở nhiệt độ bao nhiêu?,Thuốc nên được bảo quản ở nhiệt độ không quá 30°C.,Nhiệt độ không quá 30°C.,1,True,127b18639e08dbda0546|da9ab38cc970770a21ac|ed3bab4be5ad277c956a|ebebd479dbac039b94a8|855250f62a81924c03e3,127b18639e08dbda0546|da9ab38cc970770a21ac|ed3bab4be5ad277c956a|ebebd479dbac039b94a8|855250f62a81924c03e3,781,688,12,0.4219314000001759,OK,
35,drug_3649,drug,Bệnh nhân bị hẹp động mạch cảnh có triệu chứng có sử dụng Atidogrel được không?,"Có, Atidogrel có thể sử dụng cho bệnh nhân bị hẹp động mạch cảnh có triệu chứng.","Có, bệnh nhân bị hẹp động mạch cảnh có triệu chứng có thể sử dụng Atidogrel. Theo thông tin trong NGỮ CẢNH, Atidogrel được chỉ định điều trị trong trường hợp bệnh nhân bị hẹp động mạch cảnh có triệu chứng.",1,True,3d2f3ddd42bd10e1639f|faf7b2c1ed19d8aa617c|78e74ff58e818a9716ae|9af24bdbad734b230163|bfba66d97a419cad9a33,3d2f3ddd42bd10e1639f|faf7b2c1ed19d8aa617c|78e74ff58e818a9716ae|9af24bdbad734b230163|bfba66d97a419cad9a33,1297,1000,58,2.752568200001406,OK,
36,drug_2964,drug,Antimuc An Thiên có tác dụng gì?,"Antimuc An Thiên có tác dụng tích cực trong các bệnh hô hấp. Như làm giảm đờm, chất nhầy trong thực quản, hỗ trợ đường thở đẩy đờm ra ngoài bằng các cơn ho.","Antimuc An Thiên có tác dụng tích cực trong các bệnh hô hấp, làm giảm đờm, chất nhầy trong thực quản, hỗ trợ đường thở đẩy đờm ra ngoài bằng các cơn ho.",1,True,43195941463a0e1d5d82|ebe1bcca2a6013684b91|1fcaaa9bdf4a11df0871|fe46e1154239e4741847|74e5d8b2fde35e4d2285,43195941463a0e1d5d82|ebe1bcca2a6013684b91|1fcaaa9bdf4a11df0871|fe46e1154239e4741847|74e5d8b2fde35e4d2285,1441,1055,48,0.4701535000021977,OK,
37,drug_5778,drug,Bilgrel được sản xuất dưới dạng nào?,"Bilgrel được sản xuất dưới dạng viên nén bao phim với mỗi hộp thuốc chứa 2 vỉ, mỗi vỉ 14 viên.",Viên nén bao phim.,1,True,bfba66d97a419cad9a33|b3f65b547db8332cb8bd|6cb30c8d3e211cd45253|92892d8ffc611882bb12|2653bad98b74a046436c,bfba66d97a419cad9a33|b3f65b547db8332cb8bd|6cb30c8d3e211cd45253|92892d8ffc611882bb12|2653bad98b74a046436c,999,861,8,0.4266304999982822,OK,
