kb,question,ground_truth,mrr_score,ap_score,latency_sec,num_relevant,docs_preview
kb2,Sưa non là j và có lợi ích như thế nào,"Sữa non là sữa tiết ra trong vài ngày đầu sau sinh, có nhiều chất dinh
dưỡng và giúp bảo vệ trẻ không bị bệnh tật.",0.0,0.0,0.0373,0,"CƠ THỂ PHÁT TRIỂN, TRÍ TUỆ PHÁT TRIỂN • Trẻ học khi chúng chơi. Khi chơi, trẻ sẽ ||| Câu hỏi	Trả lời	Nguồn: ROP là gì ?	""Bệnh lý võng mạc trẻ sanh non (Retinopathy o ||| 458 | 4. Đánh giá về phát triển tinh thần, vận động Tùy theo độ tuổi của trẻ, đá ||| 0 ĐẾN 6 THÁNG TUỔI ĐỒ CHƠI GIÚP BÉ VUI VÀ HỌC Những thứ để nhìn: • Đồ vật di độn ||| • Trí tuệ và cảm xúc của trẻ phát triển như thế nào • Làm sao để khuyến khích tr"
kb2,Việc cho con bú ngay trong vòng một giờ đầu sau sinh có lợi j cho người mẹ k ạ,"Giúp mẹ con gắn bó tình cảm, động tác mút vú làm cho sữa mẹ về nhanh hơn, tử cung co hồi tốt và giảm nguy cơ chảy máu cho bà mẹ.",1.0,1.0,0.0397,5,Nuôi con bằng sữa mẹ trong 7 ngày đầu sau sinh • Cho trẻ tiếp xúc da kề da và bú ||| Hướng dẫn các bà mẹ cách cho con bú và duy trì nguồn sữa ngay cả khi bà mẹ phải  ||| KHUYẾN NGHỊ VỀ NCBSM Cho trẻ bú mẹ sớm trong vòng 1 giờ đầu sau khi sinh • Không ||| Giúp các bà mẹ cho con bú ngay sau sinh trong vòng 1 giờ đầu. • Đặt trẻ tiếp xúc ||| 35 Thời gian cho trẻ bú - Cho trẻ bú ngay trong vòng 1 gi ờ đầu sau sinh đ ể tận
kb2,Những trường hợp nào các Mom k nên cho con bú mà pải dùng sữa thay thế,"Bà mẹ có bệnh phải dùng thuốc như ung thư, thuốc về thần kinh, bẹ mẹ có bệnh: suy tim, lao phổi, nhiễm trùng hoặc áp xe vú, bà mẹ bị nghiễm HIV hay xét nghiệm đang nghi ngờ HIV, trẻ có dị tật ở miệng mà không thể bú được.",1.0,1.0,0.0431,1,218 | 3. Cho con bú trong những ngày đầu. - Giải thích những thay đổi về vú tron ||| Câu hỏi	Trả lời	Nguồn: Không nên cho trẻ uống sữa vắt trực tiếp None: thay vào đ ||| Câu hỏi	Trả lời	Nguồn: - Cũng có thể đơn giản là do tư thế cho bé bú chưa đúng c ||| Cho trẻ ăn sữa mẹ đã vắt ra • Rã đông sữa: Đưa sữa lên ngăn mát tủ lạnh cho đỡ đ ||| KHUYẾN NGHỊ VỀ NCBSM Cho trẻ bú mẹ sớm trong vòng 1 giờ đầu sau khi sinh • Không
kb2,Tư thế bú đúng là như thế nào bs ơi,"Mẹ nằm hoặc ngồi ở tư thế thoải mái, có thể dùng gối hay chăn gấp kê dưới đầu bé nếu bà mẹ nằm hoặc để dưới cánh tay nếu bà mẹ ngồi. Mặt trẻ hướng vào vú mẹ, mũi trẻ đối diện với núm vú, măt mẹ nhìn vào bé. Toàn thân trẻ sát vào người mẹ, đầu-thân-mông trẻ trên đường thẳng.",0.0,0.0,0.0363,0,"Điều kiện 8 Khuyến khích cho trẻ bú mẹ theo nhu cầu. Bú theo nhu cầu là cho trẻ  ||| Chăm sóc ngày thứ 4 và ngày thứ 5 Vào ngày thứ 4 và ngày thứ 5 trong giai đoạn c ||| SỮA TRƯỞNG THÀNH  Bài tiết từ ngày 2, hiện tượng căng sữa  Số lượng nhiều, đủ  ||| Câu hỏi	Trả lời	Nguồn: - Cũng có thể đơn giản là do tư thế cho bé bú chưa đúng c"
kb2,Dấu hiệu nào cho thấy bé nhà mình đã bú tốt vậy ạ,"Miệng trẻ mở rộng ngậm sâu vào quầng thâm vú mẹ, môi dưới trẻ trễ xuống và thấy lưỡi của trẻ giữa bầu vú và môi dưới, trẻ bú dài hơi và sâu. Cằm của trẻ chuyển động theo mỗi lần mút, người mẹ không thấy đau ở đầu vú.",1.0,0.7,0.0513,3,Điều kiện 8 Khuyến khích cho trẻ bú mẹ theo nhu cầu. Bú theo nhu cầu là cho trẻ  ||| 73 - Tư vấn lợi ích của việc cho trẻ bú sớm: lợi ích cho trẻ; lợi ích cho mẹ - T ||| SỨC KHOẺ Sữa non (‘sữa đầu’) là món quà quý giá nhất cho em bé mới sinh. Sữa non ||| Hướng dẫn các bà mẹ cách cho con bú và duy trì nguồn sữa ngay cả khi bà mẹ phải  ||| ồi bú tiếp. Có thể nhìn hoặc nghe thấy tiếng trẻ nuốt). - Phát hiện các trường h
kb2,Sưa mẹ vắt ra có thể bảo quản ở nhiệt độ thường trong bao lâu,Chỉ nên để sữa lâu nhất khoảng 3 giờ sau khi vắt.,1.0,0.75,0.04,2,"Sữa mẹ có thể được bảo quản trong túi đá giữ nhiệt tối đa 24 giờ nếu bạn đi du l ||| Ba mẹ cần đảm bảo tã vải phải được giặt sạch sẽ  Đóng tất cả miếng gai dán dính  ||| 20 Xử trí - chăm sóc - Tập thể dục, vận động nhẹ nhàng - Uống nhiều nước ấm - Bổ ||| Bảo quản sữa mẹ đã vắt như thế nào? Mục lục Trước khi vắt sữa mẹ Bảo quản sữa mẹ ||| 50 - Có thể làm ẩm chụp vú đ ể tăng độ mút, kín khít. B ắt đầu hút v ới áp l ực "
kb2,Tại sao các Mom cho con bú k nên kiêng ăn uống và cần nghỉ ngơi,"Được ăn uống đầy đủ, nghỉ ngơi hợp lý giúp bà mẹ có sức khoẻ tốt và có
đủ sữa để nuôi con.",1.0,0.8042,0.0394,4,KHUYẾN NGHỊ VỀ NCBSM Cho trẻ bú mẹ sớm trong vòng 1 giờ đầu sau khi sinh • Không ||| Câu hỏi	Trả lời	Nguồn: - Không bú hoặc ăn bú quá ít None: ||| 17 Hỗ trợ bú mẹ • Nghỉ ngơi tại phòng và tiếp xúc da kề da với mẹ khi cần. Bú mẹ ||| | 219 - Nên ngừng bú sớm (6 tháng) để hạn chế nguy cơ truyền HIV; - Cần tư vấn c ||| Nuôi con khi trẻ không chịu bú mẹ (3) Bốn nhóm giải pháp giúp trẻ bú trở lại 1. 
kb2,Mẹ sau sinh cần bổ sung Vitamin A với liều lượng bao nhiêu bs ơi,"Sau khi sinh bà mẹ cần uống 1 liều vitamin A 200.000 đơn vị để cung cấp
đủ vitamin A trong sữa mẹ cho trẻ.",1.0,0.95,0.0399,4,"Câu hỏi	Trả lời	Nguồn: Với mẹ bầu None: bạn cần chú ý chăm sóc sức khỏe và bổ su ||| Câu hỏi	Trả lời	Nguồn: có thể thay thế phơi nắng bằng bổ sung vitamin D cho trẻ  ||| Câu hỏi	Trả lời	Nguồn: Độ tuổi nào thì nên cho bé dùng sữa tươi?	""Sữa tươi chứa  ||| Hướng dẫn chăm sóc mẹ sau sinh thường Nội dung video được tư vấn chuyên môn bởi  ||| | 249 NUÔI DƯỠNG TĨNH MẠCH Ở TRẺ SƠ SINH MỞ ĐẦU: Nuôi dưỡng tĩnh mạch bao gồm cu"
kb2,Khi nào thì bé con bắt đầu bước vào giai đoạn ăn bổ sung (ăn dặm),Khi trẻ tròn 6 tháng tuổi (180 ngày).,0.0,0.0,0.0461,0,"SỨC KHOẺ • Bắt đầu cho trẻ ăn bổ sung (ăn sam, ăn dặm) tốt nhất từ 6 tháng tuổi  ||| Trắc nghiệm: Sự phát triển tinh thần, vận động của bé thế nào là đúng chuẩn? Khi ||| Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia Ăn dặm l ||| SỨC KHOẺ GIÚP TRẺ ĂN TỐT Là cha mẹ, nhiệm vụ của bạn là quyết định: • Chọn thức  ||| 248 | Gợi ý tiến trình dinh dưỡng đường tiêu hóa ở trẻ sinh non Cân nặng Thể tíc"
kb2,Nguyên tắc cho bé ăn dặm về độ đặc và số lượng là j ạ,"Cho trẻ ăn từ loãng đến đặc, từ ít đến nhiều.",1.0,0.8042,0.0423,4,"Bên cạnh đó, số bữa ăn dặm cũng cần được cân bằng với nguồn sữa mẹ để trẻ dần th ||| Trắc nghiệm: Sự phát triển tinh thần, vận động của bé thế nào là đúng chuẩn? Khi ||| Câu hỏi	Trả lời	Nguồn: Bé 2 tuổi nên chọn loại sữa tươi dạng nguyên kem None: nế ||| Hướng dẫn bà mẹ cho trẻ ăn bằng cốc • Rửa tay sạch. • Chuẩn bị lượng sữa đủ một  ||| Câu hỏi	Trả lời	Nguồn: - Nếu bé uống quá nhiều sữa kể cả sữa bột hay sữa tươi th"
kb2,Bé từ 7-12 tháng tuổi cần ăn bao nhiêu bữa bột 1 ngày các v a,"Cho trẻ ăn 3 bữa bột một ngày kèm sữa mẹ. Ngoài ra cho trẻ uống thêm nước ép trái cây, bánh mềm.",1.0,0.8042,0.0421,4,"Trẻ từ 9 - 11 tháng: Giai đoạn này có thể cho trẻ ăn 3 - 4 bữa bột đặc một ngày. ||| Số bữa ăn dặm trong ngày của trẻ từ 6 tháng - 24 tháng Cho trẻ ăn dặm mấy bữa mỗ ||| DINH DƯỠNG CHO TRẺ DƯỚI 2 TUỔI TRUNG TÂM TRUYỀN THÔNG GDSK TRUNG ƯƠNG TRANH 7 Tr ||| SỨC KHOẺ GIÚP TRẺ ĂN TỐT Là cha mẹ, nhiệm vụ của bạn là quyết định: • Chọn thức  ||| SỨC KHOẺ • Bắt đầu cho trẻ ăn bổ sung (ăn sam, ăn dặm) tốt nhất từ 6 tháng tuổi "
kb2,Bốn nhóm thực phẩm cần có trong bữa ăn của bé nhà mình là j,"Cho trẻ ăn đủ bốn nhóm thực phẩm: tinh bột, đạm, mỡ hay dầu thực vật
và các loại rau quả.",1.0,1.0,0.0404,5,"Trẻ từ 9 - 11 tháng: Giai đoạn này có thể cho trẻ ăn 3 - 4 bữa bột đặc một ngày. ||| SỨC KHOẺ Ở độ tuổi chập chững biết đi, trẻ không cần ăn một lượng lớn thức ăn. Q ||| Cho bé ăn dặm từ lỏng đến đặc Nên cho trẻ ăn bột loãng từ 2 - 3 ngày sau đó tăng ||| SỨC KHOẺ GIÚP TRẺ ĂN TỐT Là cha mẹ, nhiệm vụ của bạn là quyết định: • Chọn thức  ||| Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia Ăn dặm l"
kb2,Trẻ từ 12-24 tháng tuổi cần ăn bn bữa 1 ngày thế,"Trẻ từ 12 -24 tháng: Cho trẻ ăn 5 bữa một ngày (3 bữa cháo chính và 2
bữa phụ hoa quả, sữa hoặc bánh).",1.0,0.8042,0.0396,4,Số bữa ăn dặm trong ngày của trẻ từ 6 tháng - 24 tháng Cho trẻ ăn dặm mấy bữa mỗ ||| Câu hỏi	Trả lời	Nguồn: Ở trẻ sơ sinh và trẻ nhỏ < 12 tháng tuổi: ||| Trẻ từ 9 - 11 tháng: Giai đoạn này có thể cho trẻ ăn 3 - 4 bữa bột đặc một ngày. ||| có thể bắt đầu cho ăn sớm hơn. - Tăng sữa khi trẻ ổn định và dung nạp nuôi dưỡng ||| KHUYẾN NGHỊ VỀ NCBSM (2) Cho trẻ bú kéo dài đến 24 tháng hoặc lâu hơn • Từ 6 thá
kb2,Lợi ích của việc tiêm chủng vắc xin đầy đủ cho bé nhà t,"Giúp phòng ngừa các bệnh nguy hiểm như Lao, Bạch hầu, Ho gà, Uốn ván, Bại liệt, viêm gan B, viêm não Nhật Bản,…",0.0,0.0,0.0399,0,CHĂM SÓC TRẺ CHĂM SÓC TRẺ • Trẻ cần được tiêm chủng theo chương trình tiêm chủng ||| Câu hỏi	Trả lời	Nguồn: Thuốc kháng sinh không thực sự hữu ích trong điều trị Non ||| | 229 5. Nguyên tắc tiến hành. - Rửa tay. - Đặt NKQ (nếu bệnh nhân chưa có NKQ). ||| 254 | - Phát hiện các triệu chứng của giang mai bẩm sinh để chuyến tuyến trên (c ||| Câu hỏi	Trả lời	Nguồn: Vi khuẩn hoặc virus: không chỉ gây viêm da cơ địa None: t
kb2,"Khi bé bị tiêu chảy ở nhà, mẹ bỉm cần cho bé uống nước j","Cho trẻ bú nhiều hơn và lâu hơn. Cho trẻ uống Ô-rê-zôn, nước cháo, nước cơm hoặc nước ép quả tươi.",1.0,0.8875,0.0383,4,"Tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước? Nhiều gi ||| NHỮNG VẤN ĐỀ PHỔ BIẾN TIÊU CHẢY Trẻ bị tiêu chảy là khi trẻ đi đại tiện (đi ngoà ||| Câu hỏi	Trả lời	Nguồn: - Dấu hiệu mất nước vừa đến nặng: khô môi miệng None: khó ||| Các trường hợp cần vắt sữa 1. Để lại sữa cho con khi mẹ đi làm. 2. Nuôi trẻ nhẹ  ||| Một đứa trẻ được coi là bú mẹ hoàn toàn khi chỉ nhận được sữa mẹ, không có bất k"
kb2,"Giai đoạn ""Cửa sổ cơ hội"" để phòng chống thấp còi là khi nào the",Là giai đoạn trẻ từ 6 đến 24 tháng tuổi.,0.0,0.0,0.0504,0,| 225 SUY HÔ HẤP SƠ SINH 1. Tổng quan Suy hô hấp là nguyên nhân nhập viện hàng đ ||| Câu hỏi	Trả lời	Nguồn: Không gian nào trong gia đình là phù hợp nhất để dạy con  ||| tóm tắt bằng từ CRAFFT xuất phát từ 6 chữ đầu của 6 từ tiếng Anh (có thể tham kh ||| AN TOÀN VÀ PHÒNG CHỐNG THƯƠNG TÍCH TẠO NGÔI NHÀ AN TOÀN CHO TRẺ Hầu hết các tai  ||| Các chuyên gia y tế đều khuyên các bậc phụ huynh không nên đợi tới khi trẻ đủ 18
kb2,Sự khác biệt về tỷ lệ Casein giữa sưa người và sữa bò là j,"Casein trong sữa người chiếm 35% (dễ tiêu hóa), trong khi sữa bò chiếm 80% (khó tiêu hóa).",1.0,1.0,0.0414,3,Sự khác nhau về chất lượng protein trong các loại sữa Sữa bòSữa người Whey prote ||| Sự khác nhau giữa sữa non và sữa trưởng thành Fat Protein Lactose Sữa đầu Sữa cu ||| Câu hỏi	Trả lời	Nguồn: Sữa tươi hay sữa bột đều có những ưu và nhược điểm của nó ||| 7 Sản dịch: - Là d ịch t ừ trong đư ờng sinh d ục mà ch ủ yếu là t ừ buồng tử cu ||| So sánh các chất dinh dưỡng trong sữa mẹ và sữa động vật
kb2,Tại sao sưa mẹ giúp bé nhà mình chống đc nhiễm khuẩn,"Vì sữa mẹ chứa các kháng thể, tế bào bạch cầu và các protein chống nhiễm khuẩn được tiết trực tiếp từ cơ thể mẹ.",0.0,0.0,0.0362,0,"Câu hỏi	Trả lời	Nguồn: Hướng dẫn chăm sóc trẻ bị chàm da?	""Việc chăm sóc trẻ đún ||| Thuốc điều trị nấm miệng cho trẻ được dùng sau ăn Nếu bạn đang sử dụng máy hút s ||| 230 | VIÊM PHỔI 1. Tổng quan Viêm phổi là một trong những bệnh lý thường gặp và  ||| CƠ THỂ PHÁT TRIỂN, TRÍ TUỆ PHÁT TRIỂN Các em bé và trẻ nhỏ đôi lúc sẽ thấy sợ hã ||| Câu hỏi	Trả lời	Nguồn: Bên cạnh đó None: cha mẹ cần giữ trẻ tránh xa các tác nhâ"
kb2,Sưa mẹ chứa bao nhiêu năng lượng trong 1 lít bs ơi,Năng lượng từ sữa mẹ khoảng  500 kcal đến gần 600 kcal.,0.5,0.5333,0.041,3,"51 Trong ngăn mát tủ lạnh, nhiệt độ ≤-4 độ C thời gian bảo quản tốt nhất 4 ngày  ||| Nhu cầu dinh dưỡng của bà mẹ thời kỳ mang thai và NCBSM Nhu cầu dinh dưỡng /ngày ||| CƠ THỂ PHÁT TRIỂN, TRÍ TUỆ PHÁT TRIỂN ĐỒ CHƠI TỰ LÀM HOẶC SẴN CÓ Vật dụng trong  ||| 248 | Gợi ý tiến trình dinh dưỡng đường tiêu hóa ở trẻ sinh non Cân nặng Thể tíc ||| • Calo: 1 lít sữa mẹ có 600 - 700 kcal. • Protein: lượng protein ở sữa mẹ ít hơn"
kb2,giải pháp hỗ trợ phản xạ oxytocin hoạt động tốt ạ,"• Tạo điều kiện cho bà mẹ luôn ở bên cạnh con.
• Bà mẹ luôn có được cảm giác thoải mái.
• Luôn củng cố niềm tin cho bà mẹ.
• Không đề cập đến bất cứ điều gì làm cho bà mẹ nghi ngờ về khả năng tạo sữa của mình.",0.2,0.2,0.0408,1,Phản xạ Oxytocin • Hoạt động trước và trong bữa bú làm cho sữa tiết ra • Tử cung ||| Hỗ trợ và cản trở phản xạ Oxytocin • Lo lắng • Căng thẳng • Đau • Khong tin tưởn ||| 368 | TÌNH DỤC AN TOÀN VÀ ĐỒNG THUẬN 1. Giới thiệu Hành vi tình dục bao gồm tất  ||| 124 | SỬ DỤNG OXYTOCIN Thuốc oxytocin là thuốc gây co cơ tử cung cả về tần số và ||| Giải pháp hỗ trợ phản xạ oxytocin hoạt động tốt • Tạo điều kiện cho bà mẹ luôn ở
kb2,Dung tích dạ dày của bé sơ sinh trong ngày đầu tiên là bao nhiêu z,Dung tích dạ dày trẻ trong ngày 1 (0-24 giờ) là từ 5 – 7 ml mỗi lần bú.,0.0,0.0,0.0434,0,"| 457 HƯỚNG DẪN KHÁM SỨC KHỎE TRẺ EM ĐỊNH KỲ Hướng dẫn này được sử dụng để khám  ||| Trắc nghiệm: Sự phát triển tinh thần, vận động của bé thế nào là đúng chuẩn? Khi ||| Câu hỏi	Trả lời	Nguồn: Con tôi thường thức ban đêm, ngủ vào ban ngày, vậy bé có  ||| Câu hỏi	Trả lời	Nguồn: Nhiễm trùng mắt ở trẻ sơ sinh là gì?	""Trẻ sơ sinh được tí ||| 89 LỊCH TIÊM CHỦNG CHO BÉ Lứa tuổi Tiêm chủng - Sơ sinh - 2 tháng tuổi - 3 tháng"
kb2,"Đến ngày thứ 3 sau sinh, dung tích dạ dày của bé tăng lên bao nhiêu ạ",Dung tích dạ dày trẻ tăng lên khoảng 22 – 27 ml mỗi lần bú.,0.0,0.0,0.0431,0,"Trắc nghiệm: Sự phát triển tinh thần, vận động của bé thế nào là đúng chuẩn? Khi ||| Câu hỏi	Trả lời	Nguồn: Sau khi sinh None: trẻ vẫn cần nhận vitamin K từ sữa mẹ h ||| Cách điều trị bệnh viêm da cơ địa trẻ 3 tháng tuổi Hỏi Chào bác sĩ ạ. Bé nhà em  ||| 89 LỊCH TIÊM CHỦNG CHO BÉ Lứa tuổi Tiêm chủng - Sơ sinh - 2 tháng tuổi - 3 tháng ||| Chăm sóc ngày thứ 4 và ngày thứ 5 Vào ngày thứ 4 và ngày thứ 5 trong giai đoạn c"
