id,question,expected,predicted,correct,latency_seconds,error
111,máy tính của tôi chạy chậm phải làm sao,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.5438656999904197,
112,cách học tiếng Anh giao tiếp hiệu quả,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.41819709999253973,
113,tôi nên mua điện thoại nào,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.40420689998427406,
114,hãy giải phương trình bậc hai,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.5533537000010256,
115,cách chăm sóc cây hoa hồng,OUT_OF_SCOPE,OUT_OF_SCOPE,True,3.732336099987151,
116,tìm đường đi từ Cần Thơ đến Đà Lạt,OUT_OF_SCOPE,OUT_OF_SCOPE,True,9.638238200015621,
117,lịch thi đấu bóng đá tối nay,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.40669880001223646,
118,cách tạo tài khoản ngân hàng trực tuyến,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.46816889999900013,
119,hãy kể một câu chuyện trinh thám,OUT_OF_SCOPE,SMALLTALK,False,0.5195617999997921,
120,cách cài đặt Windows trên laptop,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.4188064000045415,
121,tỷ giá đô la Mỹ hôm nay,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.3975153000210412,
122,hãy viết một bài thơ về mùa thu,OUT_OF_SCOPE,OUT_OF_SCOPE,True,6.885878899978707,
123,cách đổi mật khẩu WiFi,OUT_OF_SCOPE,OUT_OF_SCOPE,True,8.72737429998233,
124,ai là tổng thống Hoa Kỳ hiện nay,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.4170427000208292,
125,cách sử dụng Photoshop để xóa nền,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.42114890000084415,
126,hãy tóm tắt truyện Dế Mèn phiêu lưu ký,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.434673899988411,
127,cách đăng ký tài khoản Facebook,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.4608965999796055,
128,chứng khoán hôm nay tăng hay giảm,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.43007820000639185,
129,cách làm bánh bông lan,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.43709030002355576,
130,giúp tôi lập kế hoạch du lịch Đà Nẵng,OUT_OF_SCOPE,OUT_OF_SCOPE,True,6.687453099992126,
131,cách sửa lỗi máy in không nhận giấy,OUT_OF_SCOPE,OUT_OF_SCOPE,True,9.77052520000143,
132,hãy viết đoạn văn tiếng Anh về môi trường,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.5112220000009984,
133,luật việt vị trong bóng đá là gì,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.4454918999981601,
134,cách mua vé máy bay trực tuyến,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.4771189999883063,
135,hãy giải thích định luật Newton,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.46047300001373515,
136,cách chăm sóc chó con,OUT_OF_SCOPE,RAG,False,0.42254569998476654,
137,giá xăng hôm nay bao nhiêu,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.45093890000134706,
138,cách cài ứng dụng trên điện thoại Android,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.5176423000229988,
139,hãy tạo một câu đố vui,OUT_OF_SCOPE,RAG,False,5.678708799998276,
140,cách mở cửa hàng bán quần áo,OUT_OF_SCOPE,OUT_OF_SCOPE,True,8.633221399999456,
141,mẹ ơi chỉ tôi cách sửa xe với,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.42015900000114925,
142,bé tên Python là ngôn ngữ gì vậy,OUT_OF_SCOPE,RAG,False,8.63368180001271,
143,cách chơi đàn guitar cho người mới,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.44416730001103133,
144,hãy giúp tôi viết CV xin việc,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.3816676000133157,
145,cách tính diện tích hình tròn,OUT_OF_SCOPE,OUT_OF_SCOPE,True,8.092012200009776,
146,lịch nghỉ lễ năm nay,OUT_OF_SCOPE,OUT_OF_SCOPE,True,9.692290700011654,
147,cách đặt món ăn trên ứng dụng giao hàng,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.6140300999977626,
148,hãy kể lịch sử thành phố Cần Thơ,OUT_OF_SCOPE,OUT_OF_SCOPE,True,7.992683599994052,
149,cách khôi phục tệp đã xóa trên máy tính,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.5754610000003595,
150,tư vấn mua laptop để học lập trình,OUT_OF_SCOPE,OUT_OF_SCOPE,True,0.44119599999976344,
151,Dấu hiệu cho thấy trẻ đang bú hiệu quả?,RAG,RAG,True,0.4049208000069484,
152,Sau khi sinh bao lâu thì em có thể bắt đầu tập các bài thể dục nhẹ nhàng để lấy lại vóc dáng ạ?,RAG,RAG,True,0.3879525000229478,
153,"tại sao sau khi sinh xong em lại bị đau nhức khắp người, đặc biệt là vùng lưng và các khớp tay chân ạ?",RAG,RAG,True,0.3994354000024032,
154,Sữa mẹ chứa bao nhiêu phần trăm là nước?,RAG,RAG,True,7.61289229997783,
155,Thời gian bảo quản sữa mẹ trong ngăn đá tủ lạnh (-18 đến -20°C)?,RAG,RAG,True,0.40867699999944307,
156,Nguyên nhân phổ biến nhất gây băng huyết sau sinh là gì?,RAG,RAG,True,0.45226049999473616,
157,Sữa mẹ sau khi vắt ra để ở nhiệt độ phòng (khoảng 25 độ C) thì dùng được trong bao lâu?,RAG,RAG,True,7.787274300004356,
158,Làm sao để em tạo được thói quen ăn uống tốt cho con và tránh tình trạng trẻ chỉ thích ăn một vài món nhất định ạ?,RAG,RAG,True,0.5507721999892965,
159,"Em cảm thấy rất tội lỗi khi không thể chăm sóc con tốt như mong đợi, đây có phải là dấu hiệu của trầm cảm không?",RAG,RAG,True,9.80521319998661,
160,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?",RAG,RAG,True,0.4344907999911811,
161,"Bác sĩ ơi, sau sinh bao lâu thì em có thể bắt đầu tập thể dục lại để lấy lại vóc dáng mà không ảnh hưởng vết mổ ạ?",RAG,RAG,True,0.37964639998972416,
162,"""Khối cầu an toàn"" của tử cung sau sinh là gì?",RAG,RAG,True,8.664090300007956,
163,"Em có thói quen ngâm tã bẩn trong chậu nước pha baking soda để khử mùi, cách này có an toàn và sạch khuẩn không ạ?",RAG,RAG,True,9.69595679998747,
164,"Tại sao bé nhà em lại hay quấy khóc vào một khung giờ cố định buổi tối (khóc dạ đề), em phải làm gì để dỗ con ạ?",RAG,RAG,True,0.509955000015907,
165,Khi nào thì rốn của bé bị sưng đỏ được coi là nhiễm trùng mức độ nặng ạ?,RAG,RAG,True,8.618996500008507,
166,Làm sao để em biết bé nhà em bị sốt và khi nào thì mức nhiệt đó là nguy hiểm ạ?,RAG,RAG,True,0.44115740002598614,
167,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà không la hét?,RAG,RAG,True,0.42359799999394454,
168,"Ngoài việc cải thiện chuyện tiểu tiện, tập phục hồi sàn chậu có giúp ích gì cho đời sống vợ chồng sau sinh không ạ?",RAG,RAG,True,0.5326729000080377,
169,Cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao?,RAG,RAG,True,0.42693670000880957,
170,"Bé nhà em bắt đầu mọc răng và rất hay sốt nhẹ, quấy khóc, em có thể làm gì giúp bé đỡ đau?",RAG,RAG,True,0.5934173999994528,
171,Hậu quả của thiếu dinh dưỡng trong 3 tháng cuối thai kỳ là gì?,RAG,RAG,True,0.4394038000027649,
172,"Em có nên sử dụng núm vú giả để dỗ bé ngủ không, việc này có gây ảnh hưởng đến khớp cắn hay khiến bé bỏ bú mẹ không",RAG,RAG,True,0.4477045999956317,
173,"Khi giặt tã vải cho con, em nên chọn loại chất tẩy rửa nào để vừa sạch vết bẩn vừa không làm hỏng tã ạ?",RAG,RAG,True,0.4377453000051901,
174,"Em sờ thấy có cục cứng trong bầu ngực, nếu em không điều trị sớm thì có nguy hiểm gì không ạ?",RAG,RAG,True,0.4814448000106495,
175,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ?",RAG,RAG,True,0.39586610000696965,
176,Bé nhà em bị sặc sữa thì em cần phải xử lý sơ cứu tại chỗ như thế nào để đảm bảo an toàn cho con ạ?,RAG,RAG,True,4.5515422000025865,
177,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?",RAG,RAG,True,0.5241542999865487,
178,"Bé nhà em hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, em có nên trả lời hết các câu hỏi đó không?",RAG,RAG,True,0.43318550000549294,
179,"Làm sao để khuyến khích con tự lập trong việc vệ sinh cá nhân như đánh răng, rửa tay?",RAG,RAG,True,0.43779280001763254,
180,Sữa mẹ vắt ra có thể bảo quản ở nhiệt độ thường trong bao lâu?,RAG,RAG,True,0.5141875999979675,
181,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu gì ạ?,RAG,RAG,True,0.5115435000043362,
182,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?",RAG,RAG,True,0.4747833000146784,
183,Trẻ sơ sinh được định nghĩa là trẻ trong độ tuổi nào?,RAG,RAG,True,0.48387579998234287,
184,Em bị rách tầng sinh môn thì khi đi vệ sinh cần lưu ý rửa như thế nào cho đúng?,RAG,RAG,True,0.5386975999863353,
185,"Bé nhà mình hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, có nên trả lời hết các câu hỏi đó k",RAG,RAG,True,0.5685063999844715,
186,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào k chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé k",RAG,RAG,True,5.645002699980978,
187,Sưa mẹ chứa bao nhiêu phần trăm là nước các Mom nhỉ,RAG,RAG,True,8.751738099992508,
188,"Làm sao để em giúp bé con nhận biết và học tên các màu sắc, hình khối 1 cách tự nhiên nhất",RAG,RAG,True,0.4383490000036545,
189,Sưa non của em màu vàng và đặc thì có tốt cho bé con k bs ơi,RAG,RAG,True,0.42554299999028444,
190,"Em mới sinh bé con xong, trong mấy tiếng đầu bs sẽ theo dõi em thế nào",RAG,RAG,True,0.4037069999903906,
191,"Em có cần fải đánh giá lại sự phát triển của bé thường xuyên k, hay chỉ cần thực hiện 1 lần khi bé có dấu hiệu lạ?",RAG,RAG,True,0.5396844999922905,
192,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho bé bú k mn ơi",RAG,RAG,True,0.4596739999833517,
193,"Em nghe nói sau sinh k nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng k",RAG,RAG,True,0.6450812999974005,
194,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn fải k?,RAG,RAG,True,0.4845577000232879,
195,Cách xử trí ở nhà khi bé nhà t bị sốt cao fải làm sao,RAG,RAG,True,0.539013800007524,
196,"Em bị mất ngủ kéo dài và hay quên sau sinh, có phải đây là dấu hiệu thiếu chất hay do thay đổi nội tiết tố k",RAG,RAG,True,0.4950671000115108,
197,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý v,RAG,RAG,True,4.54926259999047,
198,Những thực phẩm nào mẹ bỉm mang thai nên dùng để cung cấp năng lượng,RAG,RAG,True,1.6472607999749016,
199,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu j a,RAG,RAG,True,7.691665599995758,
200,Thời gian bảo quản sưa mẹ trong ngăn đá tủ lạnh (-18 đến -20°C),RAG,RAG,True,0.4220570999896154,
