question,ground_truth,source,answer,num_docs
Sữa non là gì và có lợi ích như thế nào?,"Sữa non là sữa tiết ra trong vài ngày đầu sau sinh, có nhiều chất dinh
dưỡng và giúp bảo vệ trẻ không bị bệnh tật.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Việc cho con bú ngay trong vòng một giờ đầu sau sinh có lợi gì cho người mẹ?,"Giúp mẹ con gắn bó tình cảm, động tác mút vú làm cho sữa mẹ về nhanh hơn, tử cung co hồi tốt và giảm nguy cơ chảy máu cho bà mẹ.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Những trường hợp nào bà mẹ không nên cho con bú mà phải dùng sữa thay thế?,"Bà mẹ có bệnh phải dùng thuốc như ung thư, thuốc về thần kinh, bẹ mẹ có bệnh: suy tim, lao phổi, nhiễm trùng hoặc áp xe vú, bà mẹ bị nghiễm HIV hay xét nghiệm đang nghi ngờ HIV, trẻ có dị tật ở miệng mà không thể bú được.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Tư thế bú đúng là như thế nào?,"Mẹ nằm hoặc ngồi ở tư thế thoải mái, có thể dùng gối hay chăn gấp kê dưới đầu bé nếu bà mẹ nằm hoặc để dưới cánh tay nếu bà mẹ ngồi. Mặt trẻ hướng vào vú mẹ, mũi trẻ đối diện với núm vú, măt mẹ nhìn vào bé. Toàn thân trẻ sát vào người mẹ, đầu-thân-mông trẻ trên đường thẳng.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Dấu hiệu nào cho thấy trẻ bú tốt?,"Miệng trẻ mở rộng ngậm sâu vào quầng thâm vú mẹ, môi dưới trẻ trễ xuống và thấy lưỡi của trẻ giữa bầu vú và môi dưới, trẻ bú dài hơi và sâu. Cằm của trẻ chuyển động theo mỗi lần mút, người mẹ không thấy đau ở đầu vú.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Sữa mẹ vắt ra có thể bảo quản ở nhiệt độ thường trong bao lâu?,Chỉ nên để sữa lâu nhất khoảng 3 giờ sau khi vắt.,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Tại sao bà mẹ cho con bú không nên kiêng ăn uống và cần nghỉ ngơi?,"Được ăn uống đầy đủ, nghỉ ngơi hợp lý giúp bà mẹ có sức khoẻ tốt và có
đủ sữa để nuôi con.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Mẹ sau sinh cần bổ sung Vitamin A với liều lượng bao nhiêu?,"Sau khi sinh bà mẹ cần uống 1 liều vitamin A 200.000 đơn vị để cung cấp
đủ vitamin A trong sữa mẹ cho trẻ.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Khi nào thì trẻ bắt đầu bước vào giai đoạn ăn bổ sung (ăn dặm)?,Khi trẻ tròn 6 tháng tuổi (180 ngày).,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Nguyên tắc cho trẻ ăn dặm về độ đặc và số lượng là gì?,"Cho trẻ ăn từ loãng đến đặc, từ ít đến nhiều.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Trẻ từ 7-12 tháng tuổi cần ăn bao nhiêu bữa bột một ngày?,"Cho trẻ ăn 3 bữa bột một ngày kèm sữa mẹ. Ngoài ra cho trẻ uống thêm nước ép trái cây, bánh mềm.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Bốn nhóm thực phẩm cần có trong bữa ăn của trẻ là gì?,"Cho trẻ ăn đủ bốn nhóm thực phẩm: tinh bột, đạm, mỡ hay dầu thực vật
và các loại rau quả.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
Trẻ từ 12-24 tháng tuổi cần ăn bao nhiêu bữa một ngày?,"Trẻ từ 12 -24 tháng: Cho trẻ ăn 5 bữa một ngày (3 bữa cháo chính và 2
bữa phụ hoa quả, sữa hoặc bánh).",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,"Xin lỗi, MomCare không thể hỗ trợ yêu cầu này. Mẹ nên đưa bé đến cơ sở y tế để được thăm khám trực tiếp.",5
Lợi ích của việc tiêm chủng vắc xin đầy đủ cho trẻ?,"Giúp phòng ngừa các bệnh nguy hiểm như Lao, Bạch hầu, Ho gà, Uốn ván, Bại liệt, viêm gan B, viêm não Nhật Bản,…",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
"Khi trẻ bị tiêu chảy tại nhà, mẹ cần cho trẻ uống nước gì?","Cho trẻ bú nhiều hơn và lâu hơn. Cho trẻ uống Ô-rê-zôn, nước cháo, nước cơm hoặc nước ép quả tươi.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,,5
"Giai đoạn ""Cửa sổ cơ hội"" để phòng chống thấp còi là khi nào?",Là giai đoạn trẻ từ 6 đến 24 tháng tuổi.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Sự khác biệt về tỷ lệ Casein giữa sữa người và sữa bò là gì?,"Casein trong sữa người chiếm 35% (dễ tiêu hóa), trong khi sữa bò chiếm 80% (khó tiêu hóa).",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Tại sao sữa mẹ giúp trẻ chống được nhiễm khuẩn?,"Vì sữa mẹ chứa các kháng thể, tế bào bạch cầu và các protein chống nhiễm khuẩn được tiết trực tiếp từ cơ thể mẹ.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Nhu cầu năng lượng từ sữa mẹ/ngày cho trẻ từ 3-5 tháng tuổi là bao nhiêu kcal?,Năng lượng từ sữa mẹ khoảng  500 kcal đến gần 600 kcal.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Giải pháp hỗ trợ phản xạ oxytocin hoạt động tốt?,"• Tạo điều kiện cho bà mẹ luôn ở bên cạnh con.
• Bà mẹ luôn có được cảm giác thoải mái.
• Luôn củng cố niềm tin cho bà mẹ.
• Không đề cập đến bất cứ điều gì làm cho bà mẹ nghi ngờ về khả năng tạo sữa của mình.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Dung tích dạ dày của trẻ sơ sinh trong ngày đầu tiên là bao nhiêu?,Dung tích dạ dày trẻ trong ngày 1 (0-24 giờ) là từ 5 – 7 ml mỗi lần bú.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
"Đến ngày thứ 3 sau sinh, dung tích dạ dày của bé tăng lên bao nhiêu?",Dung tích dạ dày trẻ tăng lên khoảng 22 – 27 ml mỗi lần bú.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Dung tích dạ dày trẻ từ ngày thứ 5 đến ngày thứ 7 sau đẻ là bao nhiêu?,Khoảng 43 – 57 ml cho mỗi lần bú.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Sữa mẹ chứa bao nhiêu phần trăm là nước?,Sữa mẹ chứa tới 88% là nước.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Tại sao không nên cho trẻ bú bình hoặc dùng núm vú giả?,"Trẻ bú bằng bình với núm vú giả vì sẽ làm cho trẻ quen bú vú giả bỏ bú mẹ sau này, gây giảm bú và giảm sản xuất sữa.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Hormon nào chịu trách nhiệm tạo sữa và hormon nào giúp phun sữa?,Prolactin giúp tạo sữa và Oxytocin giúp phun sữa (tống sữa ra ngoài).,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không?,"Phản xạ oxytocin rất quan trọng giúp tống sữa ra ngoài. Khi bà mẹ vắt sữa, phản xạ oxytocin không thể hoạt động tốt bằng khi trẻ bú. Bà mẹ cần biết cách hỗ trợ cho phản xạ oxytocin, nếu không bà mẹ sẽ gặp khó khăn trong việc vắt sữa.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Nếu vú đầy sữa thì sự bài tiết sữa sẽ như thế nào?,Nếu vú đầy sữa thì sự bài tiết sữa sẽ dừng lại.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Hậu quả của việc trẻ ngậm bắt vú sai là gì?,"Gây đau,tổn thương núm vú, cương tức vú, trẻ bú không đủ sữa, trẻ đòi bú liên tục, mỗi lần bú kéo dài hơn bình thường, giảm sự tạo sữa và trẻ không tăng cân.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Có bao nhiêu trường hợp bà mẹ được khuyến nghị cần vắt sữa?,"Có 7 trường hợp chính:                                                                                                                                       1. Để lại sữa cho con khi mẹ đi làm.
2. Nuôi trẻ nhẹ cân, không thể bú mẹ được.
3. Nuôi trẻ bệnh, không thể bú đủ.
4. Duy trì nguồn sữa khi bà mẹ hoặc trẻ bị ốm.
5. Ngăn không cho sữa chảy ra khi mẹ đi làm xa.
6. Giúp trẻ ngậm bắt bầu vú đang căng đầy.
7. Giúp cải thiện tình trạng cương tức vú",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Cách chuẩn bị dụng cụ đựng sữa trước khi vắt như thế nào?,"Chọn cốc miệng rộng, rửa bằng xà phòng và nước(bà mẹ có thể chuẩn bị từ hồm trước), rót nước sôi vào cốc và để trong vài phút. Nước đang sôi sẽ tiêu diệt hầu hết các vi khuẩn. Khi đã sẵn sàng vắt sữa thì đỏ nước đi.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Sữa mẹ bảo quản trong ngăn mát tủ lạnh (<4°C) được bao lâu?,Tốt nhất trong 4 ngày và có thể để tới 8 ngày.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Thời gian bảo quản sữa mẹ trong ngăn đá tủ lạnh (-18 đến -20°C)?,Tốt nhất trong 6 tháng và có thể lên tới 12 tháng.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Cách rã đông và làm nóng sữa mẹ đã vắt ra đúng cách?,"• Rã đông sữa: Đưa sữa lên ngăn mát tủ lạnh cho đỡ đông sau đó để ở nhiệt độ thường cho tan hết đá, lắc đều sữa rồi làm nóng sữa.
• Làm nóng sữa: Ngâm bình sữa trong nước nóng vài phút khi sữa ấm lên là được. Không đun sôi sữa, không làm nóng sữa bằng lò vi sóng.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
10 điều kiện nuôi con bằng sữa mẹ thành công bao gồm những gì?,"Các cơ sở y tế có nhiệm vụ chăm sóc sức khoẻ bà mẹ và trẻ em cần:
1. Có bản qui định về nuôi con bằng sữa mẹ và được phổ biến thường xuyên cho cán bộ y tế.
2. Đào tạo cho tất cả cán bộ y tế những kỹ năng cần thiết để thực hiện quy định này.
3. Thông tin cho tất cả phụ nữ có thai về lợi ích và cách thực hiện nuôi con bằng sữa mẹ.
4. Giúp các bà mẹ bắt đầu cho con bú trong vòng 1 giờ đầu sau đẻ.
5. Chỉ dẫn cho các bà mẹ cách cho con bú và duy trì nguồn sữa ngay cả khi phải xa con.
6. Không cho trẻ sơ sinh bất cứ đồ ăn thức uống gì ngoài sữa mẹ, trừ khi có chỉ định của y tế.
7. Thực hiện mẹ con ở cùng phòng để con gần mẹ suốt 24 giờ trong ngày.
8. Khuyến khích cho trẻ bú theo nhu cầu.
9. Không cho trẻ nhỏ đang bú mẹ ngậm bất cứ loại vú giả hoặc đầu vú cao su nào.
10. Khuyến khích thành lập các nhóm hỗ trợ nuôi con bằng sữa mẹ và giới thiệu các bà mẹ tới đó sau khi họ ra viện.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Bú mẹ theo nhu cầu được định nghĩa như thế nào?,"Bú theo nhu cầu là cho trẻ bú bất cứ khi nào trẻ hoặc bà mẹ muốn, không hạn chế
thời gian và số lần bú.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Dấu hiệu chắc chắn cho thấy bà mẹ không đủ sữa là gì?,"Trẻ tăng cân kém: dưới 500g/1tháng (trong 6 tháng đầu trả phải tăng ít nhất 500gam/1tháng). Đi tiểu ít(dưới 6 lần/ngày) và nước tiểu cô đặc, nặng mùi và có màu vàng.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Cách xử trí khi vú bị căng sữa hoặc cương tức?,"Cho con bú thường xuyên hơn, bú đúng cách và dùng bơm để hút bớt sữa ra.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Nguyên nhân gây tắc ống dẫn sữa và viêm vú là gì?,"Nguyên nhân:                                                                                                                                                                     • Sữa lưu thông kém tại toàn bộ bầu vú là do bà mẹ không cho trẻ bú thường xuyên hoặc trẻ bú không hiệu quả. Trẻ ngậm bắt vú không đúng.
• Sữa lưu thông kém tại một phần vú có thể do bú không hiệu quả, áo quá chật đè vào bầu vú, đặc biệt là áo nịt ngực vào ban đêm, hoặc ngón tay bà mẹ kẹp vào bầu vú khi cho trẻ bú.
• Trẻ ngậm bắt vú kém sẽ làm nứt núm vú, từ đó vi khuẩn sẽ xâm nhập vào mô vú và có thể gây ra viêm vú.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
Cách xử trí nứt núm vú cho bà mẹ sau bú?,"Sau mỗi lần trẻ bú hãy vắt một ít sữa bôi xung quanh núm và đầu vú. Điều này sẽ giúp chóng lành vết thương. Không nên rửa đầu vú bằng xà phòng hoặc khắc khô ráp, làm mất đi chất dầu tự nhiên có ở da núm vú càng gây khô nứt hơn hoặc dùng các loại thuốc hoặc dầu bôi sẽ gây kích ứng da núm vú và chưa có bằng chứng nói rằng các loại thuốc này có tác dụng.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,,5
