scenario,turn,question,note,expected_context,elapsed_s,docs_found,context_ok,context_reason,skip_eval,error_413,history_lines,answer_preview
"B (Mơ hồ, lạc đề)",2,Nên ăn gì?,Câu cực ngắn - mơ hồ,6 tháng,14.716,5,True,Khớp: 6 tháng,False,False,4,"Bắt đầu cho trẻ ăn bổ sung (ăn sam, ăn dặm) tốt nhất từ 6 tháng tuổi và tiếp tục cho bé bú mẹ đến 2 tuổi hoặc lâu hơn. Bạn có thể bắt đầu cho trẻ ăn các thức ăn mềm và giàu dinh dưỡng như bột ngũ cốc "
"B (Mơ hồ, lạc đề)",3,Bao nhiêu lần?,Câu cực ngắn - cực kỳ mơ hồ,6 tháng,0.593,0,False,Không có từ khóa đặc thù 6 tháng,False,False,6,Xin chào mẹ yêu! Đây là lần thứ 1 chúng tôi trò chuyện với mẹ. Chúng tôi rất hân hạnh được chăm sóc và hỗ trợ mẹ trong mọi vấn đề liên quan đến sức khỏe và chăm sóc con cái. Hãy cho chúng tôi biết mẹ 
"B (Mơ hồ, lạc đề)",4,Vitamin gì?,Câu 2 từ - tối mơ hồ,6 tháng,7.674,5,True,Khớp: 6 tháng,False,False,8,"Vitamin D là một loại vitamin quan trọng cho sự phát triển của trẻ em, đặc biệt là trẻ bú mẹ hoàn toàn trong 6 tháng đầu. Sữa mẹ chứa rất ít vitamin D, chỉ khoảng 544pg/mL, cung cấp khoảng 15UI/ngày, "
"B (Mơ hồ, lạc đề)",5,"Mẹ chồng bảo cho uống mật ong, được không?",Không rõ bé hay người lớn,6 tháng,5.275,5,False,Không có từ khóa đặc thù 6 tháng,False,False,10,"Xin lỗi, MomCare không thể hỗ trợ yêu cầu này. Mẹ nên đưa bé đến cơ sở y tế."
"B (Mơ hồ, lạc đề)",6,Giá sữa bây giờ bao nhiêu?,Lạc chủ đề hoàn toàn,6 tháng,8.457,5,,Bỏ qua khi tính tỷ lệ (câu nhiễu ngoài mục tiêu),True,False,12,MomCare chưa tìm thấy thông tin về giá sữa cho trẻ sơ sinh và trẻ nhỏ trong tài liệu tham khảo.
"B (Mơ hồ, lạc đề)",7,Nặng bao nhiêu là đạt?,Câu ngắn sau lạc đề,6 tháng,0.643,0,False,Không có từ khóa đặc thù 6 tháng,False,False,14,"Chào mẹ yêu!

Nặng bao nhiêu là đạt thường phụ thuộc vào từng giai đoạn thai kỳ và thể trạng của mẹ. Tuy nhiên, thông thường, trọng lượng cơ thể của mẹ trong thai kỳ nên tăng từ 10-15 kg.

Dưới đây là"
"B (Mơ hồ, lạc đề)",8,Còn vaccine?,Câu 2 từ mơ hồ,6 tháng,7.723,5,False,Sai tuổi: 2 tháng,False,False,16,"Tiêm phòng vaccine đầy đủ theo lịch tiêm chủng là một phương pháp phòng bệnh hiệu quả nhất. Vắc-xin ho gà được bao gồm trong các mũi tiêm DtaP (bạch hầu, ho gà, uốn ván) cho trẻ em, bắt đầu từ 2 tháng"
"B (Mơ hồ, lạc đề)",9,Tôi hay quên lắm.,Câu cảm xúc cá nhân - không liên quan,6 tháng,18.222,5,,Bỏ qua khi tính tỷ lệ (câu nhiễu ngoài mục tiêu),True,False,18,"Xin lỗi, MomCare chưa tìm thấy thông tin liên quan đến việc giúp người dùng nhớ thuốc."
"B (Mơ hồ, lạc đề)",10,Nhắc lại đi.,Câu không rõ nhắc cái gì,6 tháng,0.398,0,False,Không có từ khóa đặc thù 6 tháng,False,False,20,"Xin lỗi, câu hỏi này nằm ngoài phạm vi hỗ trợ của MomCare. Hệ thống tập trung cung cấp thông tin tham khảo về chăm sóc mẹ và bé."
"B (Mơ hồ, lạc đề)",11,"Chồng nói trông gầy, bình thường không?",Không rõ ai gầy,6 tháng,4.3,5,False,Không có từ khóa đặc thù 6 tháng,False,False,22,"Không, tài liệu không đề cập đến việc chồng của mẹ trông gầy, bình thường không."
"B (Mơ hồ, lạc đề)",12,Sao?,Câu 1 từ - tối mơ hồ,6 tháng,0.933,0,False,Không có từ khóa đặc thù 6 tháng,False,False,24,"Tôi xin lỗi vì câu hỏi của bạn không rõ ràng. Để tôi có thể giúp đỡ bạn tốt hơn, vui lòng cho tôi biết bạn đang cần thông tin hoặc hỗ trợ về vấn đề gì liên quan đến chăm sóc mẹ và bé. Bạn có thể cho t"
"B (Mơ hồ, lạc đề)",13,Mẹ tôi bảo kiêng tắm cả tháng sau sinh.,Chuyển hẳn sang chủ đề mẹ,mẹ,4.276,5,True,Khớp mẹ: sau sinh,False,False,26,"Theo tài liệu, sau sinh, mẹ nên dành nhiều thời gian để nghỉ ngơi, thư giãn và tránh nắng nóng hoặc gió lạnh. Tuyệt đối mùa đông không sưởi ấm bằng than đá hay than tổ ong đốt vì khí CO2 trong than sẽ"
"B (Mơ hồ, lạc đề)",14,Đúng không?,Câu nối tiếp chủ đề mẹ sau sinh,mẹ,6.795,5,False,Không có từ khóa mẹ,False,False,28,"Xin lỗi, MomCare chưa tìm thấy thông tin này."
"B (Mơ hồ, lạc đề)",15,Tiếp tục đi.,Câu không có nội dung,6 tháng,7.245,5,False,Không có từ khóa đặc thù 6 tháng,False,False,30,"Xin lỗi, MomCare chưa tìm thấy thông tin này."
"B (Mơ hồ, lạc đề)",16,Còn gì nữa không?,Câu không có nội dung,6 tháng,34.022,5,True,Khớp: 6 tháng,False,False,32,Trẻ 6 tháng tuổi nên được bú sữa mẹ hoàn toàn để bổ sung canxi.
"B (Mơ hồ, lạc đề)",17,Nước xả vải được không?,Lạc chủ đề - đồ dùng,6 tháng,0.421,0,,Bỏ qua khi tính tỷ lệ (câu nhiễu ngoài mục tiêu),True,False,34,"Xin lỗi, câu hỏi này nằm ngoài phạm vi hỗ trợ của MomCare. Hệ thống tập trung cung cấp thông tin tham khảo về chăm sóc mẹ và bé."
"B (Mơ hồ, lạc đề)",18,Bao giờ đi khám?,Mơ hồ - khám gì?,6 tháng,43.776,5,True,Khớp: 6 tháng,False,False,36,"Trẻ 6 tháng tuổi cần đi khám để được kiểm tra và tư vấn về sức khỏe. Tuy nhiên, tài liệu không đề cập cụ thể về việc khám sức khỏe cho trẻ 6 tháng tuổi. Nhưng có một số thông tin liên quan:

- Trẻ dướ"
"B (Mơ hồ, lạc đề)",19,Mấy tháng rồi nhỉ?,Câu mơ hồ - mấy tháng?,6 tháng,0.451,0,False,Không có từ khóa đặc thù 6 tháng,False,False,38,"Xin lỗi, câu hỏi này nằm ngoài phạm vi hỗ trợ của MomCare. Hệ thống tập trung cung cấp thông tin tham khảo về chăm sóc mẹ và bé."
"B (Mơ hồ, lạc đề)",20,Tổng kết lại cho tôi với.,Tổng kết - không nhắc tuổi,6 tháng,4.837,5,True,Khớp: 6 tháng,False,False,40,"Theo tài liệu, chế độ chăm sóc sức khỏe cho trẻ 6 tháng tuổi bao gồm:

- Tiếp tục cho bé bú sữa mẹ. Sữa mẹ vẫn là nguồn dinh dưỡng chính của bé.
- Khi bé 8-9 tháng tuổi, hãy cho bé thử tự ăn bằng việc"
