question,source_raw,expected_sources,profile,dataset
"Bé nhà em bị đỏ ở vùng bẹn và bắp đùi, da cứ loét đỏ ra thì là bị gì ạ?",Sổ tay 4Steps - Trang 78,sổ tay 4steps - trang 78,noisy_conversational,KB1_Standard
"việc ""đánh giá sự phát triển của trẻ"" thực chất là kiểm tra những gì và tại sao con em cần phải thực hiện ạ?",Đánh giá sự phát triển của trẻ như thế nào.docx,đánh giá sự phát triển của trẻ như thế nào.docx,noisy_conversational,KB1_Standard
"Bé nhà em mới sinh được vài tuần, em có thể chơi những trò gì đơn giản để bắt đầu tương tác và gắn kết với con không?",20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,noisy_conversational,KB1_Standard
Sau khi sinh xong thì giai đoạn hậu sản được tính kéo dài bao lâu ạ?,1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,noisy_conversational,KB1_Standard
"Vết khâu tầng sinh môn của em bị hở, rách, dứt chỉ thì xử lý như thế nào ạ?","d3fa1053-wp8-postpartum-care-handbook-viet.pdf trang 21,22","d3fa1053-wp8-postpartum-care-handbook-viet.pdf trang 21,22",noisy_conversational,KB1_Standard
"Sau sinh tuần đầu, em và bé cần được cán bộ y tế đến thăm khám vào những gì ạ?",Hướng dẫn Quốc gia SKSS - Trang 75,hướng dẫn quốc gia skss - trang 75,noisy_conversational,KB1_Standard
Tầng sinh môn của em bị đau và rách thì chăm sóc tại nhà thế nào?,1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,noisy_conversational,KB1_Standard
Tỷ lệ phụ nữ trầm cảm sau sinh là bao nhiêu,Hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,quantitative,KB1_Standard
"Đến ngày thứ 3 sau sinh, dung tích dạ dày của bé tăng lên bao nhiêu?",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
Mỗi ngày em nên thay tã cho con bao nhiêu lần và thời điểm nào là tốt nhất để thay tã cho bé ạ?,Hướng dẫn về lần thay tã đầu tiên của bé.docx,hướng dẫn về lần thay tã đầu tiên của bé.docx,quantitative,KB1_Standard
Nhu cầu năng lượng bổ sung hàng ngày cho bà mẹ nuôi con bú 6 tháng đầu?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
"Trong 2 giờ đầu sau khi đẻ, người hộ sinh sẽ theo dõi gì quan trọng nhất ở em ạ?",Sổ tay 4Steps - Trang 10,sổ tay 4steps - trang 10,quantitative,KB1_Standard
Những điểm cần lưu ý để bé 34 tháng tuổi có hàm răng phát triển tốt ạ,Trẻ 34 tháng tuổi.docx,trẻ 34 tháng tuổi.docx,quantitative,KB1_Standard
"Bé nhà em 21 tháng tuổi, cao 79cm và nặng 12kg nhưng em thấy chân tay con hơi ngắn, liệu con có nguy cơ bị bệnh lùn không bác sĩ?",Trẻ 21 tháng chậm phát triển chiều cao.docx,trẻ 21 tháng chậm phát triển chiều cao.docx,quantitative,KB1_Standard
Trẻ bao nhiêu tuổi thì bắt đầu hiểu được các quy tắc và kỷ luật ạ?,Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,quantitative,KB1_Standard
"Con em đã 10 tháng tuổi mà vẫn chưa thấy có dấu hiệu muốn trườn hay bò, khi nào thì tình trạng này cần phải đưa đi khám bác sĩ?",Trẻ trốn bò có sao không.docx,trẻ trốn bò có sao không.docx,quantitative,KB1_Standard
Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
"Con em đã 22 tháng tuổi rồi mà vẫn chậm nói, chưa thể phát âm được những từ ngữ cơ bản, bé cứ dùng tay chân để chỉ trỏ mỗi khi muốn gì đó thì có phải là dấu hiệu đáng lo không",Trẻ 22 tháng tuổi chậm nói điều trị như thế nào.docx,trẻ 22 tháng tuổi chậm nói điều trị như thế nào.docx,quantitative,KB1_Standard
Nhu cầu năng lượng từ sữa mẹ/ngày cho trẻ từ 3-5 tháng tuổi là bao nhiêu kcal?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
"Bé nhà em được 2 tháng tuổi và hay đi ngoài nhiều vào ban đêm, em nên dùng loại tã nào để con ngủ ngon mà không bị tràn tã?",Tã dùng một lần.docx,tã dùng một lần.docx,quantitative,KB1_Standard
"Nếu em cho con tập ăn dặm quá sớm, ví dụ như từ lúc 4 tháng tuổi, thì có gây ra tác hại gì cho sức khỏe của bé không?",Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia.docx,hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,quantitative,KB1_Standard
Có bao nhiêu trường hợp bà mẹ được khuyến nghị cần vắt sữa?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
Khoảng bao nhiêu ngày thì cổ tử cung của em sẽ đóng kín hoàn toàn sau khi đẻ ạ?,Sổ tay 4Steps - Trang 4,sổ tay 4steps - trang 4,quantitative,KB1_Standard
Dung tích dạ dày trẻ từ ngày thứ 5 đến ngày thứ 7 sau đẻ là bao nhiêu?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
Dung tích dạ dày của trẻ sơ sinh trong ngày đầu tiên là bao nhiêu?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB1_Standard
"Bé nhà em được 34 tháng rồi, em nên sắp xếp các bữa chính và bữa phụ trong ngày như thế nào để đảm bảo con đủ chất ạ?",Trẻ 34 tháng tuổi.docx,trẻ 34 tháng tuổi.docx,quantitative,KB1_Standard
"Bé nhà em bị ngã đập đầu xuống đất, em cần theo dõi những dấu hiệu gì trong 24 giờ tới ạ?",Sách Không ai hoàn hảo - Sức khỏe,sách không ai hoàn hảo - sức khỏe,quantitative,KB1_Standard
Những dấu hiệu cảnh báo bệnh tay chân miệng?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Trẻ sơ sinh được định nghĩa là trẻ trong độ tuổi nào,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB1_Standard
Quy trình tái khám sau sinh thường diễn ra như thế nào?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Triệu chứng khi núm vú bị nhiễm nấm Candida?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB1_Standard
Lợi ích của việc tiêm chủng vắc xin đầy đủ cho trẻ?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB1_Standard
Bệnh tay chân miệng nguy hiểm ra sao?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Sữa mẹ vắt ra có thể bảo quản ở nhiệt độ thường trong bao lâu?,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB1_Standard
10 điều kiện nuôi con bằng sữa mẹ thành công bao gồm những gì?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB1_Standard
"Trước khi bế, tắm, thay tã lót cho trẻ hoặc cho trẻ bú, người chăm sóc cần làm gì",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB1_Standard
Nguyên nhân xuất huyết não ở trẻ sơ sinh là gì?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Khi nào thì em có thể bắt đầu tập thể dục hoặc vận động nhẹ nhàng sau sinh?,Sổ tay 4Steps - Trang 13,sổ tay 4steps - trang 13,semantic,KB1_Standard
Trầm cảm sau sinh là gì?,Hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,semantic,KB1_Standard
Mẹ nhiễm HIV nên nuôi con như thế nào trong thời gian điều trị viêm vú 2 bên?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB1_Standard
Nguyên nhân gây nôn ói ở trẻ là gì?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Thời kỳ hậu sản là gì?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Chăm sóc vết mổ thời kỳ hậu sản cần chú ý những gì?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Ưu điểm của việc cho trẻ ăn bằng thìa và cốc so với bú bình?,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB1_Standard
Hướng dẫn chăm sóc trẻ bị chàm da?,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB1_Standard
Sữa mẹ sau khi vắt ra để ở nhiệt độ phòng (khoảng 25 độ C) thì dùng được trong bao lâu?,Sổ tay 4Steps - Trang 50,sổ tay 4steps - trang 50,semantic,KB1_Standard
Thời điểm cần sử dụng các biện pháp tránh thai sau sinh,"d3fa1053-wp8-postpartum-care-handbook-viet.pdf/Trang 54,55,56","trang 54,55,56",semantic,KB1_Standard
Nguyên nhân phổ biến nhất gây băng huyết sau sinh là j các Mom,Phác đồ Chẩn đoán và xử trí BHSS - Trang 1,phác đồ chẩn đoán và xử trí bhss - trang 1,exact_lexical,KB2_Mom_Style
"Những ngày trời nắng nóng thế này, em sợ con chỉ bú mẹ sẽ bị khát, có cần bổ sung thêm nước lọc cho bé con k",Tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,exact_lexical,KB2_Mom_Style
Bé nhà t nên đc bú mẹ lần đầu vào tg điểm nào sau đẻ,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,exact_lexical,KB2_Mom_Style
Bé nhà mình đc mấy tháng tuổi thì nên bắt đầu cho ăn dặm là tốt nhất cho hệ tiêu hóa của con,Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia.docx,hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,exact_lexical,KB2_Mom_Style
Em nghe nói nếu k bú mẹ thì bé nhà mình dễ bị béo phì khi lớn lên fải k,1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,exact_lexical,KB2_Mom_Style
Dấu hiệu lâm sàng chính của băng huyết do đờ tử cung là j ạ,Phác đồ Chẩn đoán và xử trí BHSS - Trang 2,phác đồ chẩn đoán và xử trí bhss - trang 2,exact_lexical,KB2_Mom_Style
S Sản dịch của em ngày thứ 5 có màu lờ lờ máu cá thì có phải là bất thường k,Sổ tay 4Steps - Trang 7,sổ tay 4steps - trang 7,exact_lexical,KB2_Mom_Style
Khi nào thì bé con bắt đầu bước vào giai đoạn ăn bổ sung (ăn dặm),viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,exact_lexical,KB2_Mom_Style
Làm sao để em biết mình đã cân đối đúng lượng thực phẩm trong mỗi bát cháo ăn dặm cho con hàng ngày,Số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,exact_lexical,KB2_Mom_Style
Bú mẹ theo nhu cầu đc định nghĩa như thế nào chat ơi,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,exact_lexical,KB2_Mom_Style
Nguyên tắc cho bé ăn dặm về độ đặc và số lượng là j ạ,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,exact_lexical,KB2_Mom_Style
Sau sinh bao lâu em bị sốt và sản dịch hôi thì là bị nhiễm trùng tử cung bs ơi?,"Nhiễm khuẩn hậu sản - Trang 1, 2","nhiễm khuẩn hậu sản - trang 1, 2",exact_lexical,KB2_Mom_Style
Liệu bế con không đúng tư thế có phải là một trong những nguyên nhân dẫn đến đau nhức mỏi lưng pải k ạ,Sau sinh bị nhức mỏi toàn thân.docx,sau sinh bị nhức mỏi toàn thân.docx,noisy_conversational,KB2_Mom_Style
Tại sao trẻ nhỏ lại hay tò mò và thích sờ vào những đồ vật nguy hiểm vậy mn,Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,noisy_conversational,KB2_Mom_Style
viêm hạch bạch huyết sau tiêm ngừa lao là j,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,noisy_conversational,KB2_Mom_Style
Nguyên nhân dẫn đến viêm hạch bạch huyết là ntn a,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,noisy_conversational,KB2_Mom_Style
Tại sao k nên cho bé bú bình hoặc dùng núm vú giả ạ,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,noisy_conversational,KB2_Mom_Style
Sau khi mổ xong bị rét run người thì bé con có đc tiếp tục nằm da kề da k mn ơi,QĐ 4673/QĐ-BYT - Trang 10,qđ-byt - trang 10,noisy_conversational,KB2_Mom_Style
"Khi giặt tã vải cho con, em nên chọn loại chất tẩy rửa j để vừa sạch vết bẩn vừa k làm hỏng tã?",Cách giặt tã vải cho trẻ nhỏ.docx,cách giặt tã vải cho trẻ nhỏ.docx,noisy_conversational,KB2_Mom_Style
Làm thế nào để thu hút sự chú ý của con trong các hoạt động v,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,noisy_conversational,KB2_Mom_Style
Em muốn làm tiêu sưa (mất sưa) nhanh sau khi mất con thì nên dùng mẹo j bs ơi,"Sổ tay 4Steps - Trang 64,65","sổ tay 4steps - trang 64,65",noisy_conversational,KB2_Mom_Style
"Bé con bị nấm miệng như vậy thì có đau lắm k, sao dạo này em thấy con hay khóc khi đang bú và ăn kém đi hẳn",Nấm miệng.docx,nấm miệng.docx,noisy_conversational,KB2_Mom_Style
"Con thường xuyên thức giấc giữa đêm và khóc, fải làm j để bé ngủ sâu hơn mn ơi",Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,noisy_conversational,KB2_Mom_Style
Tại sao các Mom nên cho bé bú hết 1 bên vú rồi ms chuyển sang vú kia,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,noisy_conversational,KB2_Mom_Style
"Mỗi lần chơi với con, em nên duy trì trong bao lâu là phù hợp để bé k bị quá tải hay quấy khóc vì mệt?",20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,noisy_conversational,KB2_Mom_Style
Những trường hợp nào các Mom k nên cho con bú mà pải dùng sữa thay thế,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,noisy_conversational,KB2_Mom_Style
Sưa mẹ sau khi vắt ra để ở nhiệt độ phòng (khoảng 25 độ C) thì dùng đc trong bao lâu mn ơi,Sổ tay 4Steps - Trang 50,sổ tay 4steps - trang 50,noisy_conversational,KB2_Mom_Style
"Khi điều trị béo phì cho trẻ, gia đình có cần fải phối hợp cùng bác sĩ tâm lý k hay chỉ cần ăn kiêng là đủ",Nguyên nhân và cách điều trị béo phì ở trẻ em.docx,nguyên nhân và cách điều trị béo phì ở trẻ em.docx,noisy_conversational,KB2_Mom_Style
Sau khi bé đã thành thạo kỹ năng lật thì cột mốc vận động quan trọng tiếp theo mà em nên mong đợi là j,Cột mốc quan trọng của bé.docx,cột mốc quan trọng của bé.docx,noisy_conversational,KB2_Mom_Style
Sưa mẹ bảo quản trong ngăn mát tủ lạnh (<4°C) đc bao lâu mn ơi,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,noisy_conversational,KB2_Mom_Style
Sa tử cung sau sinh là j và tại sao phụ nữ sau khi đẻ lại dễ bị tình trạng này,Phòng ngừa sa tử cung sau sinh.docx,phòng ngừa sa tử cung sau sinh.docx,noisy_conversational,KB2_Mom_Style
Hướng dẫn em cách vắt sưa bằng tay làm sao để k bị đau và tắc tia sưa bs ơi,Sổ tay 4Steps - Trang 49,sổ tay 4steps - trang 49,noisy_conversational,KB2_Mom_Style
Mẹ sau sinh cần bổ sung Vitamin A với liều lượng bao nhiêu bs ơi,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,quantitative,KB2_Mom_Style
"Đến ngày thứ 3 sau sinh, dung tích dạ dày của bé tăng lên bao nhiêu ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
"Định nghĩa chính xác về việc ""nuôi con hoàn toàn bằng sưa mẹ"" trong 6 tháng đầu là ntn",Tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,quantitative,KB2_Mom_Style
Nhu cầu năng lượng bổ sung hàng ngày cho mẹ bỉm nuôi con bú 6 tháng đầu,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
"Em nghe nói tã dùng 1 lần khó phân hủy và ảnh hưởng môi trường, có giải pháp nào cho các mẹ bỉm muốn sống xanh k",Tã dùng một lần.docx,tã dùng một lần.docx,quantitative,KB2_Mom_Style
"Ở nhà em nên để nhiệt độ phòng bao nhiêu là tốt nhất và cần làm j ngay khi sinh để giữ ấm cho bé, tránh cho con bị nhiễm lạnh?",Hạ thân nhiệt ở trẻ sơ sinh.docx,hạ thân nhiệt ở trẻ sơ sinh.docx,quantitative,KB2_Mom_Style
"Bé con bị ngã đập đầu xuống đất, cần theo dõi những dấu hiệu j trong 24 giờ tới mn ơi",Sách Không ai hoàn hảo - Sức khỏe,sách không ai hoàn hảo - sức khỏe,quantitative,KB2_Mom_Style
Mỗi ngày em nên thay tã cho con bao nhiêu lần và thời điểm nào là tốt nhất để thay tã cho bé,Hướng dẫn về lần thay tã đầu tiên của bé.docx,hướng dẫn về lần thay tã đầu tiên của bé.docx,quantitative,KB2_Mom_Style
Trẻ từ 4 đến 6 tháng tuổi thì nên chơi những trò j v a,20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,quantitative,KB2_Mom_Style
Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý v,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
"Bé nhà t 6 tháng tuổi đang tập ăn dặm mà bị tiêu chảy kéo dài, em có nên tiếp tục cho con ăn cháo cà rốt hay thay đổi chế độ ăn ntn?",Dinh dưỡng khi trẻ bị tiêu chảy.docx,dinh dưỡng khi trẻ bị tiêu chảy.docx,quantitative,KB2_Mom_Style
Sưa mẹ chứa bao nhiêu năng lượng trong 1 lít bs ơi,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
"Con em đã 6 tháng rùi mà vẫn chưa biết lật từ sau ra trước, liệu như vậy có phải là bé đang chậm phát triển k?",Cột mốc quan trọng của bé.docx,cột mốc quan trọng của bé.docx,quantitative,KB2_Mom_Style
Trẻ bao nhiêu tuổi thì bắt đầu hiểu đc các quy tắc và kỷ luật ạ,Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,quantitative,KB2_Mom_Style
Có bao nhiêu trường hợp các Mom đc khuyến nghị cần vắt sưa,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
