scenario_id,scenario_title,source_note,method,memory_mode,question,raw_history_messages,processed_history_messages,raw_history_chars,processed_history_chars,history_reduction_percent,api_calls_logged,summary_tokens,rewrite_tokens,api_tokens_logged_total,api_tokens_logged_each,elapsed_s,rewritten_question,intent,context_ok,matched_keywords,missing_keyword_groups,error
complementary_feeding,Độ đặc và lượng ăn dặm cho trẻ 6 tháng,KB1 câu 19--20 và 289--292.,no_memory,none,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,0,829,0,100.0,1,0,888,888,888,0.51,Độ đặc và số lượng sữa cho trẻ sơ sinh cần được tuân thủ theo nguyên tắc nào để đảm bảo sự phát triển khỏe mạnh?,RAG,False,độ đặc,(ăn bổ sung OR ăn dặm) | (6 tháng OR trẻ 6 tháng),
complementary_feeding,Độ đặc và lượng ăn dặm cho trẻ 6 tháng,KB1 câu 19--20 và 289--292.,fixed_window,last_6_messages,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,6,829,542,34.62,1,0,1069,1069,1069,0.46,Còn độ đặc và số lượng thức ăn thì áp dụng nguyên tắc nào cho trẻ 6 tháng tuổi?,RAG,False,6 tháng | độ đặc,(ăn bổ sung OR ăn dặm),
complementary_feeding,Độ đặc và lượng ăn dặm cho trẻ 6 tháng,KB1 câu 19--20 và 289--292.,full_history,full,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,10,829,829,0.0,1,0,1167,1167,1167,0.482,"Nguyên tắc ban đầu về độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi là cho ăn từ loãng đến đặc, từ ít đến nhiều và tiếp tục bú mẹ.",RAG,False,6 tháng | độ đặc,(ăn bổ sung OR ăn dặm),
complementary_feeding,Độ đặc và lượng ăn dặm cho trẻ 6 tháng,KB1 câu 19--20 và 289--292.,summary_only,summary_only,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,1,829,266,67.91,2,582,987,1569,582 | 987,0.901,"Nguyên tắc độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi khi bắt đầu ăn dặm là ăn từ loãng đến đặc, từ ít đến nhiều.",RAG,True,ăn dặm | 6 tháng | độ đặc,,
complementary_feeding,Độ đặc và lượng ăn dặm cho trẻ 6 tháng,KB1 câu 19--20 và 289--292.,acm,light_summary,Còn độ đặc và số lượng thì áp dụng nguyên tắc nào cho bé?,10,10,829,829,0.0,1,0,1167,1167,1167,0.536,"Nguyên tắc ban đầu về độ đặc và số lượng thức ăn cho trẻ 6 tháng tuổi là cho ăn từ loãng đến đặc, từ ít đến nhiều và tiếp tục bú mẹ.",RAG,False,6 tháng | độ đặc,(ăn bổ sung OR ăn dặm),
vomiting_danger,Dấu hiệu cần đi khám khi trẻ 8 tháng nôn ói,KB1 câu 188--189 và 395--397.,no_memory,none,Còn khi nào thì tình trạng đó cần đưa bé đi khám ngay?,10,0,925,0,100.0,1,0,887,887,887,0.433,"Khi nào thì tình trạng khó thở, sốt cao, hoặc bất kỳ dấu hiệu bất thường nào khác của bé cần đưa đi khám ngay lập tức?",RAG,False,đi khám,(nôn ói OR nôn OR ói) | (8 tháng OR trẻ 8 tháng),
vomiting_danger,Dấu hiệu cần đi khám khi trẻ 8 tháng nôn ói,KB1 câu 188--189 và 395--397.,fixed_window,last_6_messages,Còn khi nào thì tình trạng đó cần đưa bé đi khám ngay?,10,6,925,526,43.14,1,0,1061,1061,1061,0.518,Khi nào thì tình trạng trẻ bắt đầu học hỏi và khám phá thế giới xung quanh cần đưa bé đi khám sức khỏe ngay?,RAG,False,đi khám,(nôn ói OR nôn OR ói) | (8 tháng OR trẻ 8 tháng),
vomiting_danger,Dấu hiệu cần đi khám khi trẻ 8 tháng nôn ói,KB1 câu 188--189 và 395--397.,full_history,full,Còn khi nào thì tình trạng đó cần đưa bé đi khám ngay?,10,10,925,925,0.0,1,0,1193,1193,1193,0.397,"Cần đi khám ngay khi trẻ nôn kéo dài, dịch nôn có máu hoặc màu vàng xanh, mất nước, sốt cao, li bì, co giật hoặc bỏ bú.",RAG,False,nôn | đi khám,(8 tháng OR trẻ 8 tháng),
vomiting_danger,Dấu hiệu cần đi khám khi trẻ 8 tháng nôn ói,KB1 câu 188--189 và 395--397.,summary_only,summary_only,Còn khi nào thì tình trạng đó cần đưa bé đi khám ngay?,10,1,925,608,34.27,2,605,1080,1685,605 | 1080,1.076,Khi nào thì tình trạng nôn ói nhiều ở trẻ 8 tháng tuổi cần đưa bé đi khám ngay?,RAG,True,nôn ói | 8 tháng | đi khám,,
vomiting_danger,Dấu hiệu cần đi khám khi trẻ 8 tháng nôn ói,KB1 câu 188--189 và 395--397.,acm,light_summary,Còn khi nào thì tình trạng đó cần đưa bé đi khám ngay?,10,10,925,925,0.0,1,0,1193,1193,1193,0.404,"Cần đi khám ngay khi trẻ nôn kéo dài, dịch nôn có máu hoặc màu vàng xanh, mất nước, sốt cao, li bì, co giật hoặc bỏ bú.",RAG,False,nôn | đi khám,(8 tháng OR trẻ 8 tháng),
diarrhea_rehydration,Bù nước khi trẻ 2 tuổi bị tiêu chảy,KB1 câu 25 và 187--189.,no_memory,none,Còn loại dung dịch đó nên dùng để xử trí tình trạng nào của bé?,10,0,834,0,100.0,1,0,889,889,889,0.491,Loại dung dịch đó nên dùng để xử trí tình trạng nào của bé?,RAG,False,,(tiêu chảy) | (2 tuổi OR trẻ 2 tuổi) | (oresol OR ô-rê-zôn OR bù nước),
diarrhea_rehydration,Bù nước khi trẻ 2 tuổi bị tiêu chảy,KB1 câu 25 và 187--189.,fixed_window,last_6_messages,Còn loại dung dịch đó nên dùng để xử trí tình trạng nào của bé?,10,6,834,540,35.25,1,0,1069,1069,1069,0.442,"Loại dung dịch bù nước cho trẻ cần dùng để xử trí tình trạng mất nước, sốt, nôn mửa, tiêu chảy hoặc các tình trạng khác gây mất nước ở trẻ.",RAG,False,tiêu chảy | bù nước,(2 tuổi OR trẻ 2 tuổi),
diarrhea_rehydration,Bù nước khi trẻ 2 tuổi bị tiêu chảy,KB1 câu 25 và 187--189.,full_history,full,Còn loại dung dịch đó nên dùng để xử trí tình trạng nào của bé?,10,10,834,834,0.0,1,0,1168,1168,1168,1.037,Dung dịch bù nước Oresol cho trẻ 2 tuổi nên dùng để xử trí tình trạng mất nước do tiêu chảy.,RAG,True,tiêu chảy | 2 tuổi | oresol,,
diarrhea_rehydration,Bù nước khi trẻ 2 tuổi bị tiêu chảy,KB1 câu 25 và 187--189.,summary_only,summary_only,Còn loại dung dịch đó nên dùng để xử trí tình trạng nào của bé?,10,1,834,340,59.23,2,572,1006,1578,572 | 1006,0.973,Loại dung dịch Oresol mà mẹ đã sử dụng để điều trị tiêu chảy cho con 2 tuổi nên dùng để xử trí tình trạng mất nước ở trẻ nhỏ như thế nào?,RAG,True,tiêu chảy | 2 tuổi | oresol,,
diarrhea_rehydration,Bù nước khi trẻ 2 tuổi bị tiêu chảy,KB1 câu 25 và 187--189.,acm,light_summary,Còn loại dung dịch đó nên dùng để xử trí tình trạng nào của bé?,10,10,834,834,0.0,1,0,1168,1168,1168,0.431,Dung dịch bù nước Oresol cho trẻ 2 tuổi nên dùng để xử trí tình trạng mất nước do tiêu chảy.,RAG,True,tiêu chảy | 2 tuổi | oresol,,
breastmilk_storage,Bảo quản sữa mẹ trong ngăn mát,KB1 câu 16 và 42--44.,no_memory,none,Còn trong ngăn mát thì loại sữa đó được giữ trong bao lâu?,10,0,820,0,100.0,1,0,887,887,887,0.386,Sữa được lưu trữ trong ngăn mát bao lâu thì không còn an toàn sử dụng?,RAG,False,ngăn mát,(sữa mẹ) | (3 tháng OR trẻ 3 tháng OR bé 3 tháng),
breastmilk_storage,Bảo quản sữa mẹ trong ngăn mát,KB1 câu 16 và 42--44.,fixed_window,last_6_messages,Còn trong ngăn mát thì loại sữa đó được giữ trong bao lâu?,10,6,820,534,34.88,1,0,1064,1064,1064,0.432,Sữa cho trẻ 6 tháng tuổi được bảo quản trong ngăn mát trong bao lâu?,RAG,False,ngăn mát,(sữa mẹ) | (3 tháng OR trẻ 3 tháng OR bé 3 tháng),
breastmilk_storage,Bảo quản sữa mẹ trong ngăn mát,KB1 câu 16 và 42--44.,full_history,full,Còn trong ngăn mát thì loại sữa đó được giữ trong bao lâu?,10,10,820,820,0.0,1,0,1163,1163,1163,0.431,Sữa mẹ cho bé 3 tháng tuổi được bảo quản trong ngăn mát dưới 4 độ C trong bao lâu?,RAG,True,sữa mẹ | 3 tháng | ngăn mát,,
breastmilk_storage,Bảo quản sữa mẹ trong ngăn mát,KB1 câu 16 và 42--44.,summary_only,summary_only,Còn trong ngăn mát thì loại sữa đó được giữ trong bao lâu?,10,1,820,245,70.12,2,569,973,1542,569 | 973,0.91,Thời gian bảo quản sữa mẹ trong ngăn mát cho trẻ 3 tháng tuổi là bao lâu?,RAG,True,sữa mẹ | 3 tháng | ngăn mát,,
breastmilk_storage,Bảo quản sữa mẹ trong ngăn mát,KB1 câu 16 và 42--44.,acm,light_summary,Còn trong ngăn mát thì loại sữa đó được giữ trong bao lâu?,10,10,820,820,0.0,1,0,1163,1163,1163,0.455,Sữa mẹ cho bé 3 tháng tuổi được bảo quản trong ngăn mát dưới 4 độ C trong bao lâu?,RAG,True,sữa mẹ | 3 tháng | ngăn mát,,
newborn_danger_signs,Dấu hiệu nguy hiểm ở trẻ sơ sinh 10 ngày tuổi,"KB1 câu 6, 9 và 10.",no_memory,none,Còn những biểu hiện nào của bé được xem là dấu hiệu nguy hiểm?,10,0,861,0,100.0,1,0,888,888,888,0.43,Dấu hiệu nguy hiểm của trẻ sơ sinh bao gồm những biểu hiện nào và cần được xử lý như thế nào?,RAG,False,dấu hiệu nguy hiểm | trẻ sơ sinh,(bú kém OR bỏ bú OR li bì OR khó thở OR co giật),
newborn_danger_signs,Dấu hiệu nguy hiểm ở trẻ sơ sinh 10 ngày tuổi,"KB1 câu 6, 9 và 10.",fixed_window,last_6_messages,Còn những biểu hiện nào của bé được xem là dấu hiệu nguy hiểm?,10,6,861,529,38.56,1,0,1064,1064,1064,0.394,Dấu hiệu nguy hiểm của trẻ sơ sinh bao gồm những biểu hiện nào và cần được đưa đi khám ngay lập tức?,RAG,False,dấu hiệu nguy hiểm | trẻ sơ sinh,(bú kém OR bỏ bú OR li bì OR khó thở OR co giật),
newborn_danger_signs,Dấu hiệu nguy hiểm ở trẻ sơ sinh 10 ngày tuổi,"KB1 câu 6, 9 và 10.",full_history,full,Còn những biểu hiện nào của bé được xem là dấu hiệu nguy hiểm?,10,10,861,861,0.0,1,0,1173,1173,1173,0.476,"Cần theo dõi những dấu hiệu nguy hiểm khác của trẻ sơ sinh 10 ngày tuổi, ngoài bú kém hoặc bỏ bú, ngủ li bì khó đánh thức, thở bất thường, sốt hoặc hạ nhiệt độ, co giật và các biểu hiện bất thường khác.",RAG,True,dấu hiệu nguy hiểm | 10 ngày | bú kém,,
newborn_danger_signs,Dấu hiệu nguy hiểm ở trẻ sơ sinh 10 ngày tuổi,"KB1 câu 6, 9 và 10.",summary_only,summary_only,Còn những biểu hiện nào của bé được xem là dấu hiệu nguy hiểm?,10,1,861,249,71.08,2,575,975,1550,575 | 975,2.096,Dấu hiệu nguy hiểm ở trẻ 10 ngày tuổi bao gồm những biểu hiện nào và cách xử trí ban đầu khi trẻ sốt cao?,RAG,False,dấu hiệu nguy hiểm | 10 ngày,(bú kém OR bỏ bú OR li bì OR khó thở OR co giật),
newborn_danger_signs,Dấu hiệu nguy hiểm ở trẻ sơ sinh 10 ngày tuổi,"KB1 câu 6, 9 và 10.",acm,light_summary,Còn những biểu hiện nào của bé được xem là dấu hiệu nguy hiểm?,10,10,861,861,0.0,1,0,1173,1173,1173,10.838,"Cần theo dõi những dấu hiệu nguy hiểm khác của trẻ sơ sinh 10 ngày tuổi, ngoài bú kém hoặc bỏ bú, ngủ li bì khó đánh thức, thở bất thường, sốt hoặc hạ nhiệt độ, co giật và các biểu hiện bất thường khác.",RAG,True,dấu hiệu nguy hiểm | 10 ngày | bú kém,,
bcg_lymphadenitis,Viêm hạch sau tiêm BCG ở trẻ 2 tháng,KB1 câu 392--394.,no_memory,none,Còn phản ứng nổi hạch đó sau mũi tiêm nào và nên xử trí ra sao?,10,0,898,0,100.0,1,0,892,892,892,0.435,Phản ứng nổi hạch sau mũi tiêm ở trẻ 6 tháng tuổi có thể do đâu và cách xử trí như thế nào?,RAG,False,nổi hạch,(bcg OR tiêm ngừa lao OR vắc xin lao) | (2 tháng OR trẻ 2 tháng),
bcg_lymphadenitis,Viêm hạch sau tiêm BCG ở trẻ 2 tháng,KB1 câu 392--394.,fixed_window,last_6_messages,Còn phản ứng nổi hạch đó sau mũi tiêm nào và nên xử trí ra sao?,10,6,898,545,39.31,1,0,1075,1075,1075,0.542,Phản ứng nổi hạch sau mũi tiêm ở trẻ 6 tháng tuổi là gì và cách xử trí như thế nào?,RAG,False,nổi hạch,(bcg OR tiêm ngừa lao OR vắc xin lao) | (2 tháng OR trẻ 2 tháng),
bcg_lymphadenitis,Viêm hạch sau tiêm BCG ở trẻ 2 tháng,KB1 câu 392--394.,full_history,full,Còn phản ứng nổi hạch đó sau mũi tiêm nào và nên xử trí ra sao?,10,10,898,898,0.0,1,0,1200,1200,1200,0.548,Phản ứng nổi hạch sau mũi tiêm BCG ở trẻ 2 tháng tuổi là gì và cách xử trí ra sao?,RAG,True,bcg | 2 tháng | nổi hạch,,
bcg_lymphadenitis,Viêm hạch sau tiêm BCG ở trẻ 2 tháng,KB1 câu 392--394.,summary_only,summary_only,Còn phản ứng nổi hạch đó sau mũi tiêm nào và nên xử trí ra sao?,10,1,898,322,64.14,2,598,1002,1600,598 | 1002,0.952,Phản ứng nổi hạch sau mũi tiêm BCG ở trẻ 2 tháng tuổi có thể biểu hiện như thế nào và cách xử trí an toàn để giảm thiểu triệu chứng.,RAG,True,bcg | 2 tháng | nổi hạch,,
bcg_lymphadenitis,Viêm hạch sau tiêm BCG ở trẻ 2 tháng,KB1 câu 392--394.,acm,light_summary,Còn phản ứng nổi hạch đó sau mũi tiêm nào và nên xử trí ra sao?,10,10,898,898,0.0,1,0,1200,1200,1200,0.45,Phản ứng nổi hạch sau mũi tiêm BCG ở trẻ 2 tháng tuổi là gì và cách xử trí ra sao?,RAG,True,bcg | 2 tháng | nổi hạch,,
exclusive_breastfeeding_water,Có cần cho trẻ 4 tháng bú mẹ hoàn toàn uống nước,"KB1 câu 7, 34 và 69--70.",no_memory,none,Còn loại nước đó có cần cho bé uống thêm không?,10,0,883,0,100.0,1,0,885,885,885,0.386,Loại nước đó có cần cho trẻ uống thêm không?,RAG,False,,(sữa mẹ OR bú mẹ hoàn toàn) | (4 tháng OR trẻ 4 tháng) | (nước trắng OR uống thêm nước OR không cần),
exclusive_breastfeeding_water,Có cần cho trẻ 4 tháng bú mẹ hoàn toàn uống nước,"KB1 câu 7, 34 và 69--70.",fixed_window,last_6_messages,Còn loại nước đó có cần cho bé uống thêm không?,10,6,883,528,40.2,1,0,1061,1061,1061,0.438,Loại nước có cần bổ sung cho trẻ trong giai đoạn này có nên cho bé uống thêm không?,RAG,False,,(sữa mẹ OR bú mẹ hoàn toàn) | (4 tháng OR trẻ 4 tháng) | (nước trắng OR uống thêm nước OR không cần),
exclusive_breastfeeding_water,Có cần cho trẻ 4 tháng bú mẹ hoàn toàn uống nước,"KB1 câu 7, 34 và 69--70.",full_history,full,Còn loại nước đó có cần cho bé uống thêm không?,10,10,883,883,0.0,1,0,1169,1169,1169,0.507,Trẻ 4 tháng tuổi bú mẹ hoàn toàn có cần uống thêm nước trắng không và loại nước đó có cần cho bé uống thêm không?,RAG,True,bú mẹ hoàn toàn | 4 tháng | nước trắng,,
exclusive_breastfeeding_water,Có cần cho trẻ 4 tháng bú mẹ hoàn toàn uống nước,"KB1 câu 7, 34 và 69--70.",summary_only,summary_only,Còn loại nước đó có cần cho bé uống thêm không?,10,1,883,270,69.42,2,581,975,1556,581 | 975,0.942,Nước trắng có cần cho bé 4 tháng tuổi uống thêm không?,RAG,False,4 tháng | nước trắng,(sữa mẹ OR bú mẹ hoàn toàn),
exclusive_breastfeeding_water,Có cần cho trẻ 4 tháng bú mẹ hoàn toàn uống nước,"KB1 câu 7, 34 và 69--70.",acm,light_summary,Còn loại nước đó có cần cho bé uống thêm không?,10,10,883,883,0.0,1,0,1169,1169,1169,0.48,Trẻ 4 tháng tuổi bú mẹ hoàn toàn có cần uống thêm nước trắng không và loại nước đó có cần cho bé uống thêm không?,RAG,True,bú mẹ hoàn toàn | 4 tháng | nước trắng,,
stomach_capacity,Dung tích dạ dày trẻ sơ sinh ngày thứ ba,KB1 câu 31--33.,no_memory,none,Còn ở mốc đó thì mỗi lần bú dạ dày của bé chứa khoảng bao nhiêu?,10,0,837,0,100.0,1,0,893,893,893,0.372,"Mỗi lần bú, dạ dày của bé 6 tháng tuổi chứa khoảng bao nhiêu?",RAG,False,dạ dày,(ngày thứ 3 OR ngày thứ ba OR 3 ngày) | (22 OR 27 OR ml),
stomach_capacity,Dung tích dạ dày trẻ sơ sinh ngày thứ ba,KB1 câu 31--33.,fixed_window,last_6_messages,Còn ở mốc đó thì mỗi lần bú dạ dày của bé chứa khoảng bao nhiêu?,10,6,837,543,35.13,1,0,1075,1075,1075,0.45,"Trẻ sơ sinh cần được khám sức khỏe định kỳ bao lâu sau khi sinh để theo dõi cân nặng, chiều cao, các mốc phát triển tâm vận động và nhận tư vấn về dinh dưỡng, tiêm chủng.",RAG,False,,(dung tích dạ dày OR dạ dày) | (ngày thứ 3 OR ngày thứ ba OR 3 ngày) | (22 OR 27 OR ml),
stomach_capacity,Dung tích dạ dày trẻ sơ sinh ngày thứ ba,KB1 câu 31--33.,full_history,full,Còn ở mốc đó thì mỗi lần bú dạ dày của bé chứa khoảng bao nhiêu?,10,10,837,837,0.0,1,0,1178,1178,1178,0.411,Trẻ 3 ngày sau sinh có dung tích dạ dày mỗi lần bú khoảng bao nhiêu?,RAG,False,dung tích dạ dày | 3 ngày,(22 OR 27 OR ml),
stomach_capacity,Dung tích dạ dày trẻ sơ sinh ngày thứ ba,KB1 câu 31--33.,summary_only,summary_only,Còn ở mốc đó thì mỗi lần bú dạ dày của bé chứa khoảng bao nhiêu?,10,1,837,195,76.7,2,574,975,1549,574 | 975,0.875,Mỗi lần bú dạ dày của bé 3 ngày sau sinh chứa khoảng bao nhiêu ml?,RAG,True,dạ dày | 3 ngày | ml,,
stomach_capacity,Dung tích dạ dày trẻ sơ sinh ngày thứ ba,KB1 câu 31--33.,acm,light_summary,Còn ở mốc đó thì mỗi lần bú dạ dày của bé chứa khoảng bao nhiêu?,10,10,837,837,0.0,1,0,1178,1178,1178,0.484,Trẻ 3 ngày sau sinh có dung tích dạ dày mỗi lần bú khoảng bao nhiêu?,RAG,False,dung tích dạ dày | 3 ngày,(22 OR 27 OR ml),
effective_breastfeeding,Dấu hiệu ngậm bắt vú đúng ở trẻ 1 tháng,"KB1 câu 14--15, 39 và 71.",no_memory,none,Còn dấu hiệu nào cho thấy bé thực hiện đúng cách đó?,10,0,823,0,100.0,1,0,886,886,886,0.811,Dấu hiệu nào cho thấy trẻ thực hiện đúng cách khi ăn uống?,RAG,False,,(bú mẹ OR ngậm bắt vú OR bú hiệu quả) | (1 tháng OR trẻ 1 tháng) | (miệng OR quầng vú OR môi dưới),
effective_breastfeeding,Dấu hiệu ngậm bắt vú đúng ở trẻ 1 tháng,"KB1 câu 14--15, 39 và 71.",fixed_window,last_6_messages,Còn dấu hiệu nào cho thấy bé thực hiện đúng cách đó?,10,6,823,516,37.3,1,0,1060,1060,1060,0.627,Dấu hiệu nào cho thấy trẻ 6 tháng tuổi đang thực hiện đúng kỹ thuật khám phá thế giới xung quanh thông qua các giác quan?,RAG,False,,(bú mẹ OR ngậm bắt vú OR bú hiệu quả) | (1 tháng OR trẻ 1 tháng) | (miệng OR quầng vú OR môi dưới),
effective_breastfeeding,Dấu hiệu ngậm bắt vú đúng ở trẻ 1 tháng,"KB1 câu 14--15, 39 và 71.",full_history,full,Còn dấu hiệu nào cho thấy bé thực hiện đúng cách đó?,10,10,823,823,0.0,1,0,1170,1170,1170,0.463,Dấu hiệu nào cho thấy bé 1 tháng tuổi đang ngậm bắt vú và bú hiệu quả?,RAG,False,ngậm bắt vú | 1 tháng,(miệng OR quầng vú OR môi dưới),
effective_breastfeeding,Dấu hiệu ngậm bắt vú đúng ở trẻ 1 tháng,"KB1 câu 14--15, 39 và 71.",summary_only,summary_only,Còn dấu hiệu nào cho thấy bé thực hiện đúng cách đó?,10,1,823,244,70.35,2,578,979,1557,578 | 979,11.415,Dấu hiệu nào cho thấy trẻ 1 tháng tuổi bú mẹ đúng cách và thực hiện hiệu quả?,RAG,False,bú mẹ | 1 tháng,(miệng OR quầng vú OR môi dưới),
effective_breastfeeding,Dấu hiệu ngậm bắt vú đúng ở trẻ 1 tháng,"KB1 câu 14--15, 39 và 71.",acm,light_summary,Còn dấu hiệu nào cho thấy bé thực hiện đúng cách đó?,10,10,823,823,0.0,1,0,1170,1170,1170,10.629,Dấu hiệu nào cho thấy bé 1 tháng tuổi đang ngậm bắt vú và bú hiệu quả?,RAG,False,ngậm bắt vú | 1 tháng,(miệng OR quầng vú OR môi dưới),
child_constipation,Điều chỉnh ăn uống khi trẻ 3 tuổi táo bón,KB1 câu 190.,no_memory,none,Còn nhóm thực phẩm đó nên tăng cho bé để cải thiện tình trạng gì?,10,0,882,0,100.0,1,0,889,889,889,0.47,Nhóm thực phẩm nào nên được tăng cường cho trẻ để cải thiện tình trạng sức khỏe của chúng?,RAG,False,,(táo bón) | (3 tuổi OR trẻ 3 tuổi) | (chất xơ OR rau xanh OR trái cây),
child_constipation,Điều chỉnh ăn uống khi trẻ 3 tuổi táo bón,KB1 câu 190.,fixed_window,last_6_messages,Còn nhóm thực phẩm đó nên tăng cho bé để cải thiện tình trạng gì?,10,6,882,552,37.41,1,0,1070,1070,1070,0.443,Nhóm thực phẩm đã được khuyên dùng cho trẻ 6 tháng tuổi nên tăng cho bé để cải thiện tình trạng sức khỏe và phát triển.,RAG,False,,(táo bón) | (3 tuổi OR trẻ 3 tuổi) | (chất xơ OR rau xanh OR trái cây),
child_constipation,Điều chỉnh ăn uống khi trẻ 3 tuổi táo bón,KB1 câu 190.,full_history,full,Còn nhóm thực phẩm đó nên tăng cho bé để cải thiện tình trạng gì?,10,10,882,882,0.0,1,0,1174,1174,1174,5.701,"Nhóm thực phẩm giàu chất xơ như rau xanh, đu đủ hoặc mận nên được tăng cường cho trẻ 3 tuổi để cải thiện tình trạng táo bón và đi ngoài khó khăn.",RAG,True,táo bón | 3 tuổi | chất xơ,,
