Câu hỏi,Trả lời,Nguồn
"Sau sinh mẹ bị tiểu không tự chủ, có nguy hiểm không?","Không nguy hiểm nhưng cần được điều trị. Tiểu không tự chủ sau sinh (nhất là sinh thường) do tổn thương cơ sàn chậu. Tập bài tập Kegel (siết cơ sàn chậu 3 giây, lặp 10 lần, 3 lần/ngày) trong 6 tháng thường cải thiện rõ rệt.",BV Tâm Anh — Đơn vị Niệu nữ; Vinmec — Phục hồi sàn chậu
Phục hồi sàn chậu sau sinh cần bắt đầu khi nào?,Sinh thường không biến chứng: bắt đầu tập Kegel từ 24 giờ sau sinh. Chương trình vật lý trị liệu chính thức: sau 4–6 tuần (sinh thường) hoặc sau 8 tuần (sinh mổ). Nên được bác sĩ đánh giá trước khi bắt đầu.,BS.CKII Lại Thị Nguyệt Hằng — Vinmec Hạ Long
Bài tập Kegel thực hiện như thế nào?,"Siết chặt cơ sàn chậu (như nín tiểu hoặc nín xì hơi), giữ 3–5 giây rồi thả ra hoàn toàn. Lặp lại 10–15 lần/hiệp, 3 hiệp/ngày. Không nhịn thở khi tập. Tập mỗi ngày, hiệu quả sau 4–6 tuần.",ThS.BS Vũ Duy Chinh — Vinmec Times City
Mẹ bị sa tử cung sau sinh có dấu hiệu gì?,"Cảm giác nặng, vướng vùng âm hộ, nhìn thấy hoặc sờ thấy khối sa ra ngoài, tiểu không tự chủ, đại tiện khó. Cần khám sớm, tránh làm việc nặng, nâng đồ. Điều trị bằng tập Kegel hoặc phẫu thuật tùy mức độ.",BV Tâm Anh; Vinmec — Phục hồi sàn chậu
Vết mổ lấy thai cần chăm sóc như thế nào trong tuần đầu?,"Ngày 1–2: y tá thay băng, chỉ thay khi thấm dịch. Ngày 3: mở băng kiểm tra, để thoáng nếu khô sạch. Không để nước chạm vết mổ. Vệ sinh bằng betadin/povidine 10%. Ngày 5 (mổ lần 1) hoặc ngày 7–8 (mổ lần 2): cắt chỉ.","TS.BS Lê Thị Thu Hà — Trưởng khoa Sản N1, BV Từ Dũ"
Vết mổ sau sinh có dấu hiệu nhiễm trùng là gì?,"Dấu hiệu nhiễm trùng vết mổ: sốt trên 38°C, vết mổ sưng đỏ nóng, chảy dịch vàng/mủ hoặc dịch có mùi hôi, đau tăng nhiều tại vết mổ, vết mổ bung chỉ. Cần đến bệnh viện ngay để dùng kháng sinh và xử lý.",Vinmec — BS.CK I Phạm Thị Yến; BV Từ Dũ
Sau cắt chỉ vết mổ cần chăm sóc thế nào?,"Tắm nước ấm, không ngâm bồn. Dùng khăn mềm thấm khô vết mổ, không băng kín. Vệ sinh bằng betadin nếu cần. Kiêng ăn rau muống, thịt gà, gạo nếp, lòng trắng trứng (dễ gây sẹo lồi). Tránh chà xát vết mổ.","Vinmec — BS.CK I Phạm Thị Yến, BV Vinmec Hải Phòng"
Vết mổ lấy thai lành hẳn sau bao lâu?,"Da bên ngoài lành sau 4–6 tuần. Tuy nhiên các mô, cơ và thần kinh bên trong cần 1–2 năm để phục hồi hoàn toàn. Trong thời gian này vết mổ có thể còn hơi cứng, ngứa, tê — đây là bình thường.",Vinmec — Tư vấn chuyên khoa sản
Mẹ sinh mổ khi nào mới được vận động?,"Sau 6–12 giờ đầu nên nằm nghỉ, tránh ngồi đột ngột. Từ 24 giờ sau mổ: xoay người, ngồi dậy từ từ, tập đi lại nhẹ trong phòng. Vận động sớm giúp phòng dính ruột, viêm tắc tĩnh mạch, kích thích tiêu hóa.",BV Phụ Sản MêKông; Vinmec Times City
Sinh mổ 6 giờ đầu mẹ được ăn gì?,"Trong 6 giờ đầu sau mổ chỉ uống nước lọc, nước đường, hoặc cháo loãng. Chờ đến khi xì hơi được mới ăn thức ăn đặc hơn. Không ăn đường, đậu nành, tinh bột nhiều vì dễ gây đầy hơi.",Nữ hộ sinh trưởng Nguyễn Bích Hạnh — Vinmec Times City
Sinh mổ ngày thứ 2 trở đi ăn gì?,"Từ ngày 2 ăn uống bình thường, tăng cường đạm (thịt nạc, cá, đậu hũ), canxi (sữa, rau cải), vitamin C (cam, bưởi) để giúp lành vết mổ. Uống 2–3 lít nước/ngày. Tránh hải sản tanh, đồ chua, đồ lạnh.",Vinmec — Dinh dưỡng sau sinh mổ; BV Phụ Sản MêKông
Mẹ sinh mổ kiêng ăn gì để tránh sẹo lồi?,"Kiêng: rau muống, thịt gà, gạo nếp, lòng trắng trứng (gây sẹo lồi), đồ cay nóng, rượu bia, cà phê. Không dùng đậu nành nhiều vì gây đầy hơi. Những loại hải sản như tôm cũng nên hạn chế.",Vinmec — BS.CK I Phạm Thị Yến; BV Từ Dũ
Sốt sau sinh mổ là dấu hiệu gì?,"Sốt >38°C sau sinh mổ có thể do: nhiễm trùng vết mổ, nhiễm khuẩn hậu sản, viêm đường tiểu, tắc tia sữa/viêm vú, viêm phổi. Cần đến bệnh viện khám để xác định nguyên nhân và điều trị kháng sinh phù hợp.",Phác đồ Sốt sau mổ lấy thai — BV Từ Dũ
Mẹ sinh mổ bị đau bụng ngày 5 có bình thường không?,"Đau nhẹ vùng vết mổ trong 1–2 tuần đầu là bình thường. Tuy nhiên nếu đau dữ dội kèm sốt, sưng đỏ vết mổ hoặc có dịch chảy ra thì không bình thường — cần đến bệnh viện khám ngay.",Vinmec — Tư vấn chuyên khoa sản
Vết mổ bị ngứa có phải nhiễm trùng không?,"Ngứa vết mổ thường là dấu hiệu lành thương bình thường (do mô liên kết phát triển). Chỉ lo ngại khi ngứa kèm sưng đỏ, nóng, chảy dịch hoặc sốt. Không gãi vết mổ; có thể chườm mát nhẹ nếu ngứa nhiều.",Vinmec — Tư vấn sản khoa
Bao lâu sau sinh mổ thì tắm được?,"Ngày 1–2: lau người bằng khăn ấm. Ngày 3 khi vết mổ khô: tắm đứng nhanh bằng nước ấm, không để nước chảy thẳng vào vết mổ. Không ngâm bồn cho đến khi vết mổ lành hẳn (thường sau 6 tuần).",BV Phụ Sản MêKông; Vinmec
Mẹ sinh mổ có nên nằm nghiêng không?,"Nên nằm nghiêng kê gối góc 20–30 độ, thay phiên hai bên. Tránh nằm ngửa hoàn toàn vì có thể làm vết mổ đau hơn và sản dịch ứ đọng. Đặt gối kê dưới đầu gối khi nằm để giảm căng cơ bụng.",BV Phụ Sản MêKông — Chăm sóc sau sinh mổ
Sinh mổ uống thuốc gì sau khi ra viện?,"Thường được kê: kháng sinh uống 3–5 ngày (Cefazolin hoặc tương đương), thuốc co hồi tử cung (Oxytocin/Ergometrin), thuốc giảm đau (Paracetamol). Uống đúng liều, đúng giờ, không tự ngừng thuốc kháng sinh.",Phác đồ sau mổ lấy thai — BV Từ Dũ
Sinh mổ khi nào cần tái khám?,"Tái khám sau 6 tuần theo lịch hẹn của bác sĩ. Khám sớm hơn nếu có: sốt, vết mổ sưng đỏ chảy mủ, đau tăng, chảy máu bất thường, sản dịch hôi hoặc tiểu buốt.",Vinmec — Hướng dẫn sau sinh mổ
Mẹ mổ lấy thai có cần dùng thuốc giảm đau?,Có. Những ngày đầu vết mổ đau nhiều nên dùng thuốc giảm đau theo chỉ định (Paracetamol 500–1000mg mỗi 6–8 giờ). Các thuốc này an toàn với sữa mẹ. Không chịu đau vì sẽ ảnh hưởng đến việc cho con bú.,BV Phụ Sản MêKông; Vinmec Times City
Mẹ sinh mổ lần 2 có khác gì lần 1 không?,"Sinh mổ lần 2: vết mổ lâu lành hơn (cắt chỉ ngày 7–8), nguy cơ dính ruột cao hơn, cần theo dõi kỹ hơn. Khoảng cách 2 lần mổ cần ít nhất 2 năm. Thảo luận với bác sĩ về số lần mổ tối đa (thường ≤3 lần).",BV Từ Dũ — Phác đồ mổ lấy thai
Sinh mổ có ảnh hưởng đến sữa mẹ không?,"Sinh mổ khiến sữa về chậm hơn 1–3 ngày do thiếu hormone Prolactin và Oxytocin (không trải qua chuyển dạ). Cách khắc phục: cho bé bú sớm nhất có thể, dùng máy hút sữa sau 1–2 giờ nếu bé chưa bú được, massage bầu ngực, giữ tâm lý thoải mái.",Vinmec — Sinh mổ không có sữa
Sau sinh mổ bị đầy hơi chướng bụng phải làm gì?,"Đi lại nhẹ nhàng sớm sau mổ là cách tốt nhất. Ăn nhẹ, tránh đậu nành, đường, tinh bột nhiều. Không dùng ống hút khi uống. Mát xa bụng theo chiều kim đồng hồ nhẹ nhàng. Thường hết sau 3–5 ngày khi ruột hoạt động trở lại.",Vinmec — Chăm sóc sau sinh mổ
Mẹ sinh mổ khi nào được tập thể dục lại?,"Bài tập nhẹ (Kegel, đi bộ): từ tuần 2–4. Bài tập vừa (yoga, bơi lội): sau 8 tuần nếu vết mổ lành tốt. Bài tập cường độ cao: sau 3–6 tháng có sự đồng ý của bác sĩ. Không tập bụng nặng trong 6 tháng đầu.",BS Sản Phụ Khoa — Vinmec Phú Quốc
Vết mổ lấy thai bị cứng cục có sao không?,"Cứng vết mổ trong 1–2 tháng đầu là bình thường do mô sẹo hình thành. Sẽ mềm dần theo thời gian. Chỉ đáng lo nếu kèm sốt, đỏ, đau tăng hoặc chảy dịch. Có thể mát xa nhẹ sẹo sau 6–8 tuần để sẹo mềm hơn.",Vinmec — Tư vấn sau sinh mổ
Nên cho bé bú mẹ hoàn toàn đến khi nào?,"Theo khuyến cáo của WHO và Bộ Y tế Việt Nam, cho bé bú mẹ hoàn toàn (không thêm nước, sữa ngoài) trong 6 tháng đầu, sau đó tiếp tục cho bú kèm ăn dặm đến ít nhất 2 tuổi.",Bộ Y tế VN — Hướng dẫn Quốc gia CSSK Sinh sản 2016
Tư thế cho con bú đúng là như thế nào?,"Bế bé sao cho: bụng bé áp sát bụng mẹ, đầu và thân thẳng hàng, mặt bé nhìn thẳng vào vú mẹ. Miệng bé ngậm hết quầng vú (không chỉ núm vú), môi dưới cong ra ngoài. Bé mút nuốt đều, không có tiếng tặc lưỡi.",BV Từ Dũ — Hướng dẫn nuôi con bằng sữa mẹ
Trẻ sơ sinh bú mẹ bao nhiêu lần một ngày?,"Trẻ sơ sinh bú mẹ theo nhu cầu, thường 8–12 lần/24 giờ (mỗi 2–3 giờ). Không ép bú theo giờ cố định. Bú khi bé có dấu hiệu đói (mút tay, quay đầu tìm vú, khóc là dấu hiệu đói muộn).",BV Từ Dũ — Nuôi con bằng sữa mẹ
Dấu hiệu nào cho thấy trẻ bú đủ sữa?,"Bé bú đủ khi: tiểu 6–8 lần/ngày (nước tiểu trong vàng nhạt), đại tiện 3–5 lần/ngày, tăng cân 150–200g/tuần trong tháng đầu, bú no thì nhả vú tự nhiên và ngủ yên.",Vinmec — Nuôi con bằng sữa mẹ; BV Nhi Đồng 1
Sữa non quan trọng như thế nào?,"Sữa non (tiết trong 3–5 ngày đầu) cực kỳ quan trọng: giàu kháng thể IgA bảo vệ bé khỏi nhiễm trùng, có yếu tố tăng trưởng giúp ruột bé trưởng thành, và có tác dụng xổ phân su. Nên cho bé bú ngay trong giờ đầu sau sinh.",BV Từ Dũ; BV Phụ Sản MêKông
Tắc tia sữa xử lý tại nhà như thế nào?,"1. Chườm ấm bầu ngực 5–10 phút trước khi cho bú. 2. Massage nhẹ từ ngoài vào hướng núm vú. 3. Cho bé bú thường xuyên hơn (8–10 lần/ngày), bắt đầu bên bị tắc. 4. Uống 2–3 lít nước/ngày. Nếu sau 24 giờ không cải thiện hoặc sốt cao cần đến bác sĩ.",BV Từ Dũ — Hướng dẫn chăm sóc vú
Viêm vú sau sinh có triệu chứng gì?,"Viêm vú: vú sưng đỏ nóng đau một vùng, sốt >38.5°C, người mệt mỏi đau nhức như cúm. Khác với tắc tia sữa (không sốt cao). Cần khám bác sĩ để dùng kháng sinh sớm, vẫn tiếp tục cho bé bú để tránh áp xe.",BS.CKI Trần Thị Thu Hương — Vinmec Central Park
Áp xe vú là gì và cần làm gì?,"Áp xe vú là biến chứng nặng của viêm vú: hình thành ổ mủ trong vú, sờ thấy khối cứng đau, da đỏ bóng, sốt cao. Cần đến bệnh viện ngay để chích rạch dẫn lưu mủ và dùng kháng sinh tiêm. Tạm ngưng cho bé bú bên bị áp xe.",BS.CKI Hồ Thị Khánh Quyên — BV Tâm Anh TP.HCM
Sữa mẹ vắt ra bảo quản được bao lâu?,"Nhiệt độ phòng (25°C): 4–6 giờ. Ngăn mát tủ lạnh (4°C): 3–4 ngày. Ngăn đá một cánh (-15°C): 2 tuần. Ngăn đông riêng (-18°C): 3–6 tháng. Sữa rã đông trong ngăn mát dùng trong 24 giờ, không đông lại.",Vinmec; VSBA — Hội Tư vấn Sữa mẹ Việt Nam
Cách hâm sữa mẹ đã vắt đúng cách?,"Ngâm túi/bình sữa vào bát nước ấm (không nóng quá 40°C) trong 5–10 phút. Không hâm trong lò vi sóng (phá hủy kháng thể, gây nóng không đều). Lắc nhẹ trước khi cho bé bú. Không đun sôi sữa mẹ.",BV Từ Dũ — Nuôi con bằng sữa mẹ
Mẹ cho con bú cần ăn uống như thế nào?,"Cần thêm 500 kcal/ngày (tổng 2500–2800 kcal). Ăn đa dạng: thịt cá trứng (đạm), rau xanh (sắt, folate), sữa phô mai (canxi 1200mg/ngày). Uống 2–3 lít nước/ngày. Tránh cà phê, trà đặc, rượu bia.",Quyết định 776/QĐ-BYT — Bộ Y tế VN
Mẹ uống cà phê khi cho con bú có ảnh hưởng không?,"Caffeine truyền qua sữa mẹ có thể khiến bé khó ngủ, quấy khóc, tim đập nhanh. Có thể uống tối đa 1 tách cà phê/ngày (200mg caffeine), uống sau khi cho bú để giảm lượng caffeine trong sữa.",Vinmec — Sức khỏe mẹ sau sinh
Mẹ bị cảm cúm có tiếp tục cho con bú không?,"Vẫn cho con bú bình thường vì sữa mẹ chứa kháng thể bảo vệ bé. Đeo khẩu trang khi cho bú, rửa tay trước khi chạm vào bé. Uống nhiều nước. Chỉ ngưng cho bú nếu bác sĩ chỉ định dùng thuốc không an toàn với sữa mẹ.",BV Nhi Đồng 1; Vinmec
"Mẹ sau sinh mổ sữa về chậm, phải làm sao?","Cho bé bú hoặc hút sữa trong 1–2 giờ đầu sau mổ nếu được. Hút sữa mỗi 2–3 giờ để kích thích tuyến sữa. Massage bầu ngực. Ăn uống đủ dinh dưỡng, uống đủ nước, giữ tâm lý thư giãn. Sữa thường về đủ sau 3–5 ngày.",Vinmec — Sinh mổ không có sữa
Núm vú bị nứt nẻ khi cho bú phải xử lý thế nào?,Kiểm tra lại tư thế ngậm bắt vú (nguyên nhân chính). Bôi sữa mẹ lên núm vú sau mỗi lần bú rồi để khô thoáng. Dùng kem lanolin tinh khiết nếu nứt nặng. Bắt đầu bú từ bên ít đau hơn. Nếu nứt chảy máu cần khám.,BV Từ Dũ — Chăm sóc vú và nuôi con bằng sữa mẹ
Trẻ bú mẹ có cần uống thêm nước không?,"Không cần. Trẻ bú mẹ hoàn toàn trong 6 tháng đầu không cần uống thêm nước vì sữa mẹ chứa 87% là nước, đáp ứng đủ nhu cầu dịch của bé. Cho uống nước thêm sẽ làm bé bú ít đi.",Bộ Y tế VN — Hướng dẫn Quốc gia CSSK Sinh sản 2016
Mẹ bị trầm cảm sau sinh có cho con bú được không?,Vẫn có thể cho con bú. Tuy nhiên một số thuốc chống trầm cảm không an toàn với sữa mẹ. Cần thông báo với bác sĩ tâm thần rằng đang cho con bú để được kê đơn phù hợp (Sertraline thường được chọn vì an toàn hơn).,ThS.BS Nguyễn Thành Long — Vinmec Times City
Cho con bú bao lâu một lần trong tháng đầu?,"Tháng đầu bú theo nhu cầu, thường mỗi 2–3 giờ cả ngày lẫn đêm. Mỗi cữ bú 10–20 phút (5–7 phút bên này, chuyển bên kia). Không ép bé ngủ qua đêm không bú trong tháng đầu.",BV Nhi Đồng 1 — Chăm sóc trẻ sơ sinh
Mẹ mặc áo ngực cho bú loại nào phù hợp?,"Chọn áo ngực cho con bú (nursing bra) không dây cứng, chất liệu cotton thoáng khí, có thể mở nắp dễ dàng để cho bú. Tránh áo ngực chật ép bầu ngực vì dễ gây tắc tia sữa.",BV Từ Dũ — Chăm sóc vú
Mẹ ít sữa phải làm sao để có nhiều sữa hơn?,"Cho bé bú thường xuyên hơn (8–12 lần/ngày) — nhu cầu bú càng cao, sữa càng nhiều. Uống đủ 2–3 lít nước/ngày. Ăn đủ dinh dưỡng. Nghỉ ngơi đủ giấc. Tránh stress. Massage bầu ngực. Không cho bé bú bình song song.",BV Từ Dũ — Hướng dẫn NCBSM; Vinmec
Bé từ chối bú mẹ phải làm sao?,"Thử cho bú khi bé buồn ngủ hoặc mới thức, bú trong phòng yên tĩnh ít kích thích. Kiểm tra lại tư thế. Đảm bảo bé không quá đói (quấy dữ sẽ khó bú). Tránh dùng bình bú song song để bé không nhầm lẫn núm vú.",BV Nhi Đồng 1; BV Từ Dũ
Sữa mẹ chuyển từ sữa non sang sữa trưởng thành khi nào?,"Sữa non: 3–5 ngày đầu (vàng đặc, ít). Sữa chuyển tiếp: ngày 5–14 (trắng hơn, nhiều hơn). Sữa trưởng thành: từ tuần 2–3 trở đi (trắng loãng). Màu sắc sữa mẹ thay đổi theo chế độ ăn của mẹ là bình thường.",BV Từ Dũ — Hướng dẫn NCBSM
Kỹ thuật vắt sữa tay đúng cách?,"Rửa tay sạch. Massage bầu ngực vài phút. Đặt ngón cái và ngón trỏ ở rìa quầng vú (không phải núm), ấn vào lồng ngực rồi nhẹ nhàng nặn ra. Xoay theo chiều kim đồng hồ để vắt đều. Mỗi lần 15–20 phút.",VSBA — Hội Tư vấn Sữa mẹ Việt Nam; BV Từ Dũ
Ăn gì để nhiều sữa sau sinh?,"Thực phẩm hỗ trợ tiết sữa: móng giò hầm đu đủ/lạc, cháo cá chép, rau ngót, mè đen, gừng, cà rốt. Uống sữa, nước hầm xương. Quan trọng nhất: ăn đủ calo (2500–2800 kcal/ngày) và uống đủ nước.",BV Từ Dũ — Dinh dưỡng mẹ bỉm sữa; Vinmec
Buồn sau sinh (baby blues) khác gì trầm cảm sau sinh?,"Baby blues: buồn, khóc, cáu kỉnh trong 3–5 ngày đầu sau sinh, tự khỏi trong 2 tuần — bình thường. Trầm cảm sau sinh: triệu chứng kéo dài >2 tuần, nặng hơn, ảnh hưởng chức năng — cần điều trị chuyên khoa.","BS Vũ Thy Cầm — Viện Sức khỏe Tâm thần, BV Bạch Mai"
Trầm cảm sau sinh có triệu chứng gì?,"Các triệu chứng: khóc nhiều không rõ lý do, mất hứng thú với mọi thứ kể cả chăm con, mệt mỏi cực độ, mất ngủ hoặc ngủ quá nhiều, lo lắng thái quá, bi quan, khó tập trung, xa lánh người thân, trong trường hợp nặng có ý nghĩ tự làm hại bản thân.","ThS.BS Nguyễn Thị Ái Vân — Phòng Điều trị rối loạn cảm xúc, BV Bạch Mai"
Trầm cảm sau sinh xảy ra khi nào?,"Thường xuất hiện trong 4 tuần đầu sau sinh, nhưng có thể xảy ra bất kỳ thời điểm nào trong năm đầu. Tỷ lệ mắc 10–15% phụ nữ sau sinh. Yếu tố nguy cơ: tiền sử trầm cảm, thiếu hỗ trợ gia đình, sang chấn tâm lý.",BV Từ Dũ — Nhận biết sớm trầm cảm sau sinh; Vinmec
Trầm cảm sau sinh có tự khỏi không?,"Trầm cảm sau sinh không tự khỏi nếu không điều trị. Tuy nhiên 80% phụ nữ hồi phục hoàn toàn nếu được phát hiện và điều trị đúng cách bằng liệu pháp tâm lý, thuốc chống trầm cảm, hoặc kết hợp cả hai.","BS Vũ Thy Cầm — Viện Sức khỏe Tâm thần, BV Bạch Mai"
Trầm cảm sau sinh điều trị như thế nào?,"Điều trị gồm: (1) Liệu pháp tâm lý (CBT - trị liệu nhận thức hành vi), (2) Thuốc chống trầm cảm (Sertraline an toàn khi cho bú), (3) Hỗ trợ gia đình. Không tự ý dùng thuốc. Cần khám chuyên khoa tâm thần hoặc tâm lý lâm sàng.",Vinmec; BV Từ Dũ — Nhận biết sớm trầm cảm sau sinh
Rối loạn tâm thần sau sinh nguy hiểm như thế nào?,"Rối loạn tâm thần hậu sản (Postpartum Psychosis) rất hiếm (1/500 phụ nữ) nhưng rất nguy hiểm: ảo giác, ảo tưởng, hành vi kỳ lạ. Cần nhập viện tâm thần ngay, điều trị bằng thuốc chống loạn thần.",Cẩm nang MSD — Phiên bản chuyên gia; Vinmec
Làm sao phòng ngừa trầm cảm sau sinh?,"Chuẩn bị tâm lý từ khi mang thai. Xây dựng mạng lưới hỗ trợ (chồng, gia đình). Ngủ đủ giấc (nhờ người trông bé luân phiên). Kết nối với các bà mẹ khác. Chia sẻ cảm xúc. Khám sức khỏe tâm lý định kỳ sau sinh.",BV Bạch Mai; Vinmec — Trầm cảm sau sinh
Mẹ lo lắng quá mức về bé có phải trầm cảm không?,"Lo lắng bình thường là phản ứng tự nhiên. Lo lắng thái quá (kiểm tra bé liên tục, sợ bé bị hại, mất ngủ do lo, không tin tưởng ai trông bé) có thể là rối loạn lo âu sau sinh — cần khám tâm lý để được đánh giá.",BS Vũ Thy Cầm — BV Bạch Mai; Vinmec
Gia đình nên làm gì khi mẹ bị trầm cảm sau sinh?,"Lắng nghe không phán xét, giúp đỡ chăm sóc bé để mẹ nghỉ ngơi, khuyến khích mẹ gặp bác sĩ. Không nói 'cố lên', 'nhiều người còn khổ hơn'. Không để mẹ một mình khi có dấu hiệu tự hại. Gọi hỗ trợ khẩn cấp nếu cần.",BV Từ Dũ — Trầm cảm sau sinh; BV Bạch Mai
Mẹ sau sinh mất ngủ kéo dài phải làm gì?,Ngủ khi bé ngủ (dù ban ngày). Nhờ người thân trông bé 1–2 cữ đêm. Tránh cà phê sau 14h. Tạo môi trường ngủ tối yên tĩnh. Nếu mất ngủ kéo dài >2 tuần kèm lo âu/buồn bã cần khám tâm lý.,Vinmec — Sức khỏe mẹ sau sinh
Stress sau sinh ảnh hưởng đến sữa mẹ không?,"Có. Stress, lo âu làm giảm hormone Oxytocin — cản trở phản xạ xuống sữa, khiến bé khó bú. Để kích thích sữa xuống: hít thở sâu, nghe nhạc nhẹ, nhìn ảnh/nghĩ đến bé, uống nước ấm trước khi cho bú.",BV Từ Dũ — Hướng dẫn NCBSM; Vinmec
