question_id,kb,source_row,budget,question,reference_answer,expected_source,answer,valid_answer,retrieved_doc_count,generation_doc_count,context_estimated_tokens,context_chars,rouge_l_f1,latency_seconds,generation_sources,error
Q006,KB1,86,1000,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?","• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of,MomCare chưa tìm thấy đủ thông tin trong kho tài liệu để trả lời câu hỏi này.,1,5,1,326,749,0.0377358490566037,0.920269800000824,Bo_De_Me_Va_Be.xlsx,
Q006,KB1,86,1500,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?","• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of,MomCare chưa tìm thấy đủ thông tin trong kho tài liệu để trả lời câu hỏi này.,1,5,3,1203,2762,0.0377358490566037,1.2477085999998965,Bo_De_Me_Va_Be.xlsx | Bo_De_Me_Va_Be.xlsx | data_store\pdf\1445371_Improving-the-quality-and-care-of-....pdf,
Q006,KB1,86,2200,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?","• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of,"Bác sĩ sẽ theo dõi mẹ trong khoảng thời gian sau sinh như thế nào? Theo tài liệu, giai đoạn sau sinh được định nghĩa là khoảng thời gian từ 1 giờ sau sinh và kéo dài 6 tuần sau đó. Tuy nhiên, tài liệu không cung cấp thông tin cụ thể về việc bác sĩ sẽ theo dõi mẹ trong mấy tiếng đầu sau sinh. MomCare chưa tìm thấy đủ thông tin trong kho tài liệu để trả lời câu hỏi này.",1,5,4,1964,4512,0.1512605042016806,61.63173650000135,Bo_De_Me_Va_Be.xlsx | Bo_De_Me_Va_Be.xlsx | data_store\pdf\1445371_Improving-the-quality-and-care-of-....pdf | Bo_De_Me_Va_Be.xlsx,
Q006,KB1,86,3000,"Em mới sinh bé xong, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào?","• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of,"Bác sĩ sẽ theo dõi tình trạng huyết áp, mạch và ra máu sản dịch của mẹ trong ngày đầu tiên sau sinh để đảm bảo sức khỏe của mẹ.",1,5,5,2709,6224,0.1515151515151515,61.41790260000016,Bo_De_Me_Va_Be.xlsx | Bo_De_Me_Va_Be.xlsx | data_store\pdf\1445371_Improving-the-quality-and-care-of-....pdf | Bo_De_Me_Va_Be.xlsx | Chăm sóc bà mẹ và trẻ trong tuần đầu tiên sau sinh.docx,
Q007,KB1,331,1000,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?","Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx,"Đánh giá sự phát triển của trẻ cần được thực hiện thường xuyên để phát hiện sớm các dấu hiệu trẻ chậm phát triển tâm thần, chiều cao, hay sự tăng trưởng của trẻ nhanh hay chậm. Quá trình này sẽ giúp cha mẹ có kế hoạch điều chỉnh cách chăm sóc, nuôi dạy phù hợp và hiệu quả. Đánh giá sự phát triển của trẻ sẽ được điều chỉnh cho phù hợp với tuổi của bé, các vấn đề nghi ngờ hoặc chậm trễ. Nói chung, cha mẹ của trẻ có thể được dành thời gian trả lời một loạt các câu hỏi chi tiết về sự phát triển của con mình như về: thể chất, hành vi, cách chơi, tương tác với các thành viên trong gia đình và phần còn lại của thế giới.",1,5,1,660,1516,0.1581395348837209,1.1948045999997703,Đánh giá sự phát triển của trẻ như thế nào.docx,
Q007,KB1,331,1500,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?","Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx,"Bé cần được đánh giá sự phát triển thường xuyên để phát hiện sớm các dấu hiệu trẻ chậm phát triển tâm thần, chiều cao, hay sự tăng trưởng của trẻ nhanh hay chậm. Qua đó giúp cha mẹ có kế hoạch điều chỉnh cách chăm sóc, nuôi dạy phù hợp và hiệu quả. Để đánh giá sự phát triển của bé, cha mẹ có thể được dành thời gian trả lời một loạt các câu hỏi chi tiết về sự phát triển của con mình như về: thể chất, hành vi, cách chơi, tương tác với các thành viên trong gia đình và phần còn lại của thế giới. Trẻ sẽ trải qua một loạt các bài kiểm tra có thể bao gồm khám sức khỏe, kiểm tra thính giác và mắt khi chơi, các bài kiểm tra tiêu chuẩn, cho bé thực hiện một số nhiệm vụ nhất định để xác định điểm mạnh và điểm yếu. Trẻ em lớn lên và phát triển rất nhanh, do đó điều quan trọng là phải đánh giá lại chúng thường xuyên.",1,5,2,1435,3297,0.1776061776061776,1.3575686999993195,Đánh giá sự phát triển của trẻ như thế nào.docx | Đánh giá sự phát triển của trẻ như thế nào.docx,
Q007,KB1,331,2200,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?","Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx,"Bé cần được đánh giá sự phát triển thường xuyên để phát hiện sớm các dấu hiệu trẻ chậm phát triển tâm thần, chiều cao, hay sự tăng trưởng của trẻ nhanh hay chậm. Qua đó giúp cha mẹ có kế hoạch điều chỉnh cách chăm sóc, nuôi dạy phù hợp và hiệu quả. Để đánh giá sự phát triển của bé, cha mẹ có thể thực hiện các bước sau: - Đánh giá sự phát triển của bé dựa trên các tiêu chí về thể chất, phát triển ngôn ngữ, trí tuệ, xã hội và tình cảm. - Trả lời các câu hỏi chi tiết về sự phát triển của con mình như về: thể chất, hành vi, cách chơi, tương tác với các thành viên trong gia đình và phần còn lại của thế giới. - Trẻ sẽ trải qua một loạt các bài kiểm tra có thể bao gồm khám sức khỏe, kiểm tra thính giác và mắt khi chơi, các bài kiểm tra tiêu chuẩn, cho bé thực hiện một số nhiệm vụ nhất định để xác định điểm mạnh và điểm yếu. Ngoài ra, cha mẹ cũng cần thường xuyên theo dõi và đánh giá sức khỏe của bé, bao gồm: - Kiểm tra xác định bé dựa trên mẹ vào mỗi ca trực - Thực hiện đánh giá hàng ngày sức khỏe bé bao gồm phân, màu da, mắt và rốn - Hỗ trợ và theo dõi bé ăn - Đánh giá tình trạng ăn và ghi nhận vào biểu đồ thức ăn cho trẻ sơ sinh và sức khỏe Nếu nghi ngờ trẻ không khỏe, cha mẹ nên lấy nhiệt độ và theo dõi mức độ vàng da kèm với tổng trạng của bé liên quan đến việc bú và sự tỉnh táo.",1,5,3,1916,4401,0.1132075471698113,1.5435952999996516,Đánh giá sự phát triển của trẻ như thế nào.docx | Đánh giá sự phát triển của trẻ như thế nào.docx | data_store\pdf\1445371_Improving-the-quality-and-care-of-....pdf,
Q007,KB1,331,3000,"Em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ?","Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx,"Bé cần được đánh giá sự phát triển thường xuyên để phát hiện sớm các dấu hiệu trẻ chậm phát triển tâm thần, chiều cao, hay sự tăng trưởng của trẻ nhanh hay chậm. Qua đó giúp cha mẹ có kế hoạch điều chỉnh cách chăm sóc, nuôi dạy phù hợp và hiệu quả. Theo tài liệu, quá trình đánh giá sự phát triển của trẻ nên được thực hiện bởi một nhóm có thể bao gồm: bác sĩ nhi khoa, nhà thính học, nhà tâm lý học trẻ em, nhà trị liệu vật lý, cùng những người khác, để có được bức tranh toàn cảnh về các kỹ năng của trẻ. Bé nên được quan sát trong một số môi trường với những người khác nhau để có được bức tranh toàn cảnh về cách trẻ chơi, học, di chuyển, tương tác, v.v. Quá trình này cần xác định điểm mạnh và điểm yếu của trẻ. Cha mẹ và các chuyên gia nên làm việc cùng nhau để đánh giá sự phát triển của trẻ. Thông tin và ý kiến của cha mẹ rất quan trọng trong việc xác định xem bé đang thực sự như thế nào. Bé cần được đánh giá lại thường xuyên để đảm bảo sự phát triển toàn diện của trẻ cả về thể chất, tâm thần và vận động.",1,5,4,2665,6123,0.1704918032786885,61.72873460000119,Đánh giá sự phát triển của trẻ như thế nào.docx | Đánh giá sự phát triển của trẻ như thế nào.docx | data_store\pdf\1445371_Improving-the-quality-and-care-of-....pdf | Đánh giá sự phát triển của trẻ như thế nào.docx,
Q008,KB1,96,1000,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?","Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of,"Mẹ đang cho con bú có thể giảm đau núm vú bằng cách: - Chăm sóc và nghỉ ngơi nhiều - Có một chế độ ăn uống lành mạnh, cân đối - Tránh để cho ngực lúc nào cũng trong tình trạng căng, tắc sữa - Cho trẻ bú từng bên một, nếu trẻ bú không hết phải vắt bỏ sữa thừa, tránh ứ đọng sữa - Thay đổi vị trí cho con bú, không sử dụng vú như một núm vú giả Nếu sau khi thử các biện pháp trên trong vòng 24 giờ, các triệu chứng không cải thiện, mẹ cần được khám và điều trị.",1,5,2,680,1560,0.1085271317829457,1.1692231999986689,data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf,
Q008,KB1,96,1500,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?","Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of,"Mẹ đang cho con bú có thể giảm đau núm vú bằng cách: - Nhỏ vài giọt sữa mẹ lên cổ núm vú và massage nhẹ nhàng các vùng xung quanh. Mỗi ngày thực hiện 3-5 lần. - Sử dụng thuốc bôi theo chỉ định cho cả mẹ và con. - Đảm bảo mặc áo ngực phù hợp. Thông tin này được nêu trong tài liệu ""43 - Cho con bú không đúng tư thế gây tổn thương đầu vú mẹ"" (TÀI LIỆU id=""3"").",1,5,4,1415,3248,0.1481481481481481,1.195009900000514,data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\dvcsskss_48201712.pdf,
Q008,KB1,96,2200,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?","Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of,"Mẹ đang cho con bú có thể giảm đau núm vú bằng các cách sau: - Nhỏ vài giọt sữa mẹ lên cổ núm vú và massage nhẹ nhàng các vùng xung quanh. Mỗi ngày thực hiện 3-5 lần. - Sử dụng thuốc bôi theo chỉ định cho cả mẹ và con. - Đảm bảo mặc áo ngực phù hợp. Thông tin này được dựa trên tài liệu ""43 - Cho con bú không đúng tư thế gây tổn thương đầu vú mẹ"" trong kho tài liệu.",1,5,5,1684,3865,0.1454545454545454,1.344916000000012,data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\dvcsskss_48201712.pdf | data_store\pdf\Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,
Q008,KB1,96,3000,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không?","Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of,"Mẹ đang cho con bú có thể giảm đau núm vú bằng các cách sau: - Nhỏ vài giọt sữa mẹ lên cổ núm vú và massage nhẹ nhàng các vùng xung quanh. Mỗi ngày thực hiện 3-5 lần. - Sử dụng thuốc bôi theo chỉ định cho cả mẹ và con. - Đảm bảo mặc áo ngực phù hợp. Thông tin này được dựa trên tài liệu ""43 - Cho con bú không đúng tư thế gây tổn thương đầu vú mẹ"" trong kho tài liệu.",1,5,5,1684,3865,0.1454545454545454,1.110233599998537,data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\d3fa1053-wp8-postpartum-care-handbook-viet.pdf | data_store\pdf\dvcsskss_48201712.pdf | data_store\pdf\Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,
Q009,KB1,268,1000,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?","Đúng, việc ngồi xổm kéo dài hoặc rặn mạnh khi đại tiện gây áp lực lớn lên vùng sàn chậu đang tổn thương, làm tăng nguy cơ tử cung bị sa xuống thấp. Nên thay đổi chế độ ăn với nhiều chất xơ, uống nhiều nước hoặc ăn các món ăn giúp hỗ trợ nhuận tràng;",Phòng ngừa sa tử cung sau sinh.docx,"Sau sinh, mẹ nên tránh ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung không. Trả lời: Không. Mẹ nên tránh đi lại nhiều, tránh ngồi xổm, nhấc vật nặng trong tuần đầu sau sinh để tránh sa tử cung.",1,5,1,680,1562,0.196078431372549,1.028608799999347,Hướng Dẫn Chăm Sóc Vết May Tầng Sinh Môn Sau Sinh Thường.docx,
Q009,KB1,268,1500,"Em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không?","Đúng, việc ngồi xổm kéo dài hoặc rặn mạnh khi đại tiện gây áp lực lớn lên vùng sàn chậu đang tổn thương, làm tăng nguy cơ tử cung bị sa xuống thấp. Nên thay đổi chế độ ăn với nhiều chất xơ, uống nhiều nước hoặc ăn các món ăn giúp hỗ trợ nhuận tràng;",Phòng ngừa sa tử cung sau sinh.docx,"Sau sinh, mẹ nên tránh ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung không? Không. Mẹ nên tránh đi lại nhiều, tránh ngồi xổm, nhấc vật nặng trong tuần đầu sau sinh để tránh sa tử cung.",1,5,2,1341,3081,0.2,1.0509936999987983,Hướng Dẫn Chăm Sóc Vết May Tầng Sinh Môn Sau Sinh Thường.docx | Phòng ngừa sa tử cung sau sinh.docx,
