question_id,kb,source_row,STT,Câu hỏi người dùng (Input),Nhãn (GT),Phản hồi kỳ vọng (Expected Output),Nguồn (Source)
Q012,KB1,363,362,Bệnh thủy đậu ở trẻ nhỏ là như thế nào?,RAG,"Thủy đậu (bệnh trái rạ) là bệnh nhiễm trùng cấp tính do virus varicella-zoster gây ra. Bệnh có khả năng lây lan nhanh chóng, tạo dịch thủy đậu thông qua tiếp xúc trực tiếp với giọt bắn có chứa virus gây bệnh được người bệnh phát tán ra không khí khi hắt hơi, ho, nói chuyện hoặc do tiếp xúc với dịch tiết từ các vết loét do thủy đậu. Bệnh thường sẽ bắt đầu và kết thúc trong khoảng 5-10 ngày với triệu chứng đặc trưng là sự xuất hiện của các vết phồng rộp đỏ, ngứa, bị nổ và trở thành vẩy khổ. Thông thường bệnh thủy đậu ở trẻ không gây ra các biến chứng nghiêm trọng. Tuy nhiên, trong một số trường hợp bệnh có thể gây nhiễm trùng da, nhiễm trùng phổi. Theo thống kê, thủy đậu có nguy cơ xảy ra cao ở trẻ dưới 15 tuổi. Trẻ dưới 12 tháng tuổi sau khi mắc bệnh thủy đậu sẽ có nguy cơ mắc bệnh zona về sao cao hơn 4.5 lần so với những đứa trẻ khác.",qa_me_bim_sau_sinh_100.csv.xlsx
Q013,KB1,58,57,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý?,RAG,Mức tăng cân trung bình nên đạt từ 10 - 12 kg.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q014,KB1,74,73,Những thực phẩm nào mẹ mang thai nên dùng để cung cấp năng lượng?,RAG,"Gạo, mì, ngô, khoai, sắn và các chế phẩm từ nó.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q015,KB1,134,133,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu gì ạ?,RAG,"Đây có thể là dấu hiệu của bế sản dịch hoặc viêm nội mạc tử cung, bạn cần được bác sĩ kiểm tra ngay.",Sổ tay 4Steps - Trang 24
Q016,KB1,44,43,Thời gian bảo quản sữa mẹ trong ngăn đá tủ lạnh (-18 đến -20°C)?,RAG,Tốt nhất trong 6 tháng và có thể lên tới 12 tháng.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q017,KB1,280,279,"em thấy trên thị trường có nhiều loại tã quá, làm sao để em chọn được loại tã giấy vừa vặn và thoải mái nhất cho bé nhà em ạ?",RAG,"Cách chọn bỉm cho trẻ theo độ tuổi: • Trẻ sơ sinh: Trong khoảng 3 ngày đầu, trẻ sẽ đi phân su màu đen với số lượng không nhiều. Những ngày tiếp theo trẻ đi tè và ị nhiều hơn. Mẹ có thể đóng tã giấy, hoặc dùng miếng lót phân su và mặc cùng với tã quần cho bé. • Trẻ 1 - 2 tháng: Bé sẽ đi vệ sinh rất nhiều, mỗi ngày từ 8 - 10 lần. Do trẻ bú nhiều hơn, phân cũng lỏng chứ không chặt như ban đầu. Ban ngày mẹ có thể dùng tã giấy, ban đêm thay tã quần để phân và nước tiểu không bị tràn, giúp con thoải mái hơn. • Từ 3 tháng tuổi trở lên: Bé đi nặng ít hơn, chỉ khoảng 2 - 3 lần mỗi ngày, nhưng số lượng mỗi lần sẽ nhiều. Mẹ có thể cho bé đóng bỉm hoàn toàn mà không dùng tã giấy, hoặc dùng tã vải để vừa tiết kiệm vừa tránh hăm tã. Cách chọn bỉm cho trẻ theo cân nặng: • Tã Newborn: Trẻ sơ sinh dưới 1 tháng tuổi và nhẹ hơn 5 kg • Size S: Tùy theo mỗi hãng tã, có thể chia trong khoảng 0 - 8 kg • Size M: Khoảng 5 - 12 kg, tùy theo từng hãng • Size L: Khoảng 8 - 14 kg, tùy theo từng hãng • Size XL: Khoảng 11 - 17 kg hoặc trên 13 kg, tùy từng hãng • Size XXL: Trên 14 kg hoặc từ 15 - 25 kg tùy theo từng hãng Ba mẹ cần chú ý chọn bỉm theo cân nặng của trẻ Lưu ý, nên thay đổi kích cỡ tã lớn hơn khi thấy các dấu hiệu sau: • Tã bó sát vòng eo và đùi của bé, để lại vết hằn trên da • Phải dùng tới mép của băng dán mới giữ tã nằm đúng vị trí • Kéo tã lên bị ngắn, lưng tã thấp dưới rốn • Tràn tã thường xuyên • Cân nặng của bé vượt quá mức được chỉ dẫn Cách chọn tã cho bé theo giới tính: • Bé gái: Thấm hút nhiều ở phần giữa và phía sau, hoặc tã quần có đường diềm để lót thêm tã vải bên trong • Bé trai: Bỉm có lớp lót phụ thêm ở phía trước, màng ngăn hai bên đảm bảo không tràn nước tiểu. Hình dạng của tã theo giai đoạn: • Trẻ sơ sinh: Thường dùng loại dán hai bên • Trẻ biết bò: Hai dây dán chặt hơn và chắc chắn hơn • Trẻ tập đi: Dùng bỉm quần để tránh tuột và xê dịch khi vận động. Ưu tiên chọn tã dán hai bên cho trẻ sơ sinh",Tã dùng một lần.docx
Q018,KB1,378,377,Nhau bong non là gì?,RAG,"Nhau bong non là một biến chứng sản khoa nghiêm trọng xảy ra khi bánh nhau tách ra khỏi thành tử cung trước khi thai nhi được sinh ra. Tình trạng này có thể gây nguy hiểm đến tính mạng của cả mẹ và thai nhi nếu không được phát hiện và xử trí kịp thời. Do đó, việc nhận biết các dấu hiệu bất thường của nhau bong non đóng vai trò rất quan trọng trong việc giảm thiểu nguy cơ tử vong và biến chứng.",qa_me_bim_sau_sinh_100.csv.xlsx
Q019,KB1,233,231,"Ngoài việc cải thiện chuyện tiểu tiện, tập phục hồi sàn chậu có giúp ích gì cho đời sống vợ chồng sau sinh không ạ?",RAG,"Có, tập luyện giúp thu nhỏ âm đạo, tăng sức mạn cơ vùng chậu, từ đó cải thiện chức năng tình dục và tăng cảm giác trong quan hệ vợ chồng.",Phục hồi chức năng sàn chậu và lợi ích đối với các bà mẹ sau sinh.docx
Q020,KB1,387,386,Cách phòng bệnh tay chân miệng hiệu quả?,RAG,"Bệnh Tay Chân Miệng hiện nay vẫn chưa có thuốc điều trị đặc hiệu và không phải là bệnh có thể miễn nhiễm suốt đời. Vì vậy, việc nâng cao nhận thức và chủ động phòng bệnh là chìa khóa quan trọng giúp bảo vệ trẻ trước nguy cơ tái nhiễm và những biến chứng không mong muốn. Các biện pháp phòng bệnh bao gồm: Vệ sinh cá nhân, rửa tay thường xuyên bằng xà phòng, đặc biệt sau khi ho, hắt hơi hoặc xì mũi, thay tã, đi vệ sinh... Làm sạch và nên khử trùng các bề mặt hay đồ dùng thường xuyên tiếp xúc, vệ sinh đồ chơi, vật dụng của trẻ. Không cho trẻ tiếp xúc với người đang bệnh. Giữ sạch môi trường sống. Tránh chạm vào mắt, mũi, miệng khi tay chưa rửa. Dạy và tập cho trẻ không đưa tay, đồ vật vào miệng. Vắc xin: hiện nay chưa phổ biến.",qa_me_bim_sau_sinh_100.csv.xlsx
Q021,KB2,211,210,"Bé nhà mình hay hỏi ""Tại sao?"" liên tục, đôi khi em thấy rất mệt mỏi, có nên trả lời hết các câu hỏi đó k",RAG,Những câu hỏi này chứng tỏ bé rất tò mò và ham học hỏi; bạn hãy kiên nhẫn trả lời đơn giản hoặc cùng bé đi tìm câu trả lời để khuyến khích tư duy của con.,Sách Không ai hoàn hảo - Trí tuệ
Q022,KB2,282,281,"Em lo ngại các hóa chất trong tã giấy, có loại tã nào k chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé k",RAG,"Có, một số cha mẹ không hài lòng về loại gel siêu thấm thường được sử dụng trong tã dùng một lần để hút ẩm và giữ cho bé luôn khô ráo. Với những loại tã không có gel, đệm bông được sử dụng thay thế để thực hiện tính năng thấm hút. Bên cạnh đó, tã không có clo cũng là một lựa chọn khác cho các bậc cha mẹ muốn giảm thiểu sử dụng hóa chất.",Tã dùng một lần.docx
Q023,KB2,35,34,Sưa mẹ chứa bao nhiêu phần trăm là nước các Mom nhỉ,RAG,Sữa mẹ chứa tới 88% là nước.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q024,KB2,212,211,"Làm sao để em giúp bé con nhận biết và học tên các màu sắc, hình khối 1 cách tự nhiên nhất",RAG,"Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ
Q025,KB2,95,94,Sưa non của em màu vàng và đặc thì có tốt cho bé con k bs ơi,RAG,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of 
Q026,KB2,86,85,"Em mới sinh bé con xong, trong mấy tiếng đầu bs sẽ theo dõi em thế nào",RAG,"• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of 
Q027,KB2,331,330,"Em có cần fải đánh giá lại sự phát triển của bé thường xuyên k, hay chỉ cần thực hiện 1 lần khi bé có dấu hiệu lạ?",RAG,"Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx
Q028,KB2,96,95,"Em bị đau núm vú quá, có cách nào để bớt đau khi cho bé bú k mn ơi",RAG,"Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of 
Q029,KB2,268,267,"Em nghe nói sau sinh k nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng k",RAG,"Đúng, việc ngồi xổm kéo dài hoặc rặn mạnh khi đại tiện gây áp lực lớn lên vùng sàn chậu đang tổn thương, làm tăng nguy cơ tử cung bị sa xuống thấp. Nên thay đổi chế độ ăn với nhiều chất xơ, uống nhiều nước hoặc ăn các món ăn giúp hỗ trợ nhuận tràng;",Phòng ngừa sa tử cung sau sinh.docx
Q030,KB2,128,127,Em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn fải k?,RAG,"Đúng, gây tê ngoài màng cứng có thể làm giảm cảm giác bụng dưới tới 8 giờ, ảnh hưởng tạm thời đến chức năng bàng quang.",Sổ tay 4Steps - Trang 18
Q031,KB2,11,10,Cách xử trí ở nhà khi bé nhà t bị sốt cao fải làm sao,RAG,"Lau người bằng khăn ấm, đắp khăn ấm để hạ nhiệt và đưa ngay đến cơ sở y tế.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf
Q032,KB2,363,362,Bệnh thủy đậu ở trẻ nhỏ là ntn,RAG,"Thủy đậu (bệnh trái rạ) là bệnh nhiễm trùng cấp tính do virus varicella-zoster gây ra. Bệnh có khả năng lây lan nhanh chóng, tạo dịch thủy đậu thông qua tiếp xúc trực tiếp với giọt bắn có chứa virus gây bệnh được người bệnh phát tán ra không khí khi hắt hơi, ho, nói chuyện hoặc do tiếp xúc với dịch tiết từ các vết loét do thủy đậu. Bệnh thường sẽ bắt đầu và kết thúc trong khoảng 5-10 ngày với triệu chứng đặc trưng là sự xuất hiện của các vết phồng rộp đỏ, ngứa, bị nổ và trở thành vẩy khổ. Thông thường bệnh thủy đậu ở trẻ không gây ra các biến chứng nghiêm trọng. Tuy nhiên, trong một số trường hợp bệnh có thể gây nhiễm trùng da, nhiễm trùng phổi. Theo thống kê, thủy đậu có nguy cơ xảy ra cao ở trẻ dưới 15 tuổi. Trẻ dưới 12 tháng tuổi sau khi mắc bệnh thủy đậu sẽ có nguy cơ mắc bệnh zona về sao cao hơn 4.5 lần so với những đứa trẻ khác.",qa_me_bim_sau_sinh_100.csv.xlsx
Q033,KB2,58,57,Phụ nữ Châu Á mang thai nên tăng bao nhiêu kg là hợp lý v,RAG,Mức tăng cân trung bình nên đạt từ 10 - 12 kg.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q034,KB2,74,73,Những thực phẩm nào mẹ bỉm mang thai nên dùng để cung cấp năng lượng,RAG,"Gạo, mì, ngô, khoai, sắn và các chế phẩm từ nó.",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q035,KB2,134,133,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu j a,RAG,"Đây có thể là dấu hiệu của bế sản dịch hoặc viêm nội mạc tử cung, bạn cần được bác sĩ kiểm tra ngay.",Sổ tay 4Steps - Trang 24
Q036,KB2,44,43,Thời gian bảo quản sưa mẹ trong ngăn đá tủ lạnh (-18 đến -20°C),RAG,Tốt nhất trong 6 tháng và có thể lên tới 12 tháng.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q037,KB2,280,279,"Em thấy trên thị trường có nhiều loại tã quá, làm sao để em chọn đc loại tã giấy vừa vặn và thoải mái nhất cho bé nhà t",RAG,"Cách chọn bỉm cho trẻ theo độ tuổi: • Trẻ sơ sinh: Trong khoảng 3 ngày đầu, trẻ sẽ đi phân su màu đen với số lượng không nhiều. Những ngày tiếp theo trẻ đi tè và ị nhiều hơn. Mẹ có thể đóng tã giấy, hoặc dùng miếng lót phân su và mặc cùng với tã quần cho bé. • Trẻ 1 - 2 tháng: Bé sẽ đi vệ sinh rất nhiều, mỗi ngày từ 8 - 10 lần. Do trẻ bú nhiều hơn, phân cũng lỏng chứ không chặt như ban đầu. Ban ngày mẹ có thể dùng tã giấy, ban đêm thay tã quần để phân và nước tiểu không bị tràn, giúp con thoải mái hơn. • Từ 3 tháng tuổi trở lên: Bé đi nặng ít hơn, chỉ khoảng 2 - 3 lần mỗi ngày, nhưng số lượng mỗi lần sẽ nhiều. Mẹ có thể cho bé đóng bỉm hoàn toàn mà không dùng tã giấy, hoặc dùng tã vải để vừa tiết kiệm vừa tránh hăm tã. Cách chọn bỉm cho trẻ theo cân nặng: • Tã Newborn: Trẻ sơ sinh dưới 1 tháng tuổi và nhẹ hơn 5 kg • Size S: Tùy theo mỗi hãng tã, có thể chia trong khoảng 0 - 8 kg • Size M: Khoảng 5 - 12 kg, tùy theo từng hãng • Size L: Khoảng 8 - 14 kg, tùy theo từng hãng • Size XL: Khoảng 11 - 17 kg hoặc trên 13 kg, tùy từng hãng • Size XXL: Trên 14 kg hoặc từ 15 - 25 kg tùy theo từng hãng Ba mẹ cần chú ý chọn bỉm theo cân nặng của trẻ Lưu ý, nên thay đổi kích cỡ tã lớn hơn khi thấy các dấu hiệu sau: • Tã bó sát vòng eo và đùi của bé, để lại vết hằn trên da • Phải dùng tới mép của băng dán mới giữ tã nằm đúng vị trí • Kéo tã lên bị ngắn, lưng tã thấp dưới rốn • Tràn tã thường xuyên • Cân nặng của bé vượt quá mức được chỉ dẫn Cách chọn tã cho bé theo giới tính: • Bé gái: Thấm hút nhiều ở phần giữa và phía sau, hoặc tã quần có đường diềm để lót thêm tã vải bên trong • Bé trai: Bỉm có lớp lót phụ thêm ở phía trước, màng ngăn hai bên đảm bảo không tràn nước tiểu. Hình dạng của tã theo giai đoạn: • Trẻ sơ sinh: Thường dùng loại dán hai bên • Trẻ biết bò: Hai dây dán chặt hơn và chắc chắn hơn • Trẻ tập đi: Dùng bỉm quần để tránh tuột và xê dịch khi vận động. Ưu tiên chọn tã dán hai bên cho trẻ sơ sinh",Tã dùng một lần.docx
Q038,KB2,378,377,Nhau bong non là j,RAG,"Nhau bong non là một biến chứng sản khoa nghiêm trọng xảy ra khi bánh nhau tách ra khỏi thành tử cung trước khi thai nhi được sinh ra. Tình trạng này có thể gây nguy hiểm đến tính mạng của cả mẹ và thai nhi nếu không được phát hiện và xử trí kịp thời. Do đó, việc nhận biết các dấu hiệu bất thường của nhau bong non đóng vai trò rất quan trọng trong việc giảm thiểu nguy cơ tử vong và biến chứng.",qa_me_bim_sau_sinh_100.csv.xlsx
Q039,KB2,233,231,"Ngoài việc cải thiện chuyện tiểu tiện, tập phục hồi sàn chậu có giúp ích j cho đời sống vợ chồng sau sinh k",RAG,"Có, tập luyện giúp thu nhỏ âm đạo, tăng sức mạn cơ vùng chậu, từ đó cải thiện chức năng tình dục và tăng cảm giác trong quan hệ vợ chồng.",Phục hồi chức năng sàn chậu và lợi ích đối với các bà mẹ sau sinh.docx
Q040,KB2,387,386,Cách phòng bệnh tay chân miệng hiệu quả a,RAG,"Bệnh Tay Chân Miệng hiện nay vẫn chưa có thuốc điều trị đặc hiệu và không phải là bệnh có thể miễn nhiễm suốt đời. Vì vậy, việc nâng cao nhận thức và chủ động phòng bệnh là chìa khóa quan trọng giúp bảo vệ trẻ trước nguy cơ tái nhiễm và những biến chứng không mong muốn. Các biện pháp phòng bệnh bao gồm: Vệ sinh cá nhân, rửa tay thường xuyên bằng xà phòng, đặc biệt sau khi ho, hắt hơi hoặc xì mũi, thay tã, đi vệ sinh... Làm sạch và nên khử trùng các bề mặt hay đồ dùng thường xuyên tiếp xúc, vệ sinh đồ chơi, vật dụng của trẻ. Không cho trẻ tiếp xúc với người đang bệnh. Giữ sạch môi trường sống. Tránh chạm vào mắt, mũi, miệng khi tay chưa rửa. Dạy và tập cho trẻ không đưa tay, đồ vật vào miệng. Vắc xin: hiện nay chưa phổ biến.",qa_me_bim_sau_sinh_100.csv.xlsx
Q041,KB3,211,210,"Con em hỏi ""Tại sao"" liên tục làm em bực mình muốn la mắng, em có nên trả lời hết các câu hỏi đó không ạ",RAG,Những câu hỏi này chứng tỏ bé rất tò mò và ham học hỏi; bạn hãy kiên nhẫn trả lời đơn giản hoặc cùng bé đi tìm câu trả lời để khuyến khích tư duy của con.,Sách Không ai hoàn hảo - Trí tuệ
Q042,KB3,282,281,"Em đang định tự đun dầu đun sôi để làm màng tã chống thấm, em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ",RAG,"Có, một số cha mẹ không hài lòng về loại gel siêu thấm thường được sử dụng trong tã dùng một lần để hút ẩm và giữ cho bé luôn khô ráo. Với những loại tã không có gel, đệm bông được sử dụng thay thế để thực hiện tính năng thấm hút. Bên cạnh đó, tã không có clo cũng là một lựa chọn khác cho các bậc cha mẹ muốn giảm thiểu sử dụng hóa chất.",Tã dùng một lần.docx
Q043,KB3,35,34,"Em đang uống nhiều nước lọc vì sợ ít sữa, sữa mẹ chứa bao nhiêu phần trăm là nước ạ",RAG,Sữa mẹ chứa tới 88% là nước.,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf
Q044,KB3,212,211,"Em đang định mua bảng tương tác đắt tiền trên mạng, làm sao để em giúp bé nhận biết và học tên các màu sắc, hình khối một cách tự nhiên nhất ạ",RAG,"Bạn hãy lồng ghép vào các hoạt động hàng ngày như: ""Quả táo màu đỏ"", ""Cái hộp hình vuông"", việc học qua thực tế sẽ giúp trẻ ghi nhớ lâu hơn.",Sách Không ai hoàn hảo - Trí tuệ
Q045,KB3,95,94,"Em thấy sữa mình màu vàng đặc sợ bị viêm, sữa non của em màu vàng và đặc thì có tốt cho bé không ạ",RAG,"Rất tốt • Chất lỏng dày dính màu vàng do các tế bào nang vú tiết ra trong suốt 3 tháng cuối của thai kì và kéo dài 1 thời gian sau sinh • Số lượng ít, năng lượng cao • Chứa ít đường lactose, vitamin tan trong chất béo, natri cao hơn, kẽm và tất cả các yếu tố bảo vệ • Kháng thể bám vào thành ruột để tránh sự xâm nhập các mầm bệnh • Các yếu tố tăng trưởng kích thích sự phát triển của tế bào niêm mạc, biểu mô, tổng hợp ADN, sự phát triển của các cơ quan và hệ thần kinh • Thường sẽ chuyển sang sữa trưởng thành trong 30-40 giờ sau sinh",1445371_Improving-the-quality-and-care-of 
Q046,KB3,86,85,"Em vội vàng đẻ xong phải đón khách, trong mấy tiếng đầu bác sĩ sẽ theo dõi em thế nào ạ",RAG,"• Đánh giá và ghi nhận các dấu hiệu sinh tồn 15 phút 1 lần trong giờ đầu sau sinh, sau đó 30 phút 1 lần trong giờ tiếp theo nếu các thông số đạt yêu cầu.",1445371_Improving-the-quality-and-care-of 
Q047,KB3,331,330,"Em hay quên nên lười đưa con đi khám định kỳ, chỉ khi con ốm mới đi, em có cần phải đánh giá lại sự phát triển của bé thường xuyên không, hay chỉ cần thực hiện một lần khi bé có dấu hiệu lạ ạ",RAG,"Trẻ em lớn lên và phát triển rất nhanh với tốc độ khác nhau, do đó, điều quan trọng là phải đánh giá lại chúng thường xuyên. Trẻ có thể phát triển nhanh hơn hoặc chậm hơn ở một số khía cạnh so với những bạn đồng trang lứa. Tuy nhiên để xác định sự phát triển nhanh hay chậm ở trẻ có phải là vấn đề nghiêm trọng hay không cần có các đánh giá định kỳ.",Đánh giá sự phát triển của trẻ như thế nào.docx
Q048,KB3,96,95,"Em đang định bôi kem đánh răng lên ti cho đỡ đau, em bị đau núm vú quá, có cách nào để bớt đau khi cho con bú không ạ",RAG,"Tình trạng đau núm vú thường ổn định trong tuần thứ 2, bạn có thể dùng chính sữa mẹ bôi lên để làm dịu núm vú.",1445371_Improving-the-quality-and-care-of 
Q049,KB3,268,267,"Em đang định ngồi xổm chơi điện thoại trong nhà, em nghe nói sau sinh không nên ngồi xổm lâu hoặc rặn mạnh khi đi vệ sinh để tránh sa tử cung, có đúng không",RAG,"Đúng, việc ngồi xổm kéo dài hoặc rặn mạnh khi đại tiện gây áp lực lớn lên vùng sàn chậu đang tổn thương, làm tăng nguy cơ tử cung bị sa xuống thấp. Nên thay đổi chế độ ăn với nhiều chất xơ, uống nhiều nước hoặc ăn các món ăn giúp hỗ trợ nhuận tràng;",Phòng ngừa sa tử cung sau sinh.docx
Q050,KB3,128,127,"Em đang tính mua máy massage lưng, em nghe nói gây tê ngoài màng cứng cũng làm mình bị bí tiểu lâu hơn phải không ạ",RAG,"Đúng, gây tê ngoài màng cứng có thể làm giảm cảm giác bụng dưới tới 8 giờ, ảnh hưởng tạm thời đến chức năng bàng quang.",Sổ tay 4Steps - Trang 18
Q051,KB3,11,10,"Đang nấu ăn thì nghe con khóc, em run quá, cách xử trí tại nhà khi trẻ sơ sinh bị sốt cao là làm gì ạ",RAG,"Lau người bằng khăn ấm, đắp khăn ấm để hạ nhiệt và đưa ngay đến cơ sở y tế.",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf
