split,dataset,profile,question,alpha,table_bonus,hit_at_5,rr_at_5,latency_seconds,config
test,KB1_Standard,noisy_conversational,"Em cảm thấy rất tội lỗi khi không thể chăm sóc con tốt như mong đợi, đây có phải là dấu hiệu của trầm cảm không?",0.3,0.0,0,0.0,0.18848819998675026,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,"Làm sao để em biết mình đã mặc tã cho con vừa vặn, không quá chật gây lằn da nhưng cũng không quá lỏng làm tràn tã ạ?",0.3,0.0,1,0.25,0.17842559999553487,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Nếu con em bị béo phì từ nhỏ thì sau này lớn lên có dễ mắc các bệnh mạn tính nguy hiểm nào không?,0.3,0.0,1,0.3333333333333333,0.14320340001722798,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,"Bé nhà em chưa biết nói nhưng hay bập bẹ ""ba ba, ma ma"", em nên phản ứng thế nào để khuyến khích bé ạ?",0.3,0.0,0,0.0,0.14419990000897087,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Tại sao phụ nữ mang thai bị phù (cân) phải giảm ăn mặn?,0.3,0.0,1,1.0,0.10937719998764805,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,"Em đang mang thai tháng cuối, có loại thuốc đặt âm đạo nào an toàn để dự phòng nấm không?",0.3,0.0,0,0.0,0.13032299999031238,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Tại sao việc tiêm chủng đúng lịch lại quan trọng đối với sức khỏe của bé vậy bác sĩ?,0.3,0.0,0,0.0,0.126872299995739,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Chỉ em cách xử lý khi chẳng may bé bị bỏng nước sôi tại nhà với ạ?,0.3,0.0,0,0.0,0.11863850001827814,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,"Trong thời kỳ hậu sản, một vài tuần đầu em thấy có chất dịch chảy ra thì có sao không ạ?",0.3,0.0,0,0.0,0.13918009999906644,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Con em đang bị nấm miệng thì em có cần phải tiệt trùng bình sữa hay núm vú giả kỹ hơn bình thường không ạ?,0.3,0.0,1,1.0,0.13705570000456646,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,"em thấy trên thị trường có nhiều loại tã quá, làm sao để em chọn được loại tã giấy vừa vặn và thoải mái nhất cho bé nhà em ạ?",0.3,0.0,1,1.0,0.16971089999424294,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Âm đạo của em tiết mùi hồi gây khó chịu là bị gì vậy ạ,0.3,0.0,0,0.0,0.1089225999894552,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Trẻ nhận sữa mẹ hoàn toàn có cần uống thêm nước trắng không?,0.3,0.0,1,1.0,0.10647500000777654,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Liệu bế con không đúng tư thế có phải là một trong những nguyên nhân dẫn đến đau nhức mỏi lưng phải không ạ?,0.3,0.0,1,1.0,0.13778370001818985,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Tại sao bé nhà em dạo này hay khóc nhè và bám mẹ không rời vậy?,0.3,0.0,0,0.0,0.1211442000058014,Fixed alpha = 0.3
test,KB1_Standard,noisy_conversational,Chế độ sinh hoạt của bè mẹ sau sinh?,0.3,0.0,0,0.0,0.09605500000179745,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"bé nhà em 6 tháng tuổi đang tập ăn dặm mà bị tiêu chảy kéo dài, em có nên tiếp tục cho con ăn cháo cà rốt hay thay đổi chế độ ăn như thế nào không ạ?",0.3,0.0,1,1.0,0.1846062999975402,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Bé em được 11 tháng tuổi, cận nặng 8,8kg, hiện bé mới đi tiêu và có ra giun kim, em muốn hỏi xem hiện nay bé đã xổ giun được chưa và nếu được thì sử dụng thuốc loại gì, liều dùng ra sao?",0.3,0.0,1,1.0,0.23419769998872653,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Ở nhà em nên để nhiệt độ phòng bao nhiêu là tốt nhất và cần làm gì ngay khi sinh để giữ ấm cho bé, tránh cho con bị nhiễm lạnh ạ",0.3,0.0,1,0.5,0.16522190000978298,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Em bị sốt cao, rét run và đau bụng dữ dội sau sinh 2 tuần là dấu hiệu bệnh gì vậy?",0.3,0.0,0,0.0,0.13192569999955595,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Lượng sữa cần cho trẻ từ khi sinh đến 1 tháng tuổi là bao nhiêu mỗi ngày?,0.3,0.0,1,0.5,0.12884059999487363,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Em mới mổ đẻ được 2 ngày mà giờ bị sốt 38,5 độ C thì có làm sao không ạ?",0.3,0.0,0,0.0,0.13278189999982715,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Bé 2 tháng tuổi thì cần phải đi tiêm những loại vắc xin gì theo định kỳ ạ?,0.3,0.0,0,0.0,0.1307082999846898,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"định nghĩa chính xác về việc ""nuôi con hoàn toàn bằng sữa mẹ"" trong 6 tháng đầu là như thế nào ạ?",0.3,0.0,1,0.2,0.13322869999683462,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Con em được 10 tháng tuổi rồi, em thấy bé có vẻ nhanh đói, em nên sắp xếp lịch ăn dặm cho bé như thế nào cho phù hợp?",0.3,0.0,0,0.0,0.18642670000554062,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Sau 2 tuần mà rốn bé vẫn chưa rụng thì em có cần đưa bé đi viện không ạ?,0.3,0.0,0,0.0,0.12638139998307452,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Hậu quả của thiếu dinh dưỡng trong 3 tháng cuối thai kỳ là gì?,0.3,0.0,1,1.0,0.10406939999666065,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Mẹ sau sinh cần bổ sung Vitamin A với liều lượng bao nhiêu?,0.3,0.0,0,0.0,0.1027417000150308,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Để tránh tình trạng suy dinh dưỡng ở trẻ 34 tháng tuổi, em nên làm gì ạ?",0.3,0.0,1,0.5,0.13347499998053536,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Bé nhà em vừa tròn 6 tháng và mới tập ăn dặm, mỗi ngày em nên cho con ăn mấy bữa bột là đủ ạ?",0.3,0.0,1,1.0,0.14687820000108331,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Bé nhà em dưới 6 tháng tuổi, em có nên cho con uống thêm chút nước sau khi bú để tráng miệng cho sạch không bác sĩ?",0.3,0.0,1,1.0,0.15258049999829382,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Bé nhà em được 3 tháng tuổi rồi ạ. Bé nhà em có nổi nốt sần khắp người. Em có mang bé đi khám thì bác sĩ họ bảo bị viêm da cơ địa. Em xin hỏi cách điều trị bệnh viêm da cơ địa trẻ 3 tháng tuổi?,0.3,0.0,1,1.0,0.24107899999944493,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Trẻ từ 7-12 tháng tuổi cần ăn bao nhiêu bữa bột một ngày?,0.3,0.0,1,0.5,0.1164087999786716,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Nếu em bị chảy máu nhiều sau sinh (trên 300ml) thì bác sĩ sẽ xử trí gì đầu tiên ạ?,0.3,0.0,0,0.0,0.13407899998128414,Fixed alpha = 0.3
test,KB1_Standard,quantitative,Trẻ từ 12-24 tháng tuổi cần ăn bao nhiêu bữa một ngày?,0.3,0.0,1,0.5,0.10443660002783872,Fixed alpha = 0.3
test,KB1_Standard,quantitative,"Bé nhà em đã 18 tháng tuổi rồi mà vẫn chưa biết đi, liệu đây có phải là tình trạng chậm biết đi cần phải can thiệp y tế không bác sĩ?",0.3,0.0,1,1.0,0.18287999997846782,Fixed alpha = 0.3
test,KB1_Standard,semantic,Bốn nhóm thực phẩm cần có trong bữa ăn của trẻ là gì?,0.3,0.0,0,0.0,0.10481799999251962,Fixed alpha = 0.3
test,KB1_Standard,semantic,Lợi ích của việc nuôi con bằng sữa mẹ đối với tử cung của mẹ sau sinh?,0.3,0.0,1,0.3333333333333333,0.12177789999986999,Fixed alpha = 0.3
test,KB1_Standard,semantic,"Khi về khoa hậu sản, có những dấu hiệu nào em phải gọi cấp cứu ngay?",0.3,0.0,0,0.0,0.11616080001113005,Fixed alpha = 0.3
test,KB1_Standard,semantic,Lợi ích của việc cho trẻ tiếp xúc da kề da ngay sau sinh?,0.3,0.0,1,1.0,0.1026107000070624,Fixed alpha = 0.3
test,KB1_Standard,semantic,Dấu hiệu nào cho thấy trẻ bú tốt?,0.3,0.0,0,0.0,0.09175029999460094,Fixed alpha = 0.3
test,KB1_Standard,semantic,Viêm tiểu phế quản ở trẻ sơ sinh là gì?,0.3,0.0,0,0.0,0.10798010000144131,Fixed alpha = 0.3
test,KB1_Standard,semantic,Liệt kê các dấu hiệu nguy hiểm ở trẻ sơ sinh cần đi khám ngay?,0.3,0.0,0,0.0,0.12344559998018667,Fixed alpha = 0.3
test,KB1_Standard,semantic,"Con em hay bị táo bón, đi ngoài rất khó khăn, em nên điều chỉnh chế độ ăn cho bé thế nào?",0.3,0.0,0,0.0,0.1691618000040762,Fixed alpha = 0.3
test,KB1_Standard,semantic,Nuôi con bằng sữa mẹ giúp giảm nguy cơ mắc bệnh gì cho mẹ sau này?,0.3,0.0,1,0.25,0.12547920001088642,Fixed alpha = 0.3
test,KB1_Standard,semantic,Những thực phẩm nào mẹ mang thai nên dùng để cung cấp năng lượng?,0.3,0.0,1,1.0,0.11977210000623018,Fixed alpha = 0.3
test,KB1_Standard,semantic,"Con em thường xuyên thức giấc giữa đêm và khóc, em phải làm gì để bé ngủ sâu hơn?",0.3,0.0,0,0.0,0.12953259999630973,Fixed alpha = 0.3
test,KB1_Standard,semantic,Cần đưa trẻ đi khám ngay khi bị nôn ói?,0.3,0.0,0,0.0,0.0920056999893859,Fixed alpha = 0.3
test,KB1_Standard,semantic,Cách chuẩn bị dụng cụ đựng sữa trước khi vắt như thế nào?,0.3,0.0,1,1.0,0.10958650000975467,Fixed alpha = 0.3
test,KB1_Standard,semantic,Bố mẹ phải nói như thế nào để giúp con có thể học nói?,0.3,0.0,0,0.0,0.10470349999377504,Fixed alpha = 0.3
test,KB1_Standard,semantic,Việc cho con bú ngay trong vòng một giờ đầu sau sinh có lợi gì cho người mẹ?,0.3,0.0,0,0.0,0.12657629998284392,Fixed alpha = 0.3
test,KB1_Standard,semantic,Giải pháp phòng ngừa bệnh xuất huyết não ở trẻ,0.3,0.0,0,0.0,0.0963878000038676,Fixed alpha = 0.3
test,KB1_Standard,semantic,Chế độ nghỉ ngơi của bè mẹ sau sinh?,0.3,0.0,0,0.0,0.08843970001908019,Fixed alpha = 0.3
test,KB1_Standard,semantic,Cách xử trí khi vú bị căng sữa hoặc cương tức?,0.3,0.0,1,1.0,0.10274119998211972,Fixed alpha = 0.3
test,KB1_Standard,semantic,Nghén điều trị như thế nào?,0.3,0.0,0,0.0,0.08492520000436343,Fixed alpha = 0.3
test,KB1_Standard,semantic,Khuyến nghị về số lần khám thai tối thiểu trong thai kỳ?,0.3,0.0,0,0.0,0.10303639998892322,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Làm sao để phân biệt vàng da sinh lý và vàng da bệnh lý ở bé sơ sinh mn ơi,0.3,0.0,0,0.0,0.152820299990708,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,giải pháp hỗ trợ phản xạ oxytocin hoạt động tốt ạ,0.3,0.0,1,1.0,0.1037709999945946,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không z ạ,0.3,0.0,1,1.0,0.11470180001924746,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Thiếu vitamin D gây ảnh hưởng ntn,0.3,0.0,0,0.0,0.08858000001055188,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,"Hướng dẫn em cách xử lý, chăm sóc khi bị sản dịch hôi v ạ",0.3,0.0,0,0.0,0.1140159000060521,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,"Khi con em bước sang tháng thứ 7 đến tháng thứ 9, em có cần tăng thêm số lượng bữa ăn dặm cho bé con k",0.3,0.0,1,0.3333333333333333,0.15362120000645518,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Các nguồn bổ sung vitamin D khác ko a,0.3,0.0,0,0.0,0.11172840002109297,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Băng huyết sau sinh sớm và muộn khác nhau ra sao bs ơi,0.3,0.0,0,0.0,0.12606579999555834,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Thuốc đầu tay đc lựa chọn để co hồi tử cung dự phòng băng huyết là j,0.3,0.0,0,0.0,0.12490739999338984,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Em thấy sản dịch có màu đen sậm và mùi hôi kèm sốt nhẹ là dấu hiệu j a,0.3,0.0,0,0.0,0.12794629999552853,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,"Trong 1 bát bột ăn dặm chuẩn cho bé, em cần fải đảm bảo có đủ 4 nhóm chất dinh dưỡng nào",0.3,0.0,1,1.0,0.1634038000192959,Fixed alpha = 0.3
test,KB2_Mom_Style,exact_lexical,Băng huyết sau sinh đc kđịnh nghĩa như thế nào nhỉ,0.3,0.0,0,0.0,0.10796590000973083,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Làm sao để nhận biết nhau bong non a,0.3,0.0,0,0.0,0.0890961000113748,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Bé nhà t rất nhát, gặp người lạ là khóc và trốn sau lưng mẹ thì có bình thường k mn ơi",0.3,0.0,0,0.0,0.14406019999296404,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Khi nào thì cần đưa bé con đi khám sức khỏe định kỳ dù bé vẫn đang khỏe mạnh ạ,0.3,0.0,0,0.0,0.13891249999869615,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Kỹ thuật cho bé ăn bằng cốc đúng cách là như thế nào mn ơi,0.3,0.0,1,0.3333333333333333,0.14634050001041032,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Bị nhau bằng non có cần đến bệnh viện ko a,0.3,0.0,0,0.0,0.1043931000167504,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Âm đạo của em tiết mùi hồi gây khó chịu là bị j v a,0.3,0.0,0,0.0,0.18581719999201596,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Em nghe nói dùng tã vải ít bị hăm da hơn tã giấy, điều này có đúng k và em cần lưu ý j thêm",0.3,0.0,1,1.0,0.22532810000120662,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Hormon nào chịu trách nhiệm tạo sưa và hormon nào giúp phun sưa ai ơi,0.3,0.0,0,0.0,0.12848630000371486,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Nếu em bị nhiễm nấm âm đạo thì bé sơ sinh có bị lây k các Mom,0.3,0.0,0,0.0,0.12699010001961142,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Chế độ ăn uống ntn giúp em giảm bớt tình trạng đau mỏi xương khớp sau khi sinh em bé,0.3,0.0,1,0.5,0.1407218000094872,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Tại sao cứ khuyến khích mẹ nên ngồi để cho con bú thay vì nằm bú vậy ạ,0.3,0.0,1,1.0,0.12576609998359345,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"EEm nghe nói sau sinh sẽ rối loạn nội tiết tố nữ phải không, dấu hiệu nhận biết rối loạn nội tiết tố là j v ạ",0.3,0.0,0,0.0,0.18579209997551516,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Con em dạo này hay bắt chước các hành động của bố mẹ, đây có phải là 1 dấu hiệu tốt k",0.3,0.0,0,0.0,0.15918330001295544,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Em thấy chân của bé con có vẻ yếu và k chịu đứng vững khi em dắt tay, những dấu hiệu nào khác cảnh báo con em đang bị chậm vận động?",0.3,0.0,1,1.0,0.19048869999824092,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Chồng em cần làm j để giúp em vượt qua giai đoạn bị trầm cảm sau sinh nhẹ v nho,0.3,0.0,0,0.0,0.14610959999845363,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Bé nhà t bị ho và chảy nước mũi nhiều, có nên tự mua thuốc ho cho bé uống k mn ơi",0.3,0.0,0,0.0,0.15112359999329783,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Khi nào thì rốn của bé bị sưng đỏ đc coi là nhiễm trùng mức độ nặng mn,0.3,0.0,0,0.0,0.12397699998109601,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Sau khi cho con bú xong, em nên làm j để bé k bị ọc sưa hay bị sặc khi nằm xuống",0.3,0.0,1,1.0,0.14926639999612235,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,"Miệng bé nhà t có mấy mảng trắng như cặn sưa mà lau k sạch, liệu có phải con bị nấm miệng k",0.3,0.0,1,1.0,0.15247649999218993,Fixed alpha = 0.3
test,KB2_Mom_Style,noisy_conversational,Làm sao để dạy con cách kiểm soát cảm giác tức giận mà k la hét mn ơi,0.3,0.0,0,0.0,0.12039900000672787,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Tại sao lại dặn là k nên nêm thêm mắm hay muối vào thức ăn dặm của trẻ dưới 1 tuổi,0.3,0.0,1,1.0,0.1374608000041917,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Em có cần fải đánh giá lại sự phát triển của bé thường xuyên k, hay chỉ cần thực hiện 1 lần khi bé có dấu hiệu lạ?",0.3,0.0,1,1.0,0.15569569999934174,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Bé nhà t vừa tròn 6 tháng và mới tập ăn dặm, mỗi ngày em nên cho con ăn mấy bữa bột là đủ",0.3,0.0,1,1.0,0.14195180000388063,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Bé nhà mình đã hơn 6 tháng rùi mà vẫn chưa thấy biết ""ê, a"" hay bập bẹ nói chuyện j hết, liệu con em có đang gặp vấn đề về ngôn ngữ k?",0.3,0.0,1,1.0,0.19726290000835434,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Em bị sốt cao, rét run và đau bụng dữ dội sau sinh 2 tuần là dấu hiệu bệnh j vậy c",0.3,0.0,0,0.0,0.14233339999918826,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Lượng sưa cần cho bé nhà mình từ khi sinh đến 1 tháng tuổi là bao nhiêu mỗi ngày,0.3,0.0,1,0.2,0.1306147999712266,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Em mới mổ đẻ đc 2 ngày mà giờ bị sốt 38,5 độ C thì có làm sao k ai oi",0.3,0.0,0,0.0,0.12324799998896196,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Bé 2 tháng tuổi thì fải đi tiêm những loại vắc xin j theo định kỳ mn ơi,0.3,0.0,0,0.0,0.12237940001068637,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Bé nhà mình đc 2 tháng tuổi và hay đi ngoài nhiều vào ban đêm, em nên dùng loại tã j để con ngủ ngon mà k bị tràn tã",0.3,0.0,1,0.5,0.15420190000440925,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Con em đã 22 tháng tuổi rồi mà vẫn chậm nói, chưa thể phát âm được những từ ngữ cơ bản, bé cứ dùng tay chân để chỉ trỏ mỗi khi muốn gì đó thì có phải là dấu hiệu đáng lo k v a",0.3,0.0,1,1.0,0.23852320000878535,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Bé nhà t đã 18 tháng tuổi rùi mà vẫn chưa biết đi, liệu đây có phải là tình trạng chậm biết đi cần fải can thiệp y tế k?",0.3,0.0,1,1.0,0.17709119999199174,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Sau 2 tuần mà rốn bé vẫn chưa rụng thì có cần đưa bé đi viện k ạ,0.3,0.0,0,0.0,0.1158694000041578,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Hậu quả của thiếu dinh dưỡng trong 3 tháng cuối thai kỳ là j v,0.3,0.0,1,1.0,0.10656200000084937,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Khi sử dụng tã vải, em có cần fải thay tã cho bé thường xuyên như khi dùng tã giấy dùng 1 lần k",0.3,0.0,1,1.0,0.1453075000026729,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Để tránh tình trạng suy dinh dưỡng ở trẻ 34 tháng tuổi, em nên lam j a",0.3,0.0,1,1.0,0.11638409999432042,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Bé nhà t đc 34 tháng rùi, em nên sắp xếp các bữa chính và bữa phụ trong ngày ntn để đảm bảo con đủ chất?",0.3,0.0,1,0.5,0.1548932000005152,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,"Bé nhà mình dưới 6 tháng tuổi, em có nên cho con uống thêm chút nước sau khi bú để tráng miệng cho sạch k",0.3,0.0,1,1.0,0.14248789998237044,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Bé nhà em được 3 tháng tuổi rồi ạ. Bé nhà em có nổi nốt sần khắp người. Em có mang bé đi khám thì bác sĩ họ bảo bị viêm da cơ địa. Em xin hỏi cách điều trị bệnh viêm da cơ địa trẻ 3 tháng tuổi v a,0.3,0.0,1,1.0,0.245667900016997,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Bé từ 7-12 tháng tuổi cần ăn bao nhiêu bữa bột 1 ngày các v a,0.3,0.0,1,0.25,0.11924319999525324,Fixed alpha = 0.3
test,KB2_Mom_Style,quantitative,Nếu em bị chảy máu nhiều sau sinh (trên 300ml) thì bs sẽ xử trí j đầu tiên ok,0.3,0.0,0,0.0,0.1282964000129141,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,Chồng và người thân nên làm j để giúp em cảm thấy bớt căng thẳng khi chăm sóc bé nhà t,0.3,0.0,0,0.0,0.1232243999838829,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,"Ngoài việc phát âm, em cần quan sát những phản ứng nào khác của con đối với lời nói của cha mẹ để biết bé phát triển tâm sinh lý bình thường k?",0.3,0.0,1,1.0,0.17163630001596175,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,"Có phải các bệnh lý về cơ hay thần kinh là nguyên nhân chính khiến trẻ chậm biết đi k, hay còn do yếu tố nào khác?",0.3,0.0,1,0.5,0.14505419999477454,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,Lợi ích của việc nuôi con bằng sưa mẹ đối với tử cung của mẹ sau sinh,0.3,0.0,1,0.3333333333333333,0.10764999999082647,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,Con em đang bị nấm miệng thì có cần fải tiệt trùng bình sưa hay núm vú giả kỹ hơn bình thường k,0.3,0.0,1,1.0,0.13260039998567663,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,"Sau sinh tuần đầu, em và bé cần được cán bộ y tế đến thăm khám vào những gì v a",0.3,0.0,0,0.0,0.13149910001084208,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,10 điều kiện nuôi con bằng sưa mẹ thành công bao gồm những j,0.3,0.0,1,1.0,0.09785089999786578,Fixed alpha = 0.3
test,KB2_Mom_Style,semantic,Nguyên nhân xuất huyết não ở trẻ sơ sinh l j,0.3,0.0,0,0.0,0.090624399977969,Fixed alpha = 0.3
